chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
128,8,4,2,17,0,0,1,"(0, 1, 2, 3, 4)",12.3022555,10,5,0,10
4,128,256,4,15,0,0,1,"(0, 1, 2, 4, 3)",533.1676765,10,5,0,10
8,32,8,16,4,0,0,0,"(0, 1, 4, 3, 2)",335.89385400000003,10,5,0,10
128,16,64,2,14,0,1,0,"(0, 1, 2, 4, 3)",33.7988995,10,5,0,10
64,2,256,1,17,2,1,0,"(4, 0, 2, 3, 1)",8.200543,10,5,0,10
16,128,8,32,20,1,1,0,"(1, 0, 2, 4, 3)",18.629294,10,5,0,10
128,8,8,2,16,0,1,1,"(1, 0, 2, 4, 3)",13.0830685,10,5,0,10
8,2,64,4,13,0,1,1,"(0, 1, 2, 4, 3)",795.37663,10,5,0,10
128,128,8,16,13,1,1,0,"(0, 1, 4, 3, 2)",1.341497,10,5,0,10
4,16,16,8,14,2,0,1,"(0, 1, 2, 4, 3)",455.431698,10,5,0,10
64,128,8,16,3,2,0,1,"(0, 4, 3, 2, 1)",30.1882255,10,5,0,10
4,64,64,1,10,1,0,1,"(0, 1, 2, 4, 3)",1183.8818885,10,5,0,10
8,256,64,32,15,1,1,0,"(0, 1, 2, 3, 4)",470.135832,10,5,0,10
64,16,32,4,13,1,1,0,"(1, 0, 4, 2, 3)",26.1240125,10,5,0,10
8,4,16,1,12,0,0,1,"(0, 4, 3, 2, 1)",235.2427225,10,5,0,10
128,2,2,16,8,1,1,0,"(1, 0, 4, 3, 2)",72.775465,10,5,0,10
256,64,8,4,10,2,1,0,"(1, 0, 4, 3, 2)",0.7517625,10,5,0,10
16,128,16,4,4,1,1,0,"(0, 4, 2, 3, 1)",165.0410555,10,5,0,10
16,8,2,16,5,1,0,0,"(1, 0, 2, 3, 4)",99.8801095,10,5,0,10
4,128,2,1,15,1,0,0,"(1, 0, 4, 2, 3)",775.6820325,10,5,0,10
32,256,2,16,13,2,0,1,"(0, 1, 4, 2, 3)",14.2022795,10,5,0,10
4,4,64,2,5,2,1,0,"(0, 1, 4, 3, 2)",712.912058,10,5,0,10
32,2,256,1,7,0,0,1,"(0, 1, 4, 3, 2)",334.7763705,10,5,0,10
4,2,128,2,20,2,1,0,"(0, 4, 2, 3, 1)",471.2440095,10,5,0,10
128,4,64,16,3,2,1,1,"(0, 4, 3, 2, 1)",15.203639,10,5,0,10
8,16,32,8,18,0,1,0,"(4, 0, 3, 2, 1)",236.354047,10,5,0,10
8,2,64,16,17,2,0,0,"(4, 0, 3, 2, 1)",62.6274095,10,5,0,10
128,32,8,4,16,1,0,0,"(0, 1, 4, 3, 2)",1.647578,10,5,0,10
32,64,16,8,19,1,0,1,"(0, 1, 4, 2, 3)",31.954156,10,5,0,10
8,16,32,1,5,0,0,1,"(1, 0, 2, 3, 4)",267.54924000000005,10,5,0,10
128,128,32,2,17,1,0,1,"(1, 0, 2, 4, 3)",4.49783,10,5,0,10
16,64,256,1,17,0,0,1,"(1, 0, 2, 4, 3)",112.784874,10,5,0,10
8,256,2,4,4,2,1,0,"(4, 0, 3, 2, 1)",438.0868055,10,5,0,10
2,2,32,32,8,0,0,1,"(0, 1, 2, 3, 4)",705.503873,10,5,0,10
128,64,32,1,2,0,0,1,"(0, 4, 3, 2, 1)",15.2517405,10,5,0,10
4,2,2,2,13,0,0,1,"(0, 1, 4, 3, 2)",389.89428,10,5,0,10
4,16,2,1,18,0,1,0,"(0, 4, 2, 3, 1)",472.8955455,10,5,0,10
8,64,2,1,9,2,1,1,"(0, 1, 4, 3, 2)",253.3011705,10,5,0,10
8,128,128,1,19,1,0,1,"(1, 0, 4, 3, 2)",21.503135,10,5,0,10
64,4,8,1,19,2,0,0,"(4, 0, 3, 2, 1)",30.152525,10,5,0,10
32,32,4,32,6,2,0,1,"(0, 1, 4, 2, 3)",143.248384,10,5,0,10
8,2,16,2,11,0,0,0,"(0, 1, 2, 4, 3)",614.5680414999999,10,5,0,10
128,16,64,4,10,0,0,1,"(4, 0, 3, 2, 1)",15.262516000000002,10,5,0,10
2,2,64,8,13,0,1,1,"(0, 1, 2, 4, 3)",699.140415,10,5,0,10
2,256,8,2,5,0,0,1,"(0, 4, 2, 3, 1)",941.3069185,10,5,0,10
16,2,8,4,15,2,0,1,"(0, 1, 2, 3, 4)",172.2696985,10,5,0,10
4,32,16,2,6,1,0,0,"(1, 0, 2, 4, 3)",207.6463545,10,5,0,10
64,16,16,8,6,1,1,0,"(0, 1, 4, 2, 3)",159.552948,10,5,0,10
16,8,16,32,16,2,0,0,"(4, 0, 2, 3, 1)",118.571401,10,5,0,10
16,8,256,1,4,1,1,0,"(0, 1, 4, 2, 3)",2885.462957,10,5,0,10
128,8,128,4,11,0,0,1,"(1, 0, 4, 2, 3)",362.509276,10,5,0,10
32,2,256,1,8,2,0,1,"(4, 0, 2, 3, 1)",60.72247350000001,10,5,0,10
128,128,2,4,14,0,1,0,"(4, 0, 2, 3, 1)",15.1695305,10,5,0,10
256,8,32,4,5,1,1,0,"(4, 0, 2, 3, 1)",7.2878905,10,5,0,10
4,8,2,32,14,0,0,0,"(1, 0, 4, 3, 2)",72.21735100000001,10,5,0,10
2,4,256,4,18,2,0,1,"(0, 1, 2, 4, 3)",3063.9525245,10,5,0,10
8,2,256,16,14,0,1,1,"(4, 0, 2, 3, 1)",236.174708,10,5,0,10
256,8,4,32,18,1,0,0,"(0, 1, 4, 3, 2)",1.661253,10,5,0,10
256,128,32,1,17,0,0,1,"(0, 1, 4, 2, 3)",6.87058,10,5,0,10
16,256,32,8,17,2,1,1,"(0, 4, 2, 3, 1)",220.0178765,10,5,0,10
4,128,16,16,19,0,1,1,"(1, 0, 2, 3, 4)",115.2297855,10,5,0,10
128,128,256,4,6,1,0,1,"(0, 1, 2, 3, 4)",43.39519,10,5,0,10
4,2,8,16,18,0,1,1,"(1, 0, 2, 4, 3)",77.3707305,10,5,0,10
32,256,32,4,15,2,1,0,"(0, 4, 3, 2, 1)",60.494467,10,5,0,10
128,8,64,32,12,0,0,1,"(0, 4, 3, 2, 1)",15.462062,10,5,0,10
16,16,8,4,13,1,1,0,"(1, 0, 2, 4, 3)",67.705946,10,5,0,10
2,16,64,16,13,2,1,1,"(1, 0, 4, 3, 2)",150.9320865,10,5,0,10
16,32,4,8,9,1,0,0,"(1, 0, 4, 2, 3)",240.9626955,10,5,0,10
64,64,32,4,18,2,0,0,"(4, 0, 3, 2, 1)",27.3103155,10,5,0,10
16,32,4,1,2,0,1,0,"(1, 0, 4, 2, 3)",208.4594365,10,5,0,10
16,256,16,8,2,2,1,1,"(0, 4, 2, 3, 1)",217.875213,10,5,0,10
32,64,16,1,12,1,1,0,"(4, 0, 2, 3, 1)",54.3965685,10,5,0,10
2,2,128,8,4,1,0,0,"(0, 1, 4, 2, 3)",26800.462464,10,5,0,10
256,128,64,1,17,0,1,0,"(0, 4, 2, 3, 1)",10.6995815,10,5,0,10
128,256,8,32,14,0,0,0,"(1, 0, 2, 4, 3)",3.0564875,10,5,0,10
4,256,32,4,14,2,0,0,"(0, 1, 4, 3, 2)",188.7417435,10,5,0,10
2,128,4,1,18,2,1,0,"(0, 4, 3, 2, 1)",940.602639,10,5,0,10
2,4,8,8,5,2,1,0,"(1, 0, 4, 3, 2)",769.6069315,10,5,0,10
64,2,4,8,14,2,0,0,"(1, 0, 2, 4, 3)",44.3091495,10,5,0,10
256,16,64,2,7,2,1,0,"(0, 4, 3, 2, 1)",7.757924,10,5,0,10
16,4,16,32,19,0,1,0,"(1, 0, 4, 3, 2)",390.0264555,10,5,0,10
16,4,8,4,19,0,1,0,"(0, 1, 4, 2, 3)",77.4402935,10,5,0,10
2,32,4,8,12,0,1,0,"(4, 0, 3, 2, 1)",989.032453,10,5,0,10
16,4,4,1,8,1,0,1,"(4, 0, 3, 2, 1)",118.718054,10,5,0,10
4,256,64,4,12,0,0,0,"(1, 0, 2, 4, 3)",286.6033535,10,5,0,10
128,4,128,16,16,2,1,0,"(1, 0, 2, 4, 3)",10.9192685,10,5,0,10
256,32,2,16,14,0,1,1,"(0, 1, 2, 4, 3)",1.4172095,10,5,0,10
2,32,32,2,3,2,0,1,"(0, 4, 3, 2, 1)",940.3609445,10,5,0,10
2,64,32,32,5,0,1,1,"(1, 0, 4, 2, 3)",1661.1733905,10,5,0,10
4,16,128,32,2,0,0,1,"(0, 4, 3, 2, 1)",470.4748465,10,5,0,10
256,4,128,32,8,2,0,1,"(1, 0, 4, 2, 3)",165.615741,10,5,0,10
2,128,4,16,19,1,0,1,"(0, 4, 3, 2, 1)",1315.03338,10,5,0,10
4,128,256,2,14,0,1,1,"(1, 0, 2, 3, 4)",620.512295,10,5,0,10
4,2,16,16,15,0,0,1,"(1, 0, 4, 3, 2)",2066.7238785,10,5,0,10
4,16,128,16,7,1,1,0,"(0, 4, 2, 3, 1)",475.3003575,10,5,0,10
4,8,2,4,6,1,1,1,"(0, 1, 2, 3, 4)",245.696701,10,5,0,10
128,32,16,16,2,0,1,1,"(0, 1, 4, 2, 3)",144.8002545,10,5,0,10
4,16,128,2,19,0,1,1,"(0, 4, 2, 3, 1)",472.313311,10,5,0,10
32,32,32,32,11,0,0,0,"(1, 0, 2, 3, 4)",27.2149775,10,5,0,10
32,256,32,32,10,0,1,1,"(0, 4, 3, 2, 1)",110.867535,10,5,0,10
64,4,2,32,6,0,1,0,"(4, 0, 2, 3, 1)",30.281362,10,5,0,10
32,64,128,1,3,1,0,1,"(0, 1, 4, 2, 3)",828.6592965,10,5,0,10
8,256,32,16,3,1,1,1,"(4, 0, 3, 2, 1)",431.486478,10,5,0,10
8,16,16,1,4,1,0,0,"(0, 1, 4, 3, 2)",341.8226375,10,5,0,10
8,128,256,16,8,1,0,1,"(1, 0, 2, 3, 4)",1114.1259885,10,5,0,10
32,32,256,16,3,2,0,0,"(1, 0, 2, 3, 4)",333.944778,10,5,0,10
64,4,32,32,9,1,0,0,"(1, 0, 4, 3, 2)",119.43904,10,5,0,10
8,32,2,2,9,0,1,1,"(1, 0, 4, 2, 3)",69.1052085,10,5,0,10
16,256,4,4,13,1,1,1,"(1, 0, 2, 4, 3)",16.558722500000002,10,5,0,10
8,64,256,1,5,2,0,1,"(1, 0, 2, 3, 4)",1458.727754,10,5,0,10
16,32,32,32,19,1,0,0,"(0, 1, 2, 3, 4)",33.320225,10,5,0,10
32,128,2,2,4,1,1,1,"(1, 0, 2, 4, 3)",69.2523235,10,5,0,10
4,4,2,4,9,0,1,0,"(0, 1, 4, 2, 3)",1006.2479235,10,5,0,10
2,64,4,2,7,1,0,0,"(0, 1, 2, 3, 4)",423.2908125,10,5,0,10
2,2,2,32,5,1,0,0,"(1, 0, 4, 2, 3)",461.360516,10,5,0,10
128,16,128,16,5,2,0,1,"(1, 0, 4, 3, 2)",14.927502,10,5,0,10
32,128,256,8,8,0,0,1,"(0, 4, 3, 2, 1)",60.573729,10,5,0,10
32,128,2,4,20,1,1,1,"(0, 4, 3, 2, 1)",60.693518,10,5,0,10
256,256,128,4,14,0,1,1,"(1, 0, 2, 3, 4)",18.7857315,10,5,0,10
128,64,8,16,10,0,0,1,"(0, 1, 4, 3, 2)",2.115967,10,5,0,10
2,32,2,1,11,0,1,0,"(4, 0, 2, 3, 1)",940.6476465,10,5,0,10
64,32,4,32,12,0,0,1,"(0, 1, 4, 3, 2)",3.9707725,10,5,0,10
32,8,128,16,7,1,1,0,"(0, 4, 2, 3, 1)",56.6579815,10,5,0,10
128,4,4,32,19,1,0,1,"(4, 0, 3, 2, 1)",7.462676,10,5,0,10
4,16,256,8,6,0,1,1,"(0, 1, 2, 4, 3)",2551.6889105,10,5,0,10
4,128,4,2,3,0,0,1,"(4, 0, 3, 2, 1)",653.8067185,10,5,0,10
64,4,2,4,15,2,1,0,"(1, 0, 2, 3, 4)",3.317848,10,5,0,10
2,128,16,8,17,0,1,0,"(4, 0, 3, 2, 1)",1307.5095885,10,5,0,10
256,8,8,1,3,2,0,1,"(0, 4, 3, 2, 1)",7.239846999999999,10,5,0,10
16,2,32,8,10,2,0,1,"(0, 4, 2, 3, 1)",118.842871,10,5,0,10
2,256,16,2,4,0,0,0,"(0, 1, 4, 2, 3)",4851.591848,10,5,0,10
8,2,128,4,11,1,1,0,"(0, 1, 4, 2, 3)",3643.8953875,10,5,0,10
32,16,2,2,3,2,0,1,"(1, 0, 4, 3, 2)",25.8307235,10,5,0,10
16,4,8,16,12,1,1,1,"(1, 0, 2, 3, 4)",19.144658,10,5,0,10
32,64,8,4,20,2,0,0,"(0, 4, 2, 3, 1)",60.3955505,10,5,0,10
8,2,256,1,13,1,1,1,"(0, 1, 4, 3, 2)",1182.969099,10,5,0,10
64,16,64,8,19,2,1,0,"(0, 1, 4, 3, 2)",4.4060215,10,5,0,10
8,32,256,16,6,0,0,0,"(0, 4, 2, 3, 1)",238.5479875,10,5,0,10
32,8,4,16,18,0,1,0,"(0, 4, 3, 2, 1)",56.4057105,10,5,0,10
4,64,8,1,3,2,1,1,"(0, 1, 4, 2, 3)",2207.828059,10,5,0,10
64,32,8,4,16,1,0,1,"(0, 4, 3, 2, 1)",31.8763855,10,5,0,10
256,2,4,1,5,1,0,0,"(1, 0, 2, 3, 4)",16.266141,10,5,0,10
4,2,128,1,8,2,0,1,"(0, 1, 2, 4, 3)",693.5399884999999,10,5,0,10
32,4,16,8,15,2,1,0,"(4, 0, 3, 2, 1)",28.304244,10,5,0,10
8,4,256,4,16,1,0,0,"(4, 0, 3, 2, 1)",110.522724,10,5,0,10
8,2,2,8,13,0,0,1,"(0, 1, 2, 4, 3)",85.183876,10,5,0,10
32,2,64,32,10,0,1,0,"(4, 0, 3, 2, 1)",16.1117395,10,5,0,10
64,64,256,1,7,2,1,0,"(1, 0, 4, 2, 3)",355.5016405,10,5,0,10
32,4,64,16,9,1,1,0,"(4, 0, 3, 2, 1)",60.4240305,10,5,0,10
8,64,2,4,17,0,1,0,"(0, 1, 2, 3, 4)",55.8284815,10,5,0,10
32,4,128,1,16,1,1,0,"(0, 4, 3, 2, 1)",60.2668025,10,5,0,10
64,16,4,32,14,1,0,0,"(0, 1, 4, 2, 3)",69.3500005,10,5,0,10
256,8,32,8,11,0,0,1,"(1, 0, 4, 3, 2)",2.768707,10,5,0,10
4,128,64,8,12,2,1,1,"(0, 1, 4, 2, 3)",989.790163,10,5,0,10
8,128,8,4,18,1,1,1,"(0, 1, 2, 3, 4)",26.909424,10,5,0,10
2,64,4,8,2,2,1,0,"(4, 0, 2, 3, 1)",940.3548265,10,5,0,10
32,128,128,8,5,1,1,1,"(0, 1, 2, 4, 3)",198.7729605,10,5,0,10
4,4,64,1,8,1,0,0,"(1, 0, 2, 3, 4)",718.1060355,10,5,0,10
2,32,32,8,20,0,1,0,"(1, 0, 2, 4, 3)",210.501741,10,5,0,10
64,8,2,8,8,0,0,1,"(0, 1, 4, 2, 3)",15.4367825,10,5,0,10
16,256,32,32,2,0,0,1,"(4, 0, 3, 2, 1)",118.805555,10,5,0,10
8,128,4,16,14,2,1,1,"(4, 0, 2, 3, 1)",327.1563295,10,5,0,10
32,128,32,16,14,2,0,0,"(1, 0, 4, 2, 3)",43.77391,10,5,0,10
128,128,2,16,4,2,0,0,"(1, 0, 4, 2, 3)",27.4899465,10,5,0,10
4,64,16,32,18,1,0,1,"(4, 0, 3, 2, 1)",470.1864425,10,5,0,10
32,16,128,8,19,1,1,1,"(0, 4, 2, 3, 1)",60.972668,10,5,0,10
64,256,64,16,4,0,1,1,"(0, 1, 4, 2, 3)",219.913122,10,5,0,10
4,16,2,32,12,2,1,0,"(0, 4, 3, 2, 1)",472.521902,10,5,0,10
2,2,64,2,17,1,1,1,"(0, 1, 2, 4, 3)",4221.842291499999,10,5,0,10
128,8,128,32,3,2,0,1,"(0, 1, 4, 2, 3)",612.847158,10,5,0,10
64,8,32,32,20,2,1,0,"(0, 1, 2, 4, 3)",43.950797,10,5,0,10
128,64,64,4,13,0,0,0,"(1, 0, 4, 3, 2)",12.0885325,10,5,0,10
2,2,64,16,2,2,0,1,"(4, 0, 2, 3, 1)",250.7419175,10,5,0,10
8,32,16,32,9,1,0,0,"(0, 4, 2, 3, 1)",235.5287205,10,5,0,10
32,2,256,4,7,1,0,0,"(1, 0, 4, 2, 3)",1745.0199815,10,5,0,10
64,64,8,1,3,0,1,0,"(0, 1, 4, 3, 2)",13.199928,10,5,0,10
256,8,128,4,3,2,1,1,"(0, 1, 2, 3, 4)",87.958306,10,5,0,10
2,2,8,8,17,2,0,1,"(1, 0, 4, 3, 2)",533.350617,10,5,0,10
2,128,8,32,15,0,1,0,"(4, 0, 3, 2, 1)",1313.1387465,10,5,0,10
8,4,256,4,15,1,0,0,"(4, 0, 2, 3, 1)",111.760537,10,5,0,10
32,4,16,8,17,2,1,1,"(0, 1, 4, 2, 3)",389.3821215,10,5,0,10
32,32,2,32,12,0,1,0,"(4, 0, 2, 3, 1)",64.0326665,10,5,0,10
32,128,8,8,9,1,0,0,"(0, 1, 4, 2, 3)",41.0907245,10,5,0,10
256,128,32,4,5,1,0,0,"(0, 1, 2, 4, 3)",7.438992499999999,10,5,0,10
64,32,8,1,4,0,1,0,"(1, 0, 2, 3, 4)",24.5983555,10,5,0,10
4,8,64,32,20,2,0,0,"(4, 0, 2, 3, 1)",471.263653,10,5,0,10
8,32,256,8,7,2,0,1,"(1, 0, 4, 3, 2)",127.784827,10,5,0,10
2,64,64,1,14,2,0,1,"(0, 1, 4, 3, 2)",908.5436925,10,5,0,10
256,8,16,2,14,1,0,0,"(4, 0, 3, 2, 1)",7.302398500000001,10,5,0,10
128,128,128,1,13,2,1,0,"(1, 0, 4, 2, 3)",39.9962905,10,5,0,10
2,8,8,8,12,1,0,1,"(0, 1, 4, 2, 3)",705.632913,10,5,0,10
16,256,32,1,12,2,0,1,"(4, 0, 3, 2, 1)",118.6985445,10,5,0,10
2,16,4,8,7,2,0,1,"(0, 1, 4, 3, 2)",1536.25454,10,5,0,10
4,2,32,16,8,0,0,1,"(0, 4, 2, 3, 1)",124.813209,10,5,0,10
4,128,32,2,9,0,1,1,"(0, 1, 2, 4, 3)",289.920158,10,5,0,10
16,16,128,16,18,2,0,1,"(1, 0, 4, 2, 3)",293.3363885,10,5,0,10
8,256,256,32,13,1,1,1,"(0, 1, 4, 3, 2)",105.4286485,10,5,0,10
8,8,2,16,19,0,1,1,"(1, 0, 2, 4, 3)",184.779565,10,5,0,10
32,8,16,4,6,2,0,1,"(0, 4, 2, 3, 1)",60.3901475,10,5,0,10
256,4,8,1,13,2,0,1,"(1, 0, 4, 3, 2)",3.225103,10,5,0,10
2,256,256,4,15,2,1,0,"(1, 0, 2, 3, 4)",1137.872852,10,5,0,10
32,32,2,4,4,1,0,1,"(1, 0, 4, 3, 2)",83.1252935,10,5,0,10
256,128,256,8,14,1,0,0,"(1, 0, 2, 4, 3)",9.1357285,10,5,0,10
128,128,64,1,10,0,0,1,"(1, 0, 4, 3, 2)",11.450653,10,5,0,10
64,2,8,1,4,0,1,1,"(1, 0, 4, 2, 3)",175.96984650000002,10,5,0,10
128,4,64,16,4,0,0,0,"(0, 1, 2, 4, 3)",28.3809305,10,5,0,10
32,128,32,32,8,0,1,0,"(1, 0, 2, 3, 4)",46.537256,10,5,0,10
128,32,64,4,9,0,0,1,"(0, 4, 3, 2, 1)",16.258671,10,5,0,10
8,64,128,2,6,0,0,1,"(0, 1, 2, 3, 4)",978.4678255,10,5,0,10
256,8,64,8,5,0,1,1,"(0, 1, 4, 2, 3)",185.316053,10,5,0,10
128,16,32,16,10,1,0,1,"(0, 1, 2, 3, 4)",10.5754425,10,5,0,10
8,2,128,32,15,1,0,0,"(0, 1, 4, 3, 2)",345.3351865,10,5,0,10
16,2,256,2,12,0,0,1,"(1, 0, 2, 4, 3)",185.5439955,10,5,0,10
2,64,16,8,2,0,1,0,"(0, 1, 2, 3, 4)",964.0577425,10,5,0,10
16,16,4,16,16,1,0,1,"(0, 1, 2, 3, 4)",16.168526,10,5,0,10
128,256,16,2,8,0,1,1,"(0, 4, 3, 2, 1)",28.3001345,10,5,0,10
64,256,4,32,12,1,0,1,"(1, 0, 2, 3, 4)",6.025179,10,5,0,10
16,16,8,4,2,2,0,1,"(4, 0, 3, 2, 1)",118.6744145,10,5,0,10
32,8,128,32,15,0,1,0,"(0, 4, 2, 3, 1)",56.341539,10,5,0,10
4,16,4,8,12,1,1,1,"(0, 4, 3, 2, 1)",470.3198665,10,5,0,10
256,128,8,8,12,0,1,1,"(0, 1, 4, 3, 2)",0.9306545,10,5,0,10
128,32,64,16,9,1,1,1,"(0, 4, 3, 2, 1)",15.3339715,10,5,0,10
128,64,16,4,8,1,0,1,"(0, 1, 4, 2, 3)",20.7695265,10,5,0,10
32,128,16,32,7,2,0,0,"(0, 4, 3, 2, 1)",60.6558255,10,5,0,10
256,256,16,16,10,1,0,1,"(0, 4, 3, 2, 1)",14.2751615,10,5,0,10
32,16,16,32,12,0,1,0,"(4, 0, 2, 3, 1)",60.41932,10,5,0,10
64,4,8,16,20,1,1,1,"(0, 1, 2, 4, 3)",7.302490499999999,10,5,0,10
256,8,32,4,16,2,1,0,"(4, 0, 3, 2, 1)",7.2316015,10,5,0,10
4,128,16,2,8,1,0,1,"(0, 4, 2, 3, 1)",471.546532,10,5,0,10
4,4,256,8,10,0,1,1,"(0, 1, 4, 2, 3)",8466.211698,10,5,0,10
8,32,8,4,13,1,0,0,"(4, 0, 3, 2, 1)",235.2005225,10,5,0,10
16,128,64,1,19,1,0,0,"(1, 0, 2, 4, 3)",39.045231,10,5,0,10
16,8,8,16,2,0,1,1,"(4, 0, 2, 3, 1)",118.8077385,10,5,0,10
64,32,64,1,4,2,1,1,"(1, 0, 2, 4, 3)",63.5971155,10,5,0,10
256,4,32,32,2,0,0,0,"(1, 0, 2, 3, 4)",34.4111365,10,5,0,10
16,256,256,16,20,1,1,0,"(1, 0, 4, 2, 3)",709.429295,10,5,0,10
128,32,16,8,10,0,1,0,"(0, 4, 3, 2, 1)",16.286640499999997,10,5,0,10
16,8,8,2,2,2,1,1,"(0, 4, 3, 2, 1)",110.5258875,10,5,0,10
128,4,8,16,11,1,0,0,"(0, 4, 3, 2, 1)",15.4051055,10,5,0,10
128,8,128,16,13,0,0,1,"(0, 1, 4, 2, 3)",370.024483,10,5,0,10
256,16,64,16,8,2,1,0,"(0, 1, 2, 4, 3)",20.3313825,10,5,0,10
64,8,128,8,3,2,0,1,"(0, 4, 3, 2, 1)",30.605448,10,5,0,10
8,32,4,2,2,1,1,1,"(1, 0, 2, 4, 3)",475.345219,10,5,0,10
32,8,2,8,3,1,0,1,"(1, 0, 2, 3, 4)",100.224643,10,5,0,10
8,128,256,2,15,2,1,0,"(0, 4, 2, 3, 1)",333.42386250000004,10,5,0,10
128,4,8,2,20,0,0,0,"(0, 1, 2, 3, 4)",4.1870635,10,5,0,10
2,128,2,8,3,1,0,0,"(1, 0, 2, 3, 4)",304.180964,10,5,0,10
128,16,128,2,12,0,0,0,"(4, 0, 2, 3, 1)",15.4683435,10,5,0,10
2,64,4,2,13,2,0,0,"(1, 0, 4, 3, 2)",858.2052874999999,10,5,0,10
128,128,64,1,8,1,0,1,"(1, 0, 2, 4, 3)",51.723929,10,5,0,10
256,16,16,32,11,0,0,1,"(0, 1, 4, 3, 2)",2.085198,10,5,0,10
2,8,4,16,5,2,0,0,"(0, 1, 4, 3, 2)",2021.3259765,10,5,0,10
