chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
16,4,64,14,2,0,0,0,"(4, 1, 0, 3, 2)",hpclab61.idi.ntnu.no,255.4403925,"[270.10736, 255.641989, 255.464398, 254.947526, 255.117127, 255.617798, 255.700918, 255.384818, 255.416387, 255.129476]",1702590646935.0,1.0,9.711338800000158
8,4,8,16,1,1,1,0,"(1, 0, 4, 3, 2)",hpclab61.idi.ntnu.no,113.384832,"[127.258314, 113.464532, 113.431452, 113.754133, 113.532962, 113.664982, 113.341772, 113.360482, 113.505383, 113.342522]",1702590653454.0,1.0,5.196606000000247
4,1,1,12,2,1,0,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,115.8018785,"[128.828385, 115.995214, 116.515295, 116.190404, 115.357575, 114.913793, 115.800904, 114.977913, 115.703803, 116.057775]",1702590660084.0,1.0,4.4086543000001255
8,1,4,2,2,0,0,0,"(0, 1, 4, 3, 2)",hpclab61.idi.ntnu.no,387.2580895,"[429.490338, 386.973304, 387.248133, 387.273253, 387.203735, 387.209653, 387.026703, 387.201195, 387.197773, 387.164054]",1702590680396.0,1.0,11.02446480000035
16,8,1,12,2,1,1,0,"(1, 0, 3, 2, 4)",hpclab61.idi.ntnu.no,138.006397,"[156.152326, 138.131832, 138.545902, 137.949803, 137.783531, 137.587801, 138.231602, 138.230002, 139.064132, 138.263042]",1702590688242.0,1.0,6.038463300000148
8,4,32,4,2,1,1,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,166.502595,"[195.123018, 167.479206, 167.456894, 167.544345, 167.311916, 167.557656, 167.485005, 167.521084, 167.740586, 167.828226]",1702590697077.0,1.0,5.615609199999381
16,1,16,16,0,1,1,0,"(1, 0, 3, 4, 2)",hpclab61.idi.ntnu.no,129.930449,"[147.946351, 130.495256, 132.239136, 129.837044, 130.208956, 129.949785, 129.860664, 131.584835, 129.835845, 129.998736]",1702590704373.0,1.0,5.6582449000001365
8,4,1,16,0,0,1,0,"(4, 0, 1, 3, 2)",hpclab61.idi.ntnu.no,162.947407,"[176.879613, 162.930483, 174.983112, 163.033131, 163.108721, 162.904152, 162.827931, 162.717172, 162.864461, 162.964331]",1702590713406.0,1.0,6.898602400000527
16,4,4,14,0,0,1,0,"(4, 0, 1, 3, 2)",hpclab62.idi.ntnu.no,170.0391095,"[183.01389, 169.45748, 169.50116, 170.948797, 169.632401, 169.922349, 169.64339, 169.346653, 169.801919, 169.85034]",1702590630201.0,1.0,6.741408299999966
4,1,8,12,1,0,0,0,"(1, 0, 4, 3, 2)",hpclab62.idi.ntnu.no,120.708928,"[134.175947, 120.742347, 120.670248, 120.628627, 120.793078, 120.521807, 120.612238, 120.810786, 120.459458, 120.487347]",1702590637050.0,1.0,5.037659100000019
16,1,2,4,2,0,0,0,"(4, 1, 0, 3, 2)",hpclab62.idi.ntnu.no,253.528082,"[274.140135, 253.585757, 253.47603, 253.345268, 253.531318, 253.43033, 253.541597, 253.460269, 253.526007, 253.628779]",1702590650601.0,1.0,8.069301700000143
8,1,32,16,0,0,1,0,"(1, 0, 3, 4, 2)",hpclab62.idi.ntnu.no,117.207732,"[133.806178, 116.53599, 117.234188, 117.849855, 116.89749, 117.008238, 117.626747, 115.535743, 114.318167, 113.346119]",1702590657262.0,1.0,4.999524699999893
4,2,16,12,2,0,1,0,"(0, 1, 4, 3, 2)",hpclab62.idi.ntnu.no,96.42701,"[112.576872, 96.153391, 96.793969, 97.093218, 96.331951, 96.7752, 96.948619, 96.26617, 94.375116, 94.366617]",1702590662922.0,1.0,4.284386699999959
64,1,8,16,2,0,0,0,"(0, 1, 4, 3, 2)",hpclab62.idi.ntnu.no,106.1109205,"[119.133215, 106.165555, 105.017878, 106.104033, 107.168072, 106.210613, 106.731054, 107.411581, 106.647272, 105.597306]",1702590669039.0,1.0,4.580102499999702
32,4,8,2,1,1,1,0,"(0, 1, 3, 4, 2)",hpclab62.idi.ntnu.no,479.923637,"[518.013447, 479.995317, 479.915517, 479.680859, 479.818427, 479.781857, 480.138336, 479.785887, 480.148968, 479.987597]",1702590693992.0,1.0,12.397506500000237
64,2,16,4,1,0,1,0,"(0, 1, 3, 2, 4)",hpclab62.idi.ntnu.no,207.8166465,"[228.340971, 207.94308, 208.51898, 208.467289, 208.506839, 208.417959, 208.478669, 208.544178, 208.46789, 208.441771]",1702590705253.0,1.0,6.594527400000516
8,2,64,6,1,0,1,0,"(4, 0, 1, 3, 2)",hpclab62.idi.ntnu.no,118.9817815,"[133.506085, 118.837628, 118.946098, 118.809998, 119.036608, 118.935916, 119.145747, 118.962648, 118.810538, 118.830878]",1702590712060.0,1.0,4.798212399999829
32,4,1,16,1,1,0,0,"(1, 0, 4, 3, 2)",hpclab62.idi.ntnu.no,141.778111,"[155.438131, 141.497734, 141.856871, 141.590792, 141.756911, 142.1795, 141.446112, 141.748472, 141.774052, 142.351669]",1702590720018.0,1.0,5.857199799999944
64,8,16,10,0,0,0,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,321.950793,"[334.188366, 320.332281, 321.793885, 321.740016, 321.923504, 321.875304, 323.500934, 323.910011, 318.878367, 320.706956]",1702590637756.0,1.0,11.3521137000007
8,1,64,4,0,1,0,0,"(1, 0, 3, 2, 4)",hpclab63.idi.ntnu.no,208.538919,"[228.704076, 208.408671, 208.406731, 208.505259, 208.850126, 208.391971, 208.291881, 208.529299, 208.701228, 208.385091]",1702590649011.0,1.0,6.606410300000789
64,2,2,14,2,0,1,0,"(0, 1, 3, 2, 4)",hpclab63.idi.ntnu.no,93.873685,"[99.581686, 93.91464, 93.723883, 94.233017, 93.522083, 93.739461, 93.539083, 93.286826, 93.376605, 93.063519]",1702590654486.0,1.0,4.170160999999643
32,1,2,16,2,0,1,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,156.285397,"[170.428982, 156.424385, 155.871043, 156.191259, 156.751894, 157.05863, 156.06598, 160.178237, 156.208508, 156.912012]",1702590663136.0,1.0,6.174410599999464
16,4,64,6,0,1,0,0,"(1, 0, 3, 4, 2)",hpclab63.idi.ntnu.no,185.138713,"[202.824103, 184.99807, 184.523065, 184.517965, 184.625334, 185.15774, 185.03931, 185.206117, 185.089779, 184.690513]",1702590673238.0,1.0,6.7703162000001615
64,2,16,12,0,0,1,0,"(1, 0, 3, 4, 2)",hpclab63.idi.ntnu.no,165.184534,"[180.931725, 164.442129, 165.209349, 165.427866, 165.945932, 164.357908, 165.159719, 164.744215, 165.252559, 165.048032]",1702590682362.0,1.0,6.391084900000351
64,1,4,2,1,0,0,0,"(1, 0, 3, 2, 4)",hpclab63.idi.ntnu.no,404.070003,"[444.433724, 404.093522, 403.881835, 404.080924, 404.020044, 403.916125, 403.974934, 404.069492, 404.005433, 404.072702]",1702590703484.0,1.0,10.84574930000017
8,4,1,16,1,0,0,0,"(4, 0, 1, 3, 2)",hpclab63.idi.ntnu.no,151.8510215,"[165.444986, 151.972745, 151.76331, 151.808047, 151.896527, 152.000135, 151.819939, 151.782247, 151.767879, 151.853278]",1702590711932.0,1.0,6.115729900000588
8,2,8,14,1,1,1,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,154.132933,"[167.352765, 154.324361, 154.160021, 154.177483, 154.32218, 154.28921, 154.199052, 154.268789, 153.852766, 153.805035]",1702590720467.0,1.0,5.963676300000225
16,4,64,16,1,0,1,0,"(1, 4, 0, 3, 2)",hpclab63.idi.ntnu.no,217.43486,"[231.394544, 216.758279, 217.071895, 216.397933, 216.855038, 217.153934, 216.946776, 216.955826, 216.720919, 216.752519]",1702590732201.0,1.0,7.983540899999935
16,8,8,16,0,1,0,0,"(4, 1, 0, 3, 2)",hpclab19.idi.ntnu.no,318.136183,"[332.657053, 317.668828, 317.484136, 319.931359, 318.010767, 317.576177, 320.163369, 320.397488, 317.645959, 317.293897]",1702590749042.0,1.0,11.770710899999973
16,8,2,4,2,1,1,0,"(4, 0, 1, 3, 2)",hpclab19.idi.ntnu.no,332.0626775,"[359.411431, 331.840202, 331.190712, 331.528782, 331.898182, 331.947622, 331.365902, 331.957183, 332.131843, 331.506932]",1702590766613.0,1.0,10.557051499999943
32,1,32,2,2,0,0,0,"(1, 0, 4, 3, 2)",hpclab19.idi.ntnu.no,421.759282,"[464.468668, 421.568493, 421.597731, 421.838523, 421.815333, 421.738093, 421.788823, 422.707303, 421.667364, 421.420332]",1702590788666.0,1.0,11.384229100000038
16,8,64,4,0,1,0,0,"(1, 0, 3, 2, 4)",hpclab19.idi.ntnu.no,240.299987,"[261.953259, 240.059602, 240.167921, 240.228252, 240.183251, 240.147731, 240.219312, 240.321861, 240.193831, 240.118931]",1702590801660.0,1.0,7.789874400000054
8,4,16,2,1,0,0,0,"(0, 1, 3, 4, 2)",hpclab19.idi.ntnu.no,479.918528,"[518.036325, 479.946762, 479.954122, 479.725633, 479.826604, 479.734372, 479.950592, 479.835063, 479.898442, 479.992713]",1702590826613.0,1.0,12.458971600000087
16,1,64,12,1,0,0,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,123.085522,"[136.612186, 123.026861, 123.115161, 123.232861, 123.150852, 122.820422, 123.207851, 123.112431, 123.077173, 122.839542]",1702590833627.0,1.0,4.538294999999925
16,4,1,12,2,1,1,0,"(1, 4, 0, 3, 2)",hpclab19.idi.ntnu.no,216.881828,"[230.880579, 216.605144, 216.510633, 216.825345, 217.451534, 216.799313, 216.481163, 216.477113, 216.878745, 216.464423]",1702590845346.0,1.0,8.06462819999997
64,1,1,2,0,0,0,0,"(0, 1, 2, 3, 4)",hpclab19.idi.ntnu.no,141.93626799999998,"[185.283462, 141.649308, 142.905448, 141.508589, 141.438808, 144.080129, 143.745179, 142.044438, 142.430988, 142.567579]",1702590853463.0,1.0,4.193322600000011
16,4,16,4,2,0,1,0,"(4, 0, 1, 3, 2)",hpclab19.idi.ntnu.no,234.0352585,"[262.534178, 233.863319, 233.823279, 233.914769, 234.030259, 236.16605, 235.00987, 234.959009, 234.240709, 234.131589]",1702590866100.0,1.0,7.559614300000339
64,1,8,6,0,0,0,0,"(0, 1, 3, 4, 2)",hpclab19.idi.ntnu.no,126.836427,"[163.413866, 126.696923, 126.855653, 126.776472, 126.943564, 126.771052, 127.607574, 127.287872, 126.797403, 126.849822]",1702590873244.0,1.0,4.9366922000000155
32,1,16,6,0,0,1,0,"(1, 0, 3, 2, 4)",hpclab61.idi.ntnu.no,191.416494,"[217.116594, 191.820625, 190.582344, 191.393283, 190.845054, 191.476243, 191.267255, 193.999697, 190.214572, 191.439705]",1702590742607.0,1.0,7.190881900000386
4,2,2,12,0,0,1,0,"(0, 1, 4, 3, 2)",hpclab61.idi.ntnu.no,117.665365,"[130.784484, 117.400725, 117.577715, 117.522785, 117.617035, 117.545135, 117.693745, 117.884873, 117.738824, 118.094494]",1702590749339.0,1.0,5.023351900000489
64,1,1,10,0,0,1,0,"(4, 0, 1, 3, 2)",hpclab61.idi.ntnu.no,156.097775,"[170.087616, 160.153529, 149.22688, 156.072176, 156.481936, 157.165817, 149.119019, 154.904515, 159.417708, 146.935578]",1702590757882.0,1.0,6.22558760000029
32,8,64,2,1,1,0,0,"(1, 4, 0, 3, 2)",hpclab61.idi.ntnu.no,553.4691339999999,"[598.653911, 553.068944, 552.956833, 553.259464, 553.815515, 553.363553, 553.920765, 553.474884, 553.412053, 553.318005]",1702590786587.0,1.0,16.39821370000136
32,1,64,14,2,0,1,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,153.4582535,"[167.428314, 153.135593, 153.064352, 152.647612, 153.357804, 153.058692, 152.979172, 153.438675, 153.352302, 153.228412]",1702590795114.0,1.0,5.71462010000032
32,2,16,4,2,1,0,0,"(1, 0, 3, 2, 4)",hpclab61.idi.ntnu.no,230.6662845,"[253.863453, 230.738045, 230.662705, 230.584814, 230.742344, 230.656523, 230.509544, 230.707335, 230.572475, 230.669864]",1702590807530.0,1.0,8.077908699998806
2,1,16,12,0,0,0,0,"(0, 1, 4, 3, 2)",hpclab61.idi.ntnu.no,121.537182,"[135.073318, 121.321358, 119.493216, 121.944786, 120.954907, 121.333888, 121.611788, 121.317885, 121.304537, 121.429418]",1702590814411.0,1.0,5.112560700000176
32,8,32,12,2,0,0,0,"(1, 0, 4, 3, 2)",hpclab61.idi.ntnu.no,175.52659999999997,"[188.789441, 176.31551, 176.18142, 175.44532, 175.714382, 175.06843, 175.1092, 174.98241, 174.51265, 175.134311]",1702590824033.0,1.0,7.567871900000318
2,1,4,2,1,0,0,0,"(1, 4, 0, 3, 2)",hpclab61.idi.ntnu.no,466.437802,"[509.107946, 466.471282, 466.280943, 466.296902, 466.462842, 466.441282, 466.345601, 468.389713, 466.434322, 466.407283]",1702590848339.0,1.0,13.085299200000009
32,2,32,6,0,0,0,0,"(1, 0, 4, 3, 2)",hpclab61.idi.ntnu.no,170.841472,"[185.179059, 170.708595, 171.309087, 170.807876, 170.877266, 170.669905, 170.754026, 185.888699, 171.668167, 171.307715]",1702590857741.0,1.0,6.6368574999985865
32,4,32,6,2,0,1,0,"(1, 4, 0, 3, 2)",hpclab62.idi.ntnu.no,267.01695600000005,"[289.458866, 271.700777, 271.816606, 271.831756, 271.553048, 271.886427, 271.777019, 271.780126, 271.992696, 271.918876]",1702590745907.0,1.0,9.017642999999225
8,4,4,16,2,1,0,0,"(0, 1, 3, 2, 4)",hpclab62.idi.ntnu.no,91.80744,"[96.434241, 91.789077, 91.849505, 91.895957, 91.505066, 91.550596, 91.312688, 92.051624, 92.364035, 91.879725]",1702590751322.0,1.0,4.317257100000643
2,1,8,2,1,1,0,0,"(0, 4, 1, 3, 2)",hpclab62.idi.ntnu.no,386.078453,"[429.504182, 386.125158, 386.084627, 386.124677, 386.143957, 386.224785, 386.150997, 386.203177, 386.148808, 386.162017]",1702590771590.0,1.0,10.003665099999854
4,1,16,16,0,1,0,0,"(4, 1, 0, 3, 2)",hpclab62.idi.ntnu.no,114.589125,"[128.534438, 113.586603, 114.109881, 114.342301, 114.482059, 114.292411, 114.319851, 114.115102, 114.532939, 114.77374]",1702590778160.0,1.0,5.03563750000103
64,1,16,16,0,1,0,0,"(1, 0, 2, 3, 4)",hpclab62.idi.ntnu.no,157.52187550000002,"[172.357124, 157.597985, 156.843918, 157.085148, 156.838017, 157.502037, 157.323906, 157.546445, 161.999684, 158.528133]",1702590786902.0,1.0,5.656407699999181
32,2,16,4,0,0,1,0,"(0, 1, 3, 4, 2)",hpclab62.idi.ntnu.no,306.5068875,"[332.802151, 306.225309, 306.548467, 306.614766, 306.484327, 306.492518, 306.622816, 306.573538, 306.437296, 306.612897]",1702590803110.0,1.0,8.654857800000173
8,4,16,4,1,0,1,0,"(0, 1, 3, 2, 4)",hpclab62.idi.ntnu.no,264.508067,"[291.017751, 264.452378, 264.807947, 264.745047, 264.822297, 264.884157, 264.701627, 264.741637, 264.823587, 264.804467]",1702590817270.0,1.0,7.620710399999007
32,4,1,4,0,1,1,0,"(1, 0, 3, 2, 4)",hpclab62.idi.ntnu.no,295.5246985,"[323.298288, 295.455268, 295.622269, 295.406438, 295.485548, 295.563368, 295.590787, 295.884929, 295.543408, 295.614069]",1702590832995.0,1.0,8.931334499999503
16,8,64,14,1,0,1,0,"(4, 0, 1, 3, 2)",hpclab62.idi.ntnu.no,288.0230215,"[301.450681, 287.682672, 287.650091, 288.139659, 287.461113, 287.963789, 287.99261, 287.266204, 287.373541, 287.81566]",1702590848242.0,1.0,10.727477099999305
64,2,16,12,0,0,0,0,"(1, 4, 0, 3, 2)",hpclab62.idi.ntnu.no,200.7163765,"[213.730814, 201.08358, 200.998671, 201.077601, 200.852121, 201.22573, 199.630275, 199.598105, 200.250803, 200.444723]",1702590859121.0,1.0,7.455411199999799
4,1,16,12,1,1,1,0,"(1, 4, 0, 3, 2)",hpclab63.idi.ntnu.no,124.3250825,"[137.711284, 124.273062, 124.453752, 124.311763, 124.369933, 124.330321, 124.290703, 124.294313, 124.278293, 124.476979]",1702590739249.0,1.0,5.1238744000005685
8,4,64,2,2,0,0,0,"(0, 1, 4, 3, 2)",hpclab63.idi.ntnu.no,301.532849,"[344.66285, 302.110613, 301.485679, 301.404122, 301.48042, 301.43925, 302.032673, 301.580019, 301.36226, 301.801376]",1702590755335.0,1.0,8.165353800000593
32,2,4,6,1,1,1,0,"(1, 0, 3, 2, 4)",hpclab63.idi.ntnu.no,194.074165,"[214.927279, 194.135688, 194.122259, 193.883221, 194.038109, 193.820384, 193.953511, 193.738093, 193.897911, 194.098559]",1702590765902.0,1.0,6.71368930000026
4,1,32,2,2,0,1,0,"(0, 1, 4, 3, 2)",hpclab63.idi.ntnu.no,759.4177095,"[845.970297, 759.13592, 759.179947, 759.379637, 759.415855, 759.490115, 759.461185, 759.419564, 759.464655, 759.212226]",1702590805069.0,1.0,17.514326899999652
32,8,64,14,2,1,0,0,"(0, 1, 4, 3, 2)",hpclab63.idi.ntnu.no,120.2965225,"[130.697053, 115.724528, 122.279835, 122.219084, 120.590764, 115.916496, 118.757685, 121.166367, 120.558004, 121.021729]",1702590811853.0,1.0,5.315377499999886
8,1,1,10,2,1,0,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,81.78153449999999,"[97.770648, 82.963141, 83.575493, 82.97898, 82.12494, 81.730664, 81.467909, 81.21884, 84.245286, 81.406897]",1702590816804.0,1.0,3.1726844999993773
4,2,2,2,2,1,1,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,631.0196035,"[717.076574, 631.529301, 630.86873, 630.785701, 631.340855, 630.261057, 630.589323, 630.447973, 631.080968, 630.90495]",1702590849559.0,1.0,15.037051899999643
2,1,32,10,0,0,1,0,"(0, 1, 4, 3, 2)",hpclab63.idi.ntnu.no,148.5566485,"[160.014336, 147.573466, 135.034813, 151.74724, 149.147637, 135.168933, 147.387268, 135.091142, 151.417143, 149.873268]",1702590857652.0,1.0,5.281692599999223
2,1,4,4,0,1,0,0,"(1, 0, 3, 4, 2)",hpclab63.idi.ntnu.no,193.8002175,"[212.03704, 193.827212, 193.735984, 193.834942, 193.864461, 193.837402, 193.839024, 193.723004, 193.787723, 193.737253]",1702590868166.0,1.0,6.145005399999718
32,2,4,14,2,1,1,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,192.615978,"[206.147038, 192.998254, 192.802988, 192.333232, 192.617998, 192.576041, 192.47525, 192.206542, 193.066825, 192.613958]",1702590878643.0,1.0,7.099929000000339
8,1,2,8,0,0,1,0,"(1, 4, 0, 3, 2)",hpclab19.idi.ntnu.no,163.1301505,"[177.809169, 163.286625, 163.316715, 163.051965, 163.123945, 163.139445, 163.072035, 163.240186, 163.371076, 163.044716]",1702590887665.0,1.0,6.261890700000004
64,2,2,8,2,0,0,0,"(1, 0, 3, 2, 4)",hpclab19.idi.ntnu.no,165.6576415,"[190.992634, 166.504056, 166.435336, 166.054856, 165.661775, 165.761867, 165.673547, 165.554456, 165.665006, 165.651236]",1702590896845.0,1.0,6.571385699999974
16,4,8,6,0,1,1,0,"(0, 4, 1, 3, 2)",hpclab19.idi.ntnu.no,129.63590399999998,"[146.960361, 129.631313, 129.562985, 129.712353, 129.598865, 129.798203, 129.481904, 129.607044, 129.697083, 129.640495]",1702590904215.0,1.0,4.944296900000063
8,2,16,12,2,0,1,0,"(0, 1, 3, 2, 4)",hpclab19.idi.ntnu.no,97.596168,"[105.713076, 97.671763, 97.577942, 96.858153, 98.297353, 98.110963, 97.277133, 97.578243, 97.235145, 98.080763]",1702590909889.0,1.0,4.410363199999847
64,1,8,6,1,1,1,0,"(0, 1, 3, 4, 2)",hpclab19.idi.ntnu.no,149.316435,"[165.695776, 149.54762, 149.38889, 149.27662, 149.23117, 149.245891, 149.24148, 149.24795, 149.294351, 149.21778]",1702590918151.0,1.0,5.393056199999956
64,1,2,4,1,0,0,0,"(1, 0, 3, 2, 4)",hpclab19.idi.ntnu.no,226.575711,"[253.957476, 226.645196, 226.574008, 226.519328, 226.654306, 226.332227, 226.363566, 226.885137, 226.648748, 226.644316]",1702590930355.0,1.0,7.610678199999893
16,4,1,8,2,0,1,0,"(4, 1, 0, 3, 2)",hpclab19.idi.ntnu.no,227.455246,"[243.999119, 227.768611, 227.707081, 236.407825, 227.350443, 227.793742, 227.272413, 228.022711, 227.204691, 227.283043]",1702590942621.0,1.0,8.20603310000006
32,4,32,8,0,0,0,0,"(0, 4, 1, 3, 2)",hpclab19.idi.ntnu.no,94.167254,"[107.424329, 93.600514, 93.875534, 93.982543, 93.880564, 93.927485, 93.841574, 93.711624, 94.148424, 93.911394]",1702590948193.0,1.0,4.338061500000004
32,2,32,6,2,1,1,0,"(1, 0, 3, 2, 4)",hpclab19.idi.ntnu.no,206.4774145,"[230.686164, 206.314274, 207.006474, 206.381094, 206.843716, 206.634424, 206.286364, 206.445274, 206.030285, 206.608734]",1702590959409.0,1.0,7.262727200000154
8,4,2,4,0,0,0,0,"(0, 1, 3, 4, 2)",hpclab19.idi.ntnu.no,241.181312,"[261.482734, 243.068838, 241.055538, 241.916207, 241.187817, 241.174807, 241.089546, 241.122307, 241.261648, 241.151547]",1702590972345.0,1.0,7.657355800000005
2,1,8,12,0,0,1,0,"(1, 0, 3, 4, 2)",hpclab61.idi.ntnu.no,130.8027885,"[140.523932, 131.507205, 131.072624, 130.532953, 129.788324, 129.745264, 135.469358, 129.981754, 134.853748, 129.320891]",1702590885966.0,1.0,5.494106800000009
32,2,8,16,2,1,1,0,"(0, 1, 2, 3, 4)",hpclab61.idi.ntnu.no,92.1006235,"[105.706075, 91.424953, 92.026833, 91.914483, 92.015353, 92.171634, 91.987683, 91.929383, 92.201723, 91.923193]",1702590891556.0,1.0,3.61727050000045
64,1,16,16,1,1,0,0,"(1, 0, 3, 4, 2)",hpclab61.idi.ntnu.no,161.870258,"[180.549634, 161.983149, 161.411968, 162.162918, 161.778478, 161.556929, 161.057547, 162.256069, 161.962038, 161.311898]",1702590900467.0,1.0,6.682982799999445
32,4,64,8,1,0,0,0,"(0, 1, 3, 2, 4)",hpclab61.idi.ntnu.no,112.146704,"[122.064266, 112.168069, 112.253089, 112.45996, 112.2401, 112.176069, 111.8639, 112.175259, 112.253638, 112.21614]",1702590906925.0,1.0,4.87568950000059
32,1,16,14,1,1,1,0,"(1, 4, 0, 3, 2)",hpclab61.idi.ntnu.no,170.32086099999998,"[183.762696, 170.245564, 170.257716, 169.943455, 170.362994, 170.134825, 169.865694, 170.067224, 170.298376, 170.336624]",1702590916267.0,1.0,6.928715899998497
64,8,32,2,2,1,1,0,"(1, 0, 3, 2, 4)",hpclab61.idi.ntnu.no,874.0082555,"[950.05931, 874.02246, 873.84306, 873.4825, 874.06055, 873.994051, 873.85983, 873.74079, 874.140941, 874.032889]",1702590961205.0,1.0,22.46968449999913
4,1,32,12,0,0,1,0,"(0, 1, 2, 3, 4)",hpclab61.idi.ntnu.no,80.968838,"[96.645755, 82.810036, 80.187043, 80.618614, 77.956231, 77.585631, 82.788105, 79.786473, 79.539262, 83.527157]",1702590966092.0,1.0,3.200158300001931
32,8,64,4,0,0,1,0,"(1, 0, 3, 2, 4)",hpclab61.idi.ntnu.no,451.0046305,"[490.602188, 450.375855, 451.049565, 451.077225, 451.022296, 450.778615, 450.811815, 450.538415, 450.499465, 451.055385]",1702590989691.0,1.0,13.090443800000504
64,2,2,8,0,1,1,0,"(0, 1, 3, 4, 2)",hpclab61.idi.ntnu.no,154.05504100000002,"[167.34853, 154.030551, 154.047542, 157.299094, 155.305502, 155.080462, 153.875521, 153.900022, 153.994811, 154.112511]",1702590998204.0,1.0,6.074244699998235
16,8,8,2,0,0,0,0,"(0, 1, 3, 4, 2)",hpclab61.idi.ntnu.no,535.2893105,"[569.689117, 535.405601, 535.394999, 535.327231, 535.091361, 535.042459, 535.156941, 535.136689, 535.25139, 535.666871]",1702591025894.0,1.0,14.896563800000148
