chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
32,64,16,32,2,0,0,0,0,"(4, 2, 0, 3, 1)",hpclab61.idi.ntnu.no,31.073296,"[31.121336, 30.990217, 31.069226, 31.006816, 30.973477, 31.161957, 31.087306, 31.073296, 30.960036, 31.042306, 31.178706, 31.131536, 31.043657, 31.036716, 31.029286, 31.142217, 31.162956, 31.027266, 31.006967, 31.094236, 31.130637, 31.120696, 31.043457, 31.092716, 31.033206]",1704592053791,True,0.7808740000000398
8,8,16,8,14,0,0,0,0,"(1, 0, 3, 4, 2)",hpclab61.idi.ntnu.no,31.092716,"[31.130637, 31.120696, 31.043457, 31.092716, 31.033206, 31.130637, 31.120696, 31.043457, 31.092716, 31.033206, 31.130637, 31.120696, 31.043457, 31.092716, 31.033206, 31.130637, 31.120696, 31.043457, 31.092716, 31.033206, 31.130637, 31.120696, 31.043457, 31.092716, 31.033206]",1704592063995,False,0.7824760000003153
8,4,16,8,2,0,0,0,0,"(4, 3, 1, 0, 2)",hpclab61.idi.ntnu.no,268.606214,"[268.661203, 268.606214, 268.596644, 268.617114, 268.592874, 223.939042, 224.143312, 224.292174, 223.825671, 223.459873, 268.662044, 268.610385, 268.658484, 268.601706, 268.611945, 223.536341, 224.020043, 223.587382, 223.607313, 224.495752, 268.595376, 268.625114, 268.613855, 268.789054, 268.586475]",1704592080953,True,6.536131000000751
128,2,64,2,2,0,0,0,0,"(4, 0, 2, 3, 1)",hpclab61.idi.ntnu.no,2.661693,"[17.25641, 17.22705, 17.22681, 17.22422, 17.22321, 2.695993, 2.659113, 2.669213, 2.650623, 2.657683, 2.716823, 2.661693, 2.648733, 2.661123, 2.667273, 2.701073, 2.653593, 2.653033, 2.656763, 2.657423, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231]",1704592091839,True,0.0807760000025155
256,256,2,2,12,0,0,0,0,"(1, 4, 3, 2, 0)",hpclab61.idi.ntnu.no,17.22582,"[17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231]",1704592102025,False,0.4117679999981192
128,128,64,8,6,0,0,0,0,"(4, 2, 1, 0, 3)",hpclab61.idi.ntnu.no,17.22582,"[17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231, 17.254291, 17.22707, 17.22582, 17.222091, 17.22231]",1704592112206,False,0.4117679999981192
16,64,2,4,2,0,0,0,0,"(0, 1, 4, 3, 2)",hpclab61.idi.ntnu.no,1311.097332,"[34.03257, 33.411239, 33.406799, 33.400849, 33.394249, 1311.097332, 1311.512122, 1310.951672, 1310.476041, 1311.41541, 33.564499, 33.398709, 33.352769, 33.343049, 33.405199, 1310.467721, 1310.998442, 1312.083452, 1311.846202, 1311.745941, 1311.238132, 1311.70332, 1311.364302, 1311.25408, 1310.326869]",1704592142887,True,30.917499000002863
2,4,128,2,12,0,0,0,0,"(1, 0, 4, 2, 3)",hpclab61.idi.ntnu.no,4923.801546,"[4899.119773, 4923.813641, 4931.560739, 4905.999397, 4923.801546, 11062.12231, 4931.211129, 4933.647311, 4967.644178, 4891.132627, 4912.53035, 4911.577207, 4911.901585, 4930.379048, 4909.336639, 4920.459762, 4915.811495, 4945.082665, 4974.291469, 4913.237335, 4894.164322]",1704592263089,True,210.4502519999951
256,4,2,4,4,0,0,0,0,"(4, 3, 0, 2, 1)",hpclab61.idi.ntnu.no,1.809412,"[8.675891, 8.6903, 8.68892, 8.68537, 8.685009, 1.812542, 1.821382, 1.811222, 1.802392, 1.810872, 1.804692, 1.825592, 1.807322, 1.820282, 1.808203, 1.805532, 1.829202, 1.807092, 1.822763, 1.809382, 1.799762, 1.839042, 1.807093, 1.819932, 1.809412]",1704592273826,True,0.054470999995828606
16,128,256,4,10,0,0,0,0,"(1, 0, 2, 4, 3)",hpclab61.idi.ntnu.no,255.293875,"[254.160663, 251.333922, 259.60394, 255.248634, 256.803109, 1205.882966, 1197.237836, 1182.598727, 1162.435166, 1160.853773, 259.075569, 256.934179, 264.046515, 255.324814, 258.02518, 254.840374, 252.568414, 261.567162, 253.772444, 263.697815, 265.273227, 254.509565, 255.293875, 260.327351, 248.700368]",1704592295490,True,9.14880400000402
16,256,4,8,2,0,0,0,0,"(1, 0, 2, 3, 4)",hpclab62.idi.ntnu.no,988.137015,"[988.166385, 988.343926, 988.254025, 987.908576, 988.341735, 53.66599, 53.446381, 53.629941, 53.449261, 53.62908, 987.462008, 988.152147, 988.137015, 988.285265, 988.124056, 987.581597, 988.187325, 988.365675, 988.117626, 988.226975, 53.332982, 53.60782, 53.58769, 53.593951, 53.60429]",1704592067798,True,21.025783000004594
8,4,16,4,14,0,0,0,0,"(4, 3, 2, 1, 0)",hpclab62.idi.ntnu.no,53.593951,"[53.332982, 53.60782, 53.58769, 53.593951, 53.60429, 53.332982, 53.60782, 53.58769, 53.593951, 53.60429, 53.332982, 53.60782, 53.58769, 53.593951, 53.60429, 53.332982, 53.60782, 53.58769, 53.593951, 53.60429, 53.332982, 53.60782, 53.58769, 53.593951, 53.60429]",1704592077983,False,1.3363260000041919
2,2,256,2,14,0,0,0,0,"(4, 0, 3, 2, 1)",hpclab62.idi.ntnu.no,1072.311485,"[1072.220295, 1072.308305, 1072.355735, 1072.331095, 1072.340784, 190.010085, 190.69697, 195.15014, 190.289512, 190.002614, 1072.349345, 1072.377324, 1072.762294, 1074.270429, 1072.695523, 1072.747374, 1072.311485, 1072.289814, 1072.316535, 1072.305255, 1072.271245, 1072.343614, 1072.306065, 1072.278885, 1072.281185]",1704592111050,True,22.882086999998137
2,128,16,1,14,0,0,0,0,"(4, 0, 2, 1, 3)",hpclab62.idi.ntnu.no,7662.753006,"[7514.33881, 7507.41698, 7503.704401, 7507.017111, 7504.274929, 7692.476219, 7685.21696, 7683.229556, 7682.823557, 7682.379549, 7663.277255, 7651.331823, 7650.559753, 7652.392057, 7651.252961, 7676.689917, 7661.4203, 7678.84727, 7662.753006, 7662.180269, 7681.033223, 7671.239881, 7666.356527, 7675.07809, 7681.698111]",1704592312658,True,178.06653599999845
128,32,4,1,12,0,0,0,0,"(4, 1, 0, 2, 3)",hpclab62.idi.ntnu.no,21.375307,"[21.171957, 21.357136, 21.360648, 21.365807, 21.363056, 36.262042, 36.379202, 36.35838, 36.361523, 36.367461, 36.245762, 36.38708, 36.351383, 36.329091, 36.343772, 21.219008, 21.431765, 21.373266, 21.341296, 21.343676, 21.235347, 21.401936, 21.377866, 21.375307, 21.368856]",1704592324030,True,0.5091749999992317
256,32,4,2,10,0,0,0,0,"(0, 1, 4, 3, 2)",hpclab62.idi.ntnu.no,1.221756,"[1.293016, 1.236937, 1.221817, 1.222136, 1.218047, 1.143057, 1.230837, 1.229296, 1.218356, 1.217077, 1.141906, 1.537195, 1.225416, 1.225156, 1.219307, 1.133476, 1.235027, 1.234417, 1.220196, 1.215666, 1.134356, 1.244487, 1.224846, 1.220806, 1.221756]",1704592334782,True,0.037991999997757375
8,8,256,32,6,0,0,0,0,"(4, 1, 3, 0, 2)",hpclab62.idi.ntnu.no,283.308466,"[283.273976, 283.353826, 283.293036, 283.357484, 283.304806, 283.255626, 283.339265, 283.318026, 283.322526, 283.347256, 283.249275, 283.328116, 283.344176, 283.310196, 283.325206, 283.186106, 283.316236, 283.313886, 283.308466, 283.304836, 137.89609, 138.084108, 138.172679, 138.145697, 138.144549]",1704592351871,True,6.067373999998381
2,256,8,4,14,0,0,0,0,"(4, 1, 0, 2, 3)",hpclab62.idi.ntnu.no,1363.997666,"[1365.068192, 1364.942484, 1364.718553, 1364.592715, 1365.080692, 1363.282568, 1363.528926, 1363.321069, 1363.038148, 1363.410638, 1363.997666, 1363.686437, 1364.941562, 1363.961096, 1365.53931, 1363.380916, 1363.400778, 1363.046869, 1363.407977, 1363.00949, 2159.899056, 2159.625735, 2159.616465, 2159.575537, 2159.587624]",1704592400640,True,31.61289800000668
32,16,8,32,14,0,0,0,0,"(4, 1, 3, 0, 2)",hpclab62.idi.ntnu.no,68.981774,"[68.913116, 69.013374, 68.974334, 69.039914, 68.993496, 68.918865, 69.015234, 68.983174, 68.963846, 68.965994, 68.901174, 69.012315, 68.976186, 68.975324, 68.979614, 68.893744, 69.002926, 68.981774, 69.009464, 68.980175, 68.926496, 69.019633, 68.997374, 68.979076, 68.991114]",1704592413155,True,1.4711909999969066
128,128,16,4,10,0,0,0,0,"(4, 2, 1, 3, 0)",hpclab62.idi.ntnu.no,68.991114,"[68.926496, 69.019633, 68.997374, 68.979076, 68.991114, 68.926496, 69.019633, 68.997374, 68.979076, 68.991114, 68.926496, 69.019633, 68.997374, 68.979076, 68.991114, 68.926496, 69.019633, 68.997374, 68.979076, 68.991114, 68.926496, 69.019633, 68.997374, 68.979076, 68.991114]",1704592423339,False,1.4989459999997052
256,2,2,8,14,0,0,0,0,"(4, 0, 2, 3, 1)",hpclab63.idi.ntnu.no,8.750496,"[1.576431, 1.70431, 1.70237, 1.694241, 1.70995, 1.64091, 1.75021, 1.706581, 1.6719, 1.68918, 8.676386, 8.782407, 8.757837, 8.763377, 8.754957, 8.671348, 8.774217, 8.754307, 8.752776, 8.750427, 8.669076, 8.764166, 8.751857, 8.749347, 8.750496]",1704592052631,True,0.19180899999992107
256,4,4,2,6,0,0,0,0,"(4, 1, 3, 2, 0)",hpclab63.idi.ntnu.no,8.750496,"[8.669076, 8.764166, 8.751857, 8.749347, 8.750496, 8.669076, 8.764166, 8.751857, 8.749347, 8.750496, 8.669076, 8.764166, 8.751857, 8.749347, 8.750496, 8.669076, 8.764166, 8.751857, 8.749347, 8.750496, 8.669076, 8.764166, 8.751857, 8.749347, 8.750496]",1704592062825,False,0.1937610000004497
32,32,16,1,2,0,0,0,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,21.693434,"[21.604234, 21.687894, 21.746294, 21.693434, 21.728782, 21.545286, 21.663643, 21.689584, 21.657514, 21.652554, 21.601776, 21.778383, 21.713224, 21.713173, 21.768422, 21.596685, 22.01714, 21.680954, 21.678734, 21.636015, 21.929242, 21.754452, 21.751112, 21.690504, 21.627435]",1704592074093,True,0.5140419999988808
64,64,16,4,12,0,0,0,0,"(1, 0, 3, 4, 2)",hpclab63.idi.ntnu.no,21.751112,"[21.929242, 21.754452, 21.751112, 21.690504, 21.627435, 21.929242, 21.754452, 21.751112, 21.690504, 21.627435, 21.929242, 21.754452, 21.751112, 21.690504, 21.627435, 21.929242, 21.754452, 21.751112, 21.690504, 21.627435, 21.929242, 21.754452, 21.751112, 21.690504, 21.627435]",1704592084299,False,0.5137680000007094
128,8,4,1,6,0,0,0,0,"(0, 1, 4, 2, 3)",hpclab63.idi.ntnu.no,9.831064,"[10.110481, 9.852413, 9.861733, 9.848074, 9.834274, 10.046501, 9.802214, 9.827293, 9.823433, 9.828925, 10.047031, 9.831064, 9.812825, 9.849784, 9.811214, 10.038852, 9.852493, 9.813553, 9.825764, 9.812195, 183.102897, 183.091897, 183.167156, 183.088607, 183.132855]",1704592096077,True,0.35886800000116637
128,8,128,8,12,0,0,0,0,"(4, 1, 0, 3, 2)",hpclab63.idi.ntnu.no,49.271837,"[49.233968, 49.236868, 49.271837, 49.439657, 49.549724, 45.617371, 45.77421, 45.786099, 45.756929, 45.756599, 49.303537, 49.526715, 49.593224, 49.548496, 49.285827, 45.621911, 45.740339, 45.745809, 45.775849, 45.761579, 49.309207, 49.411396, 49.275678, 49.233309, 49.568115]",1704592108014,True,1.1091959999994288
32,16,2,2,14,0,0,0,0,"(1, 4, 0, 3, 2)",hpclab63.idi.ntnu.no,492.105515,"[509.915835, 492.158304, 491.73619, 491.63669, 492.105515, 491.779069, 491.941337, 492.244534, 492.054866, 492.020726, 491.621872, 491.56644, 492.031686, 491.833168, 491.856458, 509.277453, 510.016814, 509.059385, 504.740046, 512.893709, 504.557358, 512.919619, 509.037765, 510.252251, 505.259461]",1704592131266,True,12.512430000000677
32,64,16,16,2,0,0,0,0,"(0, 4, 2, 1, 3)",hpclab63.idi.ntnu.no,482.504739,"[492.088654, 486.633831, 486.56932, 486.668819, 486.690529, 488.32797, 482.504739, 482.669197, 482.443819, 482.338771, 487.750897, 482.698497, 482.362639, 482.363991, 482.43467, 491.857548, 486.740078, 486.689959, 486.281394, 486.527951, 486.933706, 482.039854, 481.951684, 482.193083, 482.150022]",1704592154048,True,11.376944999999978
16,8,8,8,14,0,0,0,0,"(0, 1, 4, 3, 2)",hpclab63.idi.ntnu.no,916.492205,"[915.15273, 916.492205, 915.932369, 921.311886, 919.038884, 28.278003, 28.186334, 28.167764, 28.148525, 28.137995, 28.249734, 28.123986, 28.122195, 28.615979, 28.073375, 923.473671, 925.375398, 925.887412, 930.598357, 922.426302, 917.764969, 917.354002, 924.019705, 934.192544, 921.263187]",1704592178886,True,23.321227000000363
32,8,2,8,4,0,0,0,0,"(4, 3, 1, 2, 0)",hpclab63.idi.ntnu.no,921.263187,"[917.764969, 917.354002, 924.019705, 934.192544, 921.263187, 917.764969, 917.354002, 924.019705, 934.192544, 921.263187, 917.764969, 917.354002, 924.019705, 934.192544, 921.263187, 917.764969, 917.354002, 924.019705, 934.192544, 921.263187, 917.764969, 917.354002, 924.019705, 934.192544, 921.263187]",1704592189078,False,23.371289000000615
8,64,64,2,12,0,0,0,0,"(4, 3, 1, 2, 0)",hpclab19.idi.ntnu.no,1073.475193,"[1073.257802, 1073.475193, 1073.329353, 1073.531932, 1073.547784, 1073.257802, 1073.475193, 1073.329353, 1073.531932, 1073.547784, 1073.257802, 1073.475193, 1073.329353, 1073.531932, 1073.547784, 1073.257802, 1073.475193, 1073.329353, 1073.531932, 1073.547784, 1073.257802, 1073.475193, 1073.329353, 1073.531932, 1073.547784]",1704592695122,False,24.008662000000186
4,4,8,2,8,0,0,0,0,"(0, 4, 1, 2, 3)",hpclab19.idi.ntnu.no,3121.056818,"[3119.041495, 3119.459734, 3119.666366, 3120.621546, 3118.455154, 3149.972628, 3149.372349, 3151.232261, 3149.474929, 3149.363329, 3120.314927, 3120.868666, 3122.602389, 3120.312975, 3120.649988, 3121.926819, 3121.217316, 3124.741632, 3120.958637, 3120.670366, 3121.294257, 3121.056818, 3122.133817, 3120.396297, 3119.497424]",1704592783971,True,72.40090299999974
64,256,64,1,8,0,0,0,0,"(1, 0, 4, 2, 3)",hpclab19.idi.ntnu.no,41.905087,"[224.202671, 225.484332, 224.917842, 225.458793, 224.725041, 41.211037, 42.005937, 41.907657, 41.799217, 41.826187, 224.511271, 224.640102, 224.603712, 225.391004, 224.707661, 67.253095, 41.902697, 41.854887, 41.903797, 41.904017, 41.109566, 42.016728, 41.905087, 41.841637, 41.961437]",1704592797550,True,1.703310999999303
4,64,64,1,6,0,0,0,0,"(4, 0, 2, 1, 3)",hpclab19.idi.ntnu.no,12046.493975,"[12049.40321, 12046.493975, 11880.513191, 12070.207743, 11898.346281]",1704592868153,True,277.5684089999995
256,2,8,8,12,0,0,0,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,2.184232,"[2.104282, 2.153001, 2.128163, 2.173112, 2.156923, 2.372523, 2.184232, 2.130072, 2.206952, 2.134652, 2.110743, 2.235973, 2.223292, 2.067461, 2.220153, 2.194543, 2.132852, 2.156253, 2.179842, 2.206093, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634]",1704592879214,True,0.07599999999911233
32,2,128,4,6,0,0,0,0,"(1, 4, 2, 0, 3)",hpclab19.idi.ntnu.no,66.527634,"[66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634]",1704592889400,False,1.7343920000002981
2,2,256,16,12,0,0,0,0,"(1, 4, 2, 3, 0)",hpclab19.idi.ntnu.no,66.527634,"[66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634, 66.359484, 66.547245, 66.515085, 68.075736, 66.527634]",1704592899582,False,1.7343920000002981
256,32,256,8,14,0,0,0,0,"(0, 1, 2, 4, 3)",hpclab19.idi.ntnu.no,19.885419,"[60.494833, 60.386472, 60.781862, 60.642143, 60.290712, 19.530336, 19.871697, 20.285448, 19.733178, 19.973657, 60.923113, 60.263983, 60.219881, 59.565111, 59.778742, 19.700066, 20.082018, 19.969467, 19.765237, 19.857057, 19.717506, 19.967877, 19.815457, 19.885419, 19.896936]",1704592911100,True,0.7116029999997409
2,32,256,8,10,0,0,0,0,"(4, 1, 2, 3, 0)",hpclab19.idi.ntnu.no,19.885419,"[19.717506, 19.967877, 19.815457, 19.885419, 19.896936, 19.717506, 19.967877, 19.815457, 19.885419, 19.896936, 19.717506, 19.967877, 19.815457, 19.885419, 19.896936, 19.717506, 19.967877, 19.815457, 19.885419, 19.896936, 19.717506, 19.967877, 19.815457, 19.885419, 19.896936]",1704592921284,False,0.6986479999995936
16,256,64,16,2,0,0,0,0,"(4, 0, 3, 2, 1)",hpclab19.idi.ntnu.no,225.333848,"[225.241986, 225.383936, 225.181656, 225.396027, 225.346505, 225.126876, 225.197126, 225.385417, 225.389087, 225.368216, 135.188634, 135.422444, 135.392355, 135.387804, 135.379124, 225.095697, 225.188906, 225.353367, 225.359975, 225.333848, 135.219185, 135.399274, 135.406133, 135.403574, 135.391374]",1704592936674,True,4.974915999999212
32,32,16,4,2,0,0,0,0,"(4, 3, 0, 2, 1)",hpclab61.idi.ntnu.no,23.889008,"[24.269988, 23.917036, 23.889008, 23.860316, 23.840658, 23.975497, 23.917558, 23.878156, 23.874688, 23.844136, 68.705577, 68.726998, 68.713167, 68.710068, 68.708429, 23.933227, 23.930588, 23.885506, 23.862878, 23.850946, 68.700407, 68.713548, 68.702886, 68.706099, 68.709157]",1704592696633,True,0.6405309999972815
32,2,2,4,4,0,0,0,0,"(0, 1, 4, 3, 2)",hpclab61.idi.ntnu.no,699.113909,"[90.671564, 81.298281, 81.279962, 81.254531, 81.389093, 698.704149, 699.38209, 699.57483, 699.31603, 698.840181, 699.24167, 695.350755, 698.630519, 699.098329, 699.48411, 698.955139, 699.33533, 699.350999, 699.023549, 699.113909, 698.673899, 699.21026, 699.30281, 699.34051, 699.141018]",1704592721687,True,18.046398999998928
128,2,128,16,14,0,0,0,0,"(1, 4, 0, 3, 2)",hpclab61.idi.ntnu.no,29.985943,"[29.985943, 30.175904, 29.874994, 30.016833, 29.800323, 29.987253, 29.980284, 29.929274, 29.897554, 29.880273, 89.369391, 89.253691, 89.16794, 90.872733, 90.660652, 30.025685, 29.878403, 30.194534, 29.896335, 29.869253, 90.403932, 90.229522, 90.358222, 90.172452, 90.264172]",1704592733707,True,1.247081999994407
16,4,64,1,14,0,0,0,0,"(4, 2, 3, 1, 0)",hpclab61.idi.ntnu.no,90.264172,"[90.403932, 90.229522, 90.358222, 90.172452, 90.264172, 90.403932, 90.229522, 90.358222, 90.172452, 90.264172, 90.403932, 90.229522, 90.358222, 90.172452, 90.264172, 90.403932, 90.229522, 90.358222, 90.172452, 90.264172, 90.403932, 90.229522, 90.358222, 90.172452, 90.264172]",1704592743898,False,2.9181380000009085
64,4,32,4,14,0,0,0,0,"(0, 4, 1, 3, 2)",hpclab61.idi.ntnu.no,76.047605,"[75.881825, 76.015755, 76.192035, 76.118397, 76.124876, 72.493601, 72.683501, 72.679194, 72.820331, 72.766622, 75.826796, 75.976215, 76.077685, 76.052565, 76.087137, 75.810477, 76.024045, 75.987136, 76.060036, 76.033806, 75.879075, 76.070375, 75.974526, 76.065957, 76.047605]",1704592756480,True,1.9044419999991078
4,8,128,1,6,0,0,0,0,"(4, 3, 0, 2, 1)",hpclab61.idi.ntnu.no,160.63398,"[160.950078, 160.245914, 160.08536, 160.63398, 160.940813, 160.528, 161.190121, 161.246012, 160.322382, 160.42989, 160.408801, 161.220151, 160.573832, 160.31027, 163.665234, 164.668915, 165.638926, 165.643436, 165.855538, 165.854217, 163.465454, 165.952046, 166.020447, 165.974807, 165.952726]",1704592771208,True,4.28307300000597
64,2,16,2,2,0,0,0,0,"(4, 0, 2, 1, 3)",hpclab61.idi.ntnu.no,219.838928,"[220.811077, 219.824845, 219.944857, 219.925597, 219.913628, 218.670046, 216.700294, 216.653224, 216.743655, 216.778684, 222.035399, 219.838928, 219.827858, 219.821608, 219.869936, 221.86568, 219.717567, 219.831316, 219.660718, 219.703927, 221.851569, 219.848598, 219.859527, 219.830438, 225.243183]",1704592787366,True,5.634000999998534
64,128,32,1,12,0,0,0,0,"(1, 0, 4, 3, 2)",hpclab61.idi.ntnu.no,2.188453,"[2.155973, 2.226823, 2.193792, 2.188453, 2.169822, 270.094625, 287.761254, 287.832863, 287.897704, 287.748883, 2.093802, 2.140062, 2.134353, 2.136172, 2.134363, 287.756953, 287.793774, 287.976603, 288.003604, 287.749724, 2.106081, 2.136762, 2.132862, 2.504283, 2.699574]",1704592800946,True,0.08764199999859557
64,8,32,1,6,0,0,0,0,"(1, 4, 0, 2, 3)",hpclab61.idi.ntnu.no,39.828515,"[40.040576, 39.836745, 39.831885, 39.784485, 39.838795, 40.011555, 39.870374, 39.828515, 39.762345, 39.757725, 39.836865, 39.790104, 39.889115, 39.779185, 39.753235, 238.596788, 238.647478, 238.715388, 238.892618, 239.145729, 39.969145, 39.961525, 39.812025, 39.785035, 39.781084]",1704592813615,True,1.494474999999511
2,128,32,1,4,0,0,0,0,"(4, 1, 3, 0, 2)",hpclab61.idi.ntnu.no,1072.400484,"[1072.346224, 1072.410534, 1072.400484, 1072.399193, 1072.422333, 214.122791, 214.37422, 214.439181, 214.45616, 214.265191, 214.236331, 214.29183, 214.261871, 214.354452, 214.191669, 1072.603482, 1072.448154, 1072.423934, 1072.417462, 1072.392793, 1072.368042, 1072.421274, 1072.416072, 1072.402053, 1072.393963]",1704592842537,True,24.93739999999525
2,4,128,8,8,0,0,0,0,"(0, 4, 2, 1, 3)",hpclab62.idi.ntnu.no,30890.090623,"[31117.571344, 30855.384527, 31057.433465, 30446.421905, 30890.090623]",1704592849958,True,707.1833070000002
16,16,16,4,8,0,0,0,0,"(4, 3, 2, 1, 0)",hpclab62.idi.ntnu.no,30890.090623,"[30890.090623, 30890.090623, 30890.090623, 30890.090623, 30890.090623]",1704592860150,False,707.1833070000002
