tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,tuned_tileX,tuned_tileY,tuned_vec,compute_time,energy,iterations,wait_after_run
16,16,128,1024,492,1,2,0.307808,64.23786267530215,10,0
32,4,1024,8,620,1,2,3.8832,77.1495170379587,10,0
1,4,256,256,52,16,2,0.313568,89.65849440151071,10,0
16,32,128,256,958,1,2,1.992288,89.80399689416787,10,0
2,2,1024,64,112,4,4,0.637984,63.74899334332992,10,0
4,1,8,128,14,72,2,4.538464,81.504419446661,10,0
64,16,512,32,156,2,4,0.4608,89.49216328236923,10,0
128,4,1024,64,240,1,4,0.331776,90.6023146133973,10,0
16,1,64,1024,508,2,2,0.760768,64.06151919753287,10,0
2,64,128,1024,6,24,2,0.17072,64.84962196268313,10,0
16,64,32,512,18,32,2,0.347328,62.71381402255284,10,0
2,1,64,8,406,1,2,16.13824,53.02566682267079,10,0
4,32,64,1024,332,2,2,0.65824,64.77021529898097,10,0
2,2,1024,4,4,242,4,1.558272,73.16648250351099,10,0
1,64,2,512,706,1,2,16.050976,56.69584845619969,10,0
2,1,8,512,6,6,2,0.961376,66.13551432935,10,0
1,512,512,512,134,4,2,10.242048,58.45196295238925,10,0
4,4,256,1024,252,4,4,0.282464,67.1751429042833,10,0
8,2,16,32,158,4,2,2.179072,66.81364741810326,10,0
256,2,512,4,2,138,2,80.596928,58.27486524971572,10,0
4,128,128,256,62,8,2,0.505728,63.72785279415003,10,0
256,2,1024,256,502,1,2,0.15168,64.10818968644693,10,0
2,2,4,64,4,36,4,2.799712,76.30359965503268,10,0
32,32,128,128,128,6,4,0.317536,70.78359519459568,10,0
32,2,128,128,992,1,2,0.52816,63.1756269751867,10,0
4,64,8,128,202,1,2,19.806208,57.20730374818453,10,0
2,16,256,32,12,22,4,0.350208,66.32574634576007,10,0
4,1,64,2,148,6,4,6.14416,96.39760091224412,10,0
16,8,32,16,24,18,4,2.1376,96.25201286075335,10,0
4,64,128,1024,16,34,4,0.114592,40.23758893415626,10,0
32,32,1024,64,114,6,2,0.330432,56.54914942659695,10,0
16,2,128,512,542,1,2,0.287232,62.76792043695997,10,0
16,8,64,8,40,22,4,2.02912,72.1345559726245,10,0
64,8,256,512,28,6,2,0.126144,76.36497590777851,10,0
4,2,4,32,458,1,2,6.565824,108.1754656602091,10,0
1,16,1024,512,74,6,2,0.287328,85.35239670601538,10,0
8,4,8,8,36,20,2,9.633792,71.45968749351563,10,0
4,256,1024,1024,100,6,4,0.45168,73.87615436098905,10,0
4,2,256,16,16,52,4,0.333728,64.52164651252322,10,0
32,1,256,256,100,1,4,0.217184,67.23328098316028,10,0
1,2,2,128,824,1,2,8.759296,53.16621403415164,10,0
16,64,1024,128,630,1,2,5.281792,84.93232669424545,10,0
2,1,16,32,28,18,4,0.690208,95.28083081930504,10,0
1,2,128,8,4,254,2,2.79968,103.62376423359004,10,0
1,64,128,256,24,26,4,0.210272,96.2771493568649,10,0
2,32,512,1024,408,1,4,1.615712,90.81197239008364,10,0
1,256,512,1024,2,258,2,0.437472,64.1459863780956,10,0
64,2,64,256,250,1,2,0.161792,62.59389708139213,10,0
256,4,512,128,300,1,4,0.24384,62.52789782829799,10,0
64,2,512,32,688,1,2,0.513376,64.37851088115814,10,0
32,4,32,128,4,60,2,4.272128,78.54872147802743,10,0
1,8,1,256,82,12,2,1.355936,86.81508132449969,10,0
1,2,512,256,644,1,4,2.981984,108.16058475831976,10,0
512,1,512,4,60,6,4,6.795264,104.13812979626444,10,0
16,16,64,16,12,24,2,2.205664,92.07801910483768,10,0
8,2,8,4,498,2,2,34.148352,75.35975414622908,10,0
256,2,256,8,2,176,2,71.014848,79.80845035969935,10,0
128,8,512,64,28,20,2,0.507776,70.71137470368323,10,0
8,4,512,8,28,20,4,0.225024,69.23967031000004,10,0
2,128,4,512,8,16,4,2.547552,76.65564164389262,10,0
8,8,32,512,592,1,2,0.27024,68.04097183720822,10,0
2,256,2,256,374,1,2,102.638464,66.45498992093053,10,0
2,128,512,256,72,14,4,0.365824,91.17215282384056,10,0
256,2,1024,1024,130,4,2,0.106528,85.58593525959392,10,0
8,1,32,64,10,68,2,2.205696,68.73782225663201,10,0
1,1,512,2,436,1,4,69.711456,63.57950467937842,10,0
4,4,16,8,164,1,2,11.610912,54.930372331178006,10,0
2,4,4,32,376,1,4,10.139648,56.250559641211794,10,0
1,1,4,8,188,2,2,28.766976,55.22381597401374,10,0
4,4,256,64,4,122,2,0.343648,37.15249252717819,10,0
4,16,128,256,616,1,4,1.721216,72.27082417899861,10,0
8,16,1024,128,16,46,2,0.079616,63.84182576081071,10,0
4,64,4,128,62,6,2,9.65632,57.28359117670229,10,0
4,8,8,512,44,12,2,0.364416,64.05571457793144,10,0
8,1,8,64,10,62,2,6.100992,86.39103311402836,10,0
256,2,512,32,6,98,2,3.764224,108.04974049003847,10,0
2,32,512,256,2,350,2,0.272576,94.12312802273256,10,0
1,2,4,2,204,2,4,75.236384,85.36609733883297,10,0
64,4,512,256,8,100,4,0.748704,69.18975497590017,10,0
2,32,4,32,440,2,4,60.666624,59.68445350722052,10,0
2,32,512,64,316,2,2,13.68592,53.68212192023135,10,0
8,8,16,32,4,188,2,4.753408,82.4645573531466,10,0
2,1,1024,128,54,10,2,0.52032,94.474254111637,10,0
1,1,16,1024,604,1,2,4.370144,101.43874893541286,10,0
1,512,4,512,132,6,4,7.520896,137.90199692301238,10,0
8,16,1024,16,146,2,2,4.029888,112.3770755793748,10,0
2,32,128,128,254,2,2,3.977024,104.26697469418306,10,0
32,2,256,2,348,1,2,4.574976,116.06969071550957,10,0
64,2,256,2,4,140,2,29.925376,72.54931786267795,10,0
16,2,128,32,2,460,2,13.078528,75.85366225691966,10,0
2,1,16,512,8,12,2,0.69632,73.74021197147464,10,0
512,1,512,128,430,1,2,0.147456,62.32804969475285,10,0
4,32,16,1024,196,2,2,0.772448,62.89535333959174,10,0
2,8,64,1024,236,2,2,0.598048,59.22595302570122,10,0
2,64,256,1024,32,18,2,0.140992,62.21178534735535,10,0
1,4,1024,4,4,114,4,0.619648,68.28953544898015,10,0
16,16,512,512,384,1,2,0.28144,64.74077403808,10,0
32,1,128,32,58,12,2,0.283168,59.49645228404313,10,0
4,16,1024,128,114,6,2,0.373024,62.83600624703893,10,0
1,32,1,512,66,6,2,3.536416,75.15011954074151,10,0
1,1,1,64,60,10,2,5.027936,120.03377738598162,10,0
32,4,512,8,36,14,2,0.346784,92.40654053809212,10,0
8,32,512,32,114,6,2,1.511904,96.11853718483012,10,0
4,2,32,256,76,4,2,0.31808,61.49899545027536,10,0
1,128,1024,128,916,1,4,146.536448,66.89894823134358,10,0
8,1,8,1024,10,30,2,2.73456,101.91983005970708,10,0
128,2,1024,4,2,356,2,21.742528,78.06800960125211,10,0
2,1,8,256,20,40,2,1.736704,96.78489889665052,10,0
2,1,256,1,652,1,2,184.895488,66.78108062764565,10,0
1,16,32,128,572,1,2,9.944,80.60050343591946,10,0
1,4,128,4,56,14,4,4.094816,106.8967851142624,10,0
2,8,256,128,16,10,4,0.129312,92.5029178297912,10,0
8,2,1024,512,2,236,2,1.803456,49.31665280774923,10,0
8,16,1024,64,10,32,2,0.094368,72.20138884314872,10,0
4,8,1024,512,292,1,4,0.475136,77.98785233580291,10,0
128,2,128,1024,292,2,2,0.110592,60.01471043102833,10,0
1,64,16,64,44,12,2,3.923968,74.48637494368525,10,0
1,8,1024,1024,24,16,4,0.184256,93.06740703596044,10,0
2,32,512,32,48,12,4,0.762464,92.78077358986684,10,0
1,2,64,128,88,8,4,0.709536,68.05969824081038,10,0
8,16,128,32,354,2,2,6.025792,79.80285990383905,10,0
4,8,128,512,4,104,4,0.22192,95.36945675948084,10,0
1,16,2,256,52,4,4,2.008736,81.29182837858869,10,0
4,8,1024,128,104,4,2,0.204864,74.59284243459588,10,0
32,2,32,4,112,6,4,5.303296,101.49293566299728,10,0
8,64,8,256,100,4,4,2.754368,110.2939549959368,10,0
1,128,512,512,68,6,2,0.797152,90.42372415100324,10,0
4,2,256,32,12,46,2,0.33792,90.13631763851072,10,0
2,8,512,64,316,2,2,3.56384,78.00654976346084,10,0
32,1,256,512,94,10,2,0.124928,87.88788437734743,10,0
32,8,128,16,8,24,2,4.008544,102.0007665105218,10,0
2,8,2,64,2,486,2,30.930208,78.61341896403597,10,0
64,1,1024,1024,12,1,4,0.301056,87.75651590013999,10,0
16,2,1024,16,2,156,2,1.566496,75.29898555619975,10,0
8,8,16,16,498,1,2,14.627616,53.20895326800677,10,0
4,64,512,64,8,48,2,0.11424,62.08157113528759,10,0
1,4,16,32,2,54,2,2.615744,70.07550137463002,10,0
8,2,512,32,780,1,2,2.133888,78.65661720551503,10,0
4,32,32,32,564,1,4,17.77952,78.64901766828805,10,0
8,1,512,256,196,2,2,0.452608,89.17792192416547,10,0
8,32,512,512,250,1,2,0.668064,63.7634647470349,10,0
2,512,512,512,796,1,2,90.46016,60.34148972256216,10,0
8,8,1024,256,8,92,2,0.120064,65.62683632609486,10,0
8,32,256,1024,152,2,2,0.217088,58.50920978319918,10,0
16,2,128,64,174,1,2,0.241216,65.0487213959736,10,0
32,16,32,1024,64,2,2,0.31744,57.62065711449312,10,0
64,1,128,128,6,66,2,6.529664,83.08550395305596,10,0
64,1,64,64,116,6,2,0.219136,86.57388591475734,10,0
1,32,16,256,2,346,2,0.679936,87.26270125267311,10,0
2,8,4,64,4,134,2,3.443008,78.08359847892308,10,0
4,32,16,128,96,1,4,2.632832,106.26825949769488,10,0
4,32,16,64,96,2,4,4.726176,126.59766227011816,10,0
1,8,8,64,248,4,2,1.636256,98.9577958865243,10,0
512,1,512,16,10,50,2,8.588224,75.06602304978233,10,0
32,2,128,8,4,96,2,10.841856,68.9839114889921,10,0
64,16,64,128,102,10,2,0.459712,65.42934571886859,10,0
4,16,8,16,22,34,2,6.244416,78.73524991018714,10,0
1,2,16,512,8,64,4,0.571648,92.204421772076,10,0
1,2,32,2,56,4,4,9.1128,83.14412226984457,10,0
4,1,4,1,276,1,4,119.72272,65.21638370827216,10,0
4,16,4,128,514,1,2,8.050688,30.722166001430303,10,0
2,8,256,128,84,4,4,0.44032,62.41610351850767,10,0
1,256,8,256,14,6,2,8.720384,55.97043307960397,10,0
8,32,256,1024,138,4,2,0.130432,61.730614365241735,10,0
1,2,8,128,2,42,2,2.762304,70.76538237961253,10,0
8,32,1024,64,76,12,2,0.251904,93.51050519231346,10,0
128,1,128,128,6,40,2,5.064704,109.3029098861866,10,0
1,4,256,512,522,1,2,1.710496,95.90513016034755,10,0
1,1,2,64,8,50,4,6.176768,131.8894926560126,10,0
32,1,1024,4,114,4,2,0.661664,90.97596087504247,10,0
4,8,1024,512,552,1,4,0.656384,92.59613273597722,10,0
8,2,256,256,2,392,2,3.899744,79.45197679478099,10,0
1,16,128,128,8,86,2,0.194336,89.56694139326757,10,0
1,32,256,1024,48,12,2,0.258432,81.48251884721354,10,0
4,128,8,1024,248,1,4,4.173088,82.81346577306735,10,0
4,32,32,1024,66,12,2,0.079936,77.106849367668,10,0
32,2,1024,64,366,1,2,0.186048,80.63703801315876,10,0
1,4,256,8,2,468,2,4.587392,82.23016026432236,10,0
2,256,256,256,40,18,4,0.32176,93.0339398332478,10,0
8,2,1024,4,40,20,2,0.924736,85.01262262434243,10,0
64,2,512,8,442,1,2,1.200928,62.16515785638782,10,0
4,4,64,256,86,2,2,0.241664,63.57839121428911,10,0
1,1,256,128,24,2,2,1.48288,70.47089899202368,10,0
8,32,32,32,352,1,2,11.420416,57.10044637498345,10,0
1024,1,1024,32,4,38,2,9.267424,52.84705428961939,10,0
1,64,2,256,60,8,2,5.054336,87.25265946727691,10,0
1,32,128,1024,968,1,4,3.404192,107.93630278208326,10,0
8,2,1024,256,264,2,4,0.192512,96.12843514349868,10,0
512,1,1024,1024,246,1,2,0.148,85.67487809652602,10,0
2,1,32,256,34,16,2,0.702464,60.3226436574324,10,0
128,4,1024,512,200,1,2,0.1392,59.54946396263245,10,0
16,4,1024,128,24,40,4,0.107872,66.96558372791613,10,0
8,2,256,2,366,1,2,19.95712,51.18663777021049,10,0
4,1,8,8,46,16,2,9.6848,53.616467167498136,10,0
1,2,2,128,592,1,2,3.28672,72.44632148510624,10,0
16,8,64,16,30,20,2,0.940448,87.1676020006216,10,0
1,2,1024,64,848,1,4,8.122368,125.23209947465928,10,0
8,32,512,32,432,2,4,6.714944,133.87704722347138,10,0
1,2,2,1024,20,8,2,0.648352,85.4538281073761,10,0
32,1,32,512,32,12,4,0.658816,93.1520874703664,10,0
1,256,1024,512,200,2,2,14.856192,51.165292676115484,10,0
8,32,16,512,4,68,2,0.554304,62.91844911728918,10,0
16,2,16,32,384,1,2,2.253216,70.70864776521714,10,0
2,4,32,64,580,1,4,3.607712,83.57971622670924,10,0
8,1,16,2,90,1,2,19.441728,79.08049755210646,10,0
8,8,64,512,4,96,4,0.676576,96.4694794901441,10,0
1,1,1,128,66,1,2,4.202528,83.50623639970352,10,0
1,16,1,1024,384,2,4,1.427456,94.93011271566182,10,0
16,64,128,64,6,132,2,1.101824,90.97654333871291,10,0
4,32,32,32,64,16,4,0.9072,95.5439589317436,10,0
1,1,16,1024,12,56,4,1.473024,75.65467634320058,10,0
128,4,256,8,476,2,4,2.371712,50.67329271659447,10,0
64,1,128,1,364,2,4,8.566336,80.81087338103124,10,0
1,1,1,64,2,196,2,115.922944,83.85694442961804,10,0
8,1,128,32,2,376,2,10.63936,77.87197053398575,10,0
4,1,16,512,14,22,2,0.8192,93.63477308315488,10,0
1,128,32,256,110,1,2,11.21264,57.00695959670909,10,0
8,64,128,256,2,68,2,0.540416,60.773684097891895,10,0
8,16,32,256,16,2,2,1.042592,68.64977253383321,10,0
8,64,8,64,302,2,2,39.242464,53.12721679090033,10,0
16,8,16,16,42,12,2,5.201472,82.78243524346351,10,0
4,16,64,1024,70,8,2,0.081376,85.05519443808419,10,0
8,16,128,16,96,6,4,0.647968,91.96495093202762,10,0
4,2,1024,256,384,2,2,1.327744,67.2978790328829,10,0
2,8,32,256,20,14,2,0.24368,63.849665566535016,10,0
64,8,128,1024,124,8,4,0.105664,61.23323927738832,10,0
16,16,128,32,256,2,2,2.416256,73.13422655130069,10,0
2,2,2,8,54,14,2,27.152384,55.91712814522408,10,0
8,8,128,512,24,34,4,0.090112,68.52500038391243,10,0
128,8,128,16,84,6,2,4.18832,78.91734385471999,10,0
2,2,32,64,4,180,4,1.412224,95.8400500294741,10,0
8,8,8,128,142,6,2,1.441792,86.64031114947697,10,0
16,2,1024,32,920,1,2,1.464704,68.25160489447468,10,0
1,1024,256,1024,96,1,4,13.522432,69.59156663553233,10,0
16,2,512,256,68,2,4,0.142336,76.02877926117102,10,0
32,1,128,1,2,42,2,149.392096,59.92155383903131,10,0
32,4,256,256,12,60,4,0.231936,92.0109494886723,10,0
8,2,32,128,494,1,2,0.9432,84.90919973612193,10,0
32,1,64,128,700,1,4,0.263904,68.99034517178536,10,0
1,16,1,16,4,186,2,49.23392,56.72239636619707,10,0
2,512,256,512,2,486,2,0.522208,65.76987558849105,10,0
1,32,256,512,28,24,2,0.51152,61.045340036577485,10,0
32,1,128,4,768,1,4,3.444448,78.57624856320453,10,0
1,32,8,256,64,6,4,0.499712,92.3221397626381,10,0
256,2,256,512,2,274,2,71.327744,83.57772579341258,10,0
1,128,8,1024,352,1,4,4.96224,92.87169334879393,10,0
4,1,64,1,116,8,4,8.10992,138.3137043671829,10,0
4,128,4,128,2,322,2,9.82704,78.01414589529855,10,0
64,4,256,4,8,12,4,12.109824,81.27892093257447,10,0
2,8,2,8,8,62,2,39.901952,62.73116917035315,10,0
8,128,32,512,50,6,2,1.099296,59.71010855950282,10,0
4,8,4,16,8,98,4,12.93312,56.98472390939256,10,0
32,16,512,16,10,70,2,1.081184,68.69140874210866,10,0
32,1,512,256,344,2,2,0.24608,62.885904423870016,10,0
2,2,128,256,4,222,4,1.633984,75.29017748360707,10,0
4,4,256,1024,180,1,4,0.324896,43.81314565031899,10,0
4,2,512,2,36,14,2,2.55632,72.68344115439379,10,0
8,4,64,64,40,24,4,0.157792,91.11855562837115,10,0
256,1,512,16,944,1,4,0.399296,88.4666478145893,10,0
8,1,256,512,8,20,2,0.269216,60.63781676762288,10,0
2,4,256,128,148,2,2,0.790528,63.64419820033121,10,0
32,4,32,64,2,126,2,18.763776,58.7635185519645,10,0
1,4,128,512,308,2,4,1.304832,72.65300734156888,10,0
16,8,128,512,136,4,2,0.080576,58.687841835691614,10,0
16,32,128,256,88,10,2,0.134816,60.97287313479997,10,0
2,32,1024,128,360,2,4,4.800512,90.91332867821892,10,0
1,256,256,512,804,1,2,55.681984,77.64064842210693,10,0
256,1,1024,512,2,134,2,13.725824,79.92732489519413,10,0
8,8,1024,16,80,6,2,0.913408,70.92920542099986,10,0
1,1,16,1024,588,1,4,3.367104,75.49967310790457,10,0
8,128,256,128,82,1,2,3.038976,83.58188426621568,10,0
1,2,4,128,6,74,2,3.255424,106.31621806945176,10,0
8,32,16,128,4,110,4,2.099616,110.80586903611578,10,0
16,1,512,512,4,246,2,3.23584,108.53847545829724,10,0
2,2,256,256,276,2,2,0.684224,89.66551888381207,10,0
32,32,32,1024,120,8,4,0.143648,94.67363152203404,10,0
128,1,128,32,786,1,2,0.514048,63.10128170006929,10,0
128,8,512,16,390,1,2,1.257248,70.03548112065587,10,0
2,32,1024,512,40,14,4,0.158368,64.4749024289772,10,0
64,8,1024,256,38,8,2,0.118208,62.467584823767126,10,0
2,4,128,256,2,298,2,1.910848,69.61779765495525,10,0
4,8,512,512,12,54,2,0.188128,63.93296612848207,10,0
8,4,512,256,8,92,2,0.203424,65.78835111828988,10,0
2,32,2,128,492,2,2,31.207424,52.45064055251998,10,0
8,2,16,16,60,2,2,4.845568,79.95781651096338,10,0
4,2,32,128,82,10,2,0.310976,89.9515810073532,10,0
32,2,1024,8,2,484,2,6.852064,126.84524305411918,10,0
1,1,4,4,360,1,4,23.258048,78.6976656428914,10,0
128,4,512,8,2,330,2,22.506432,78.43157430827125,10,0
16,8,32,16,150,4,2,2.842624,77.55776662595493,10,0
4,8,256,1024,502,1,2,0.598432,91.1682785299211,10,0
1,1,1,16,608,1,2,25.539456,72.37595387105016,10,0
8,4,8,64,30,28,2,2.216032,72.32772897094694,10,0
64,1,128,64,278,1,2,0.160448,73.06086212198045,10,0
2,8,128,512,568,1,4,1.072928,83.0648967770179,10,0
32,2,256,16,2,164,2,6.438912,90.65456556359432,10,0
8,4,256,4,348,1,2,10.02592,77.96568006460647,10,0
2,4,32,4,336,2,4,23.085408,78.72970067453058,10,0
32,8,32,128,6,164,2,4.55696,83.74401746052804,10,0
2,4,512,512,718,1,2,1.955488,47.379203000137394,10,0
1,32,1024,128,110,6,2,1.29328,73.48026935351407,10,0
4,8,1024,512,66,8,2,0.102496,74.4043673874474,10,0
4,64,128,256,876,1,4,9.408512,63.362771866252906,10,0
32,1,32,2,2,294,2,248.621024,71.3390889026317,10,0
4,64,128,512,40,20,2,0.07184,82.88360946616594,10,0
1,1,256,8,4,30,2,0.878304,96.18999754470232,10,0
8,8,512,32,34,30,2,0.18176,61.561591870346426,10,0
32,4,256,512,14,22,2,0.155392,61.16248127564382,10,0
4,16,4,256,986,1,2,7.391968,52.78288690703846,10,0
2,8,4,1024,28,10,4,0.318784,69.37944869828173,10,0
2,4,4,1024,66,8,2,0.310688,64.80358497191607,10,0
64,1,512,1,4,74,2,38.047712,52.62378676377501,10,0
32,32,256,256,4,38,4,1.112416,69.53385350981084,10,0
1,8,1024,512,124,2,4,0.851488,66.5536284776029,10,0
2,4,128,1024,722,1,2,1.7664,66.29776183867395,10,0
8,4,512,8,2,58,2,1.220608,77.45290609871543,10,0
16,2,512,256,898,1,2,0.878752,76.27609245662767,10,0
32,32,128,1024,36,4,4,0.285568,67.79562498288105,10,0
1,64,1,128,8,42,4,5.052416,85.1698099118401,10,0
1,2,512,16,14,12,2,0.653312,90.99194695484664,10,0
1,128,4,256,54,14,2,3.385344,98.44002151958158,10,0
1,1,2,1024,376,2,4,1.913664,102.48528107975116,10,0
