tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,compute_time,energy,iterations,wait_after_run
64,8,16,64,256,16,4,32,16,1024,59.193472,815.4740441297349,10,0
8,32,64,512,16,128,8,4,8,512,64.47488,539.4392350477497,10,0
4,2,4,16,256,16,4,16,32,16,147.082912,136.66248071147953,10,0
128,4,16,4,256,8,64,1,512,64,302.249632,1172.2562277597008,10,0
8,16,128,8,64,16,32,1,128,4,82.841952,392.4690811538207,10,0
4,2,64,16,16,8,32,32,512,256,50.422464,535.6307003985381,10,0
4,8,16,256,32,128,128,1,128,2,350.749728,113.31607109829824,10,0
4,8,32,4,4,64,128,1,256,256,220.212032,120.55534632142212,10,0
32,4,16,16,128,1,128,8,256,512,335.27856,146.5038557587425,10,0
16,32,32,16,16,128,1,8,256,32,213.526592,271.8825231447198,10,0
8,32,32,128,8,4,1,1,1,1024,217.640864,146.73476478548335,10,0
16,8,128,32,16,2,8,16,64,32,16.970848,193.3996984405672,10,0
8,8,8,8,16,1,2,8,128,8,101.665632,83.94562605648436,10,0
32,8,32,256,64,8,8,16,128,16,84.019904,720.996500119661,10,0
16,8,32,32,32,32,1,8,16,8,35.591104,372.611752999589,10,0
4,4,8,256,16,64,64,16,256,512,8.81664,155.25583285751796,10,0
8,128,256,256,8,16,4,1,8,2,2926.579968,1817.562830595248,10,0
4,8,64,4,64,4,2,1,8,1024,113.0176,1073.3162814636075,10,0
64,8,16,512,64,128,64,4,512,512,405.876736,195.49900291066504,10,0
8,128,256,4,16,1,8,8,1024,256,571.400704,730.1307356083294,10,0
4,8,64,256,64,32,2,4,128,64,5.73216,261.1939981814219,10,0
8,1,256,256,16,2,32,4,64,512,278.888896,310.98165480415696,10,0
4,1,32,4,4,4,32,32,256,1024,48.5888,495.3155582218153,10,0
32,4,16,32,128,8,16,8,128,32,11.687904,212.6045457432588,10,0
4,16,16,4,256,16,4,2,64,8,82.609088,559.5847409837372,10,0
64,32,32,8,64,4,64,1,1024,256,645.68016,1969.1333116249616,10,0
8,2,512,4,8,4,2,256,128,256,2.013184,90.81087684010404,10,0
4,16,256,512,8,16,16,1,16,128,394.02528,385.22404836582615,10,0
8,4,256,64,8,32,4,1,128,128,57.532768,2084.681704151369,10,0
8,1,8,64,64,64,32,1,32,512,10.508128,190.19850176915648,10,0
4,1024,1024,512,4,2,8,128,1024,512,0.0,3006.734432339366,10,0
64,1,16,64,128,4,1,64,8,128,40.624032,302.9458082502095,10,0
4,16,32,32,32,64,1,16,1024,128,10.25936,336.90081868868657,10,0
4,4,8,128,16,256,64,8,1024,32,9.568384,147.8934085034638,10,0
64,8,64,256,128,4,1,2,512,64,0.0,2861.646349741061,10,0
16,4,16,8,32,2,8,8,16,512,14.522304,187.4836847507477,10,0
16,1,64,256,128,8,4,64,64,1024,1.892352,87.12661324110749,10,0
16,8,16,64,256,4,1,512,16,512,1334.23312,1757.9577080061656,10,0
4,1,64,512,16,32,32,2,512,8,31.551104,410.7196675424504,10,0
4,128,128,128,16,2,4,4,1024,512,386.499808,299.9018752961307,10,0
8,4,128,16,16,4,2,32,512,64,1.413504,89.66145415676407,10,0
16,2,256,64,16,2,2,8,2,64,219.318304,163.74524230157652,10,0
16,64,64,256,64,64,16,8,64,1024,130.44112,616.4050237698025,10,0
64,64,128,16,64,16,1,4,1024,1024,0.0,2853.6760076353817,10,0
4,8,8,64,8,8,4,32,64,64,93.842016,36.44209062685415,10,0
4,1,256,64,16,2,4,1,256,256,186.608864,461.54433066646646,10,0
32,64,64,4,32,64,4,256,256,512,681.84064,714.9571157422972,10,0
32,1,64,64,64,16,1,8,128,1024,13.195136,341.1064265695356,10,0
4,4,128,128,8,8,2,4,1024,32,3.022784,147.34795217863922,10,0
4,32,256,16,8,16,32,8,256,1024,25.124736,314.2324046590349,10,0
64,1,8,128,64,128,2,2,128,256,101.342016,129.09570194943714,10,0
8,16,128,256,8,4,4,1,512,8,98.60416,605.9837739056087,10,0
8,16,32,64,8,32,2,1,32,16,15.196512,252.16224206621945,10,0
64,8,32,32,128,2,4,2,512,8,255.571904,590.299724508042,10,0
4,16,32,512,32,64,16,16,64,64,19.931392,212.8130107928813,10,0
256,4,8,16,256,2,1,4,256,4,2599.40352,847.5188893325804,10,0
8,4,16,16,8,128,1,128,8,1024,10.223328,152.69277766867842,10,0
32,2,16,32,32,128,32,16,32,128,79.499104,564.1752614184254,10,0
16,4,8,64,64,16,8,1,1024,16,18.031168,284.9380572167167,10,0
4,1,32,16,64,16,8,1,32,512,19.388352,433.7428654319137,10,0
32,1,16,8,512,1,1,2,256,16,1068.990464,2902.690750326939,10,0
8,1,8,32,32,128,256,2,1024,128,11.134688,178.39349589658278,10,0
32,1,4,16,32,32,2,4,1024,128,10.676576,174.52036383268808,10,0
16,2,32,8,32,4,1,64,1024,256,5.577504,131.5163441432777,10,0
32,16,64,4,128,2,512,1,512,1024,831.709152,1213.1355307377708,10,0
16,2,128,128,16,1,32,1,1024,256,363.403648,1618.8105084397937,10,0
64,16,128,4,64,8,8,1,64,1024,0.0,3028.520172103271,10,0
4,1,1024,16,8,1,32,8,512,32,224.431712,218.10446257696856,10,0
8,2,32,128,256,8,4,2,64,16,52.35088,1084.7149194810502,10,0
16,16,128,256,64,8,1,2,512,8,0.0,2901.2027278273085,10,0
4,1,128,32,8,4,8,32,128,512,14.891392,167.23213998738976,10,0
256,4,4,32,256,32,16,16,256,256,656.009312,369.34229838165714,10,0
4,2,16,512,16,32,64,1,256,32,17.145024,237.26134135363665,10,0
32,1,32,256,128,16,512,1,512,1024,54.134496,826.1316016188053,10,0
32,16,64,1024,32,32,2,2,16,4,526.757184,296.2880534809246,10,0
8,2,8,16,128,16,8,1,256,1024,25.724928,360.7510046971397,10,0
4,1,16,1024,4,512,4,4,32,4,241.825792,100.11446979132889,10,0
32,8,16,4,32,32,8,16,128,16,103.417856,113.33966391402376,10,0
16,32,64,32,64,64,16,4,128,32,33.284096,543.9514602059993,10,0
4,1,128,128,4,1,1,512,4,512,944.843616,169.83067971951337,10,0
32,2,16,8,64,32,4,128,16,512,12.180896,162.91280591256356,10,0
64,1,4,8,128,2,2,64,4,256,206.870976,91.4504417956214,10,0
4,64,64,512,128,8,16,4,128,1024,58.98032,807.1338711019648,10,0
4,16,128,1024,4,64,4,8,32,8,59.237952,436.727922535326,10,0
32,128,128,128,32,2,8,128,256,256,0.0,2896.0863391547136,10,0
128,4,32,32,128,4,2,4,512,512,71.344128,842.8469377072614,10,0
16,4,64,32,16,16,1,256,4,1024,16.478048,188.30059348763723,10,0
8,16,32,256,32,64,16,64,32,256,113.83808,101.19151503233957,10,0
128,4,32,4,128,2,1,4,8,64,136.414432,488.3347397556129,10,0
4,4,8,1024,32,128,16,32,16,512,15.796416,177.93259150921688,10,0
16,2,8,32,256,16,4,64,4,128,130.948704,106.23159008225426,10,0
64,1,32,16,64,2,1,256,256,1024,7.91424,136.3771690907484,10,0
16,1,4,128,64,64,8,2,8,8,293.620544,101.87674233554648,10,0
8,2,256,16,32,2,2,64,1024,64,2.413088,104.04901813909603,10,0
4,8,64,1024,8,128,2,32,32,256,5.056704,114.7626802164112,10,0
8,4,32,512,32,16,128,4,256,32,30.306304,296.338778320613,10,0
8,16,32,512,128,32,64,2,128,16,15.353856,220.31487471664929,10,0
4,1,8,16,64,64,4,4,8,512,3.865696,120.13313582055775,10,0
1024,8,8,4,1024,1,2,2,8,2,0.0,3127.417145290119,10,0
8,1,8,32,64,32,32,32,64,256,15.591712,139.07026980665188,10,0
16,16,16,256,256,16,8,128,64,128,328.692032,273.83759120960127,10,0
4,128,256,4,8,2,1,32,512,128,397.25472,608.3906863349138,10,0
64,16,32,32,64,8,16,16,128,512,257.467104,297.0273484684766,10,0
16,2,8,64,16,16,512,1,512,64,82.821248,687.0632248647893,10,0
4,16,128,16,8,8,128,8,512,64,53.4328,563.4780759002781,10,0
8,8,32,1024,8,128,1,4,8,256,11.5712,174.42929880165616,10,0
64,4,64,8,64,16,1,4,8,64,42.845696,921.729718060424,10,0
4,4,16,8,8,1,16,32,128,128,156.355392,82.58670758883152,10,0
32,2,4,8,512,16,8,2,64,2,329.036448,121.0592286067306,10,0
8,8,32,64,32,2,1,16,256,256,48.017504,588.3146796759797,10,0
32,2,32,256,32,64,4,4,128,16,16.077248,241.8098199173305,10,0
4,2,32,512,64,16,4,128,4,128,122.308608,83.51287292570741,10,0
128,2,8,256,256,32,8,1,8,256,102.907584,447.044495720041,10,0
16,4,64,16,16,2,8,2,512,16,104.841664,177.4691380129056,10,0
16,2,16,8,32,1,128,2,256,4,855.74656,191.29291770544907,10,0
16,2,8,8,64,32,2,32,128,128,9.203424,150.621277954323,10,0
8,2,128,4,8,64,1,1,128,1,123.11552,394.0198241267945,10,0
16,32,32,4,16,128,1,8,512,8,185.838848,248.5987249008992,10,0
64,16,16,8,128,1,1,8,64,32,1911.232512,2044.7841724345,10,0
32,8,128,32,32,1,2,128,2,256,184.516512,122.75463399359856,10,0
16,8,8,16,64,128,8,1,1024,128,27.250688,293.50190649304943,10,0
16,8,16,64,16,16,1,64,128,256,10.087968,201.9916332176798,10,0
8,32,64,256,16,8,2,2,64,8,12.253184,218.8540288916511,10,0
8,8,64,16,8,8,2,16,512,32,2.62336,103.3752458824529,10,0
8,8,32,16,16,1,2,128,32,1024,19.83664,292.241915119294,10,0
32,16,32,8,32,128,16,1,512,2,312.4792,654.6804947275087,10,0
8,16,16,128,8,8,1,1,4,4,331.936256,129.44096493083543,10,0
4,4,64,128,128,2,4,2,128,2,290.977216,726.6301622148892,10,0
4,2,8,8,128,4,2,8,256,128,13.018784,243.11662482532623,10,0
8,1024,1024,1024,8,1,8,4,8,8,0.0,3206.201511789073,10,0
8,32,32,32,16,1,2,4,32,256,446.758912,132.51830144454254,10,0
8,2,64,64,32,1,4,8,256,8,13.426432,173.65617429687117,10,0
64,2,4,128,128,64,32,1,64,4,123.496448,154.92687522160222,10,0
8,1,16,4,512,4,1,32,64,1024,14.704608,595.0938395010294,10,0
4,16,512,32,8,8,256,2,256,256,722.71408,635.2282399414638,10,0
4,2,4,128,64,64,4,2,32,32,6.896096,134.28661466072242,10,0
64,128,128,256,64,8,2,1,8,256,0.0,3002.6130976726977,10,0
4,4,64,128,32,64,32,1,64,4,90.833088,81.31156512372898,10,0
32,4,4,4,32,4,4,128,512,1024,138.38336,70.14903510133247,10,0
16,2,16,64,64,64,16,16,32,128,7.6448,104.39991907364322,10,0
128,1,16,16,512,4,64,2,1024,512,102.422976,600.6161179338015,10,0
16,128,256,1024,16,8,8,1,128,32,0.0,2848.4735277796785,10,0
8,16,512,128,8,1,128,8,512,128,502.579168,140.76859913473493,10,0
4,128,128,4,8,32,4,64,32,128,497.791648,301.4320910127817,10,0
8,4,4,64,256,16,1,32,64,1024,38.836224,922.5072561607124,10,0
16,4,64,128,16,16,2,16,8,16,54.414048,391.3738118790751,10,0
32,2,16,16,32,8,2,64,64,1024,2.953728,105.53248161388096,10,0
8,4,256,64,8,32,1,1,16,1024,118.088928,817.9982483236521,10,0
8,1,8,64,64,32,32,8,1024,32,11.91936,182.2833938546364,10,0
32,1,8,4,32,128,1,128,32,128,17.55136,198.8189696305864,10,0
128,4,32,8,128,4,1,32,16,512,46.646688,684.4179748720825,10,0
32,32,64,32,64,64,8,16,256,16,292.90048,641.5543702181236,10,0
4,2,4,64,256,16,32,8,1024,32,15.994144,201.8890449721336,10,0
128,8,8,32,256,32,4,16,1024,1024,235.288896,628.1004734197081,10,0
8,8,128,4,32,2,2,4,4,32,120.499648,213.16615536138968,10,0
4,4,256,64,4,32,1,1,256,128,172.522528,385.7223056516981,10,0
4,1,64,32,4,16,32,1,128,128,146.063808,328.68428887052346,10,0
16,1,128,32,32,1,8,32,8,256,125.166208,83.96318659358809,10,0
8,512,512,512,8,4,1,1,2,512,0.0,2919.638518173946,10,0
32,4,4,8,128,16,1024,1,1024,1,2967.963648,358.10057271446,10,0
8,1,32,32,64,64,32,16,256,16,24.289696,230.56564015842065,10,0
4,64,128,4,16,32,2,256,16,256,502.114304,296.56770848792405,10,0
64,1,8,4,256,32,16,2,16,256,15.469888,282.42826030584087,10,0
8,16,32,4,64,4,8,2,32,16,21.006272,225.1050359081013,10,0
16,32,32,16,128,4,128,4,512,4,690.984224,322.3481545597761,10,0
16,4,32,128,16,4,4,1,4,16,316.357632,285.192363488204,10,0
16,4,8,8,64,128,64,16,128,256,24.2928,272.0737714394804,10,0
4,2,64,16,64,2,4,16,128,256,0.608256,87.37512314358086,10,0
8,16,64,16,32,64,4,2,64,512,7.810528,144.76891743192277,10,0
64,16,128,256,64,2,64,4,1024,512,640.943424,489.1636141717162,10,0
8,2,4,4,512,8,1,64,64,64,1497.682208,832.4232538934673,10,0
8,512,512,64,8,2,4,4,1024,32,0.0,2931.4255482019585,10,0
16,32,64,32,32,32,16,64,1024,128,100.962208,181.4456587476137,10,0
4,16,128,256,4,2,16,2,32,8,354.15328,143.7065656114322,10,0
8,2,8,512,32,256,8,2,512,8,7.780352,138.89369204742823,10,0
8,64,64,512,32,32,32,2,128,256,107.853824,261.26445738849515,10,0
8,2,64,8,64,4,1,32,512,256,2.5352,131.61107089151,10,0
4,8,32,4,4,2,2,32,128,1024,4.205504,126.38385473430492,10,0
128,1,16,16,128,2,16,64,512,64,223.676416,115.12927184075158,10,0
16,4,16,64,128,32,2,4,2,1024,12.352288,211.51649439304603,10,0
8,2,32,8,64,64,2,8,1024,256,2.101088,114.54841604208852,10,0
8,4,64,16,32,2,32,4,128,128,202.283392,123.54996947107816,10,0
32,8,32,16,64,8,8,1,32,16,43.333632,831.1820069556111,10,0
8,64,128,8,32,8,4,64,64,512,62.811904,847.7364295283547,10,0
4,8,8,256,16,128,8,1,256,512,10.053856,172.12682792319967,10,0
64,1,64,4,128,8,16,2,32,2,699.483968,1806.5106241406747,10,0
64,64,64,512,128,8,16,32,512,32,0.0,2889.9369157672613,10,0
4,4,64,4,128,2,128,1,128,256,196.2704,92.1098203095773,10,0
8,2,128,128,8,4,8,1,16,2,1026.119744,681.5787590278252,10,0
4,64,128,4,8,2,128,2,512,16,454.4512,212.7006670233216,10,0
8,8,8,8,128,8,2,8,16,512,51.4432,758.8424376198363,10,0
4,64,256,512,8,2,4,16,8,16,1864.17536,341.1657344306785,10,0
128,8,16,32,256,16,1,1,512,64,414.732352,2229.363325015337,10,0
8,4,32,16,256,8,4,4,32,32,20.247072,423.8477110865789,10,0
8,512,512,64,16,1,1,256,16,1024,0.0,3065.152654520562,10,0
32,4,16,4,32,2,32,4,32,128,39.839744,313.6694954452102,10,0
8,8,128,512,64,4,256,2,256,8,194.828288,282.6095257339898,10,0
4,2,32,128,16,64,4,64,1024,512,1.20336,75.64769318278313,10,0
16,1,32,128,32,128,2,1,1024,1,110.063584,209.48079560430264,10,0
8,32,32,16,32,128,1,2,128,64,86.017248,522.354482728081,10,0
4,1,4,32,64,8,16,64,32,512,26.026848,234.3489187902627,10,0
16,8,8,512,32,256,32,1,512,16,29.258592,306.74756281386465,10,0
8,2,32,16,16,128,16,4,16,64,42.509952,351.3496249964889,10,0
32,1,128,16,32,32,8,1,1024,64,0.0,2960.400804935475,10,0
32,16,64,512,32,16,1,1,32,256,578.860736,1040.7056940868958,10,0
16,128,512,8,16,1,16,64,128,512,514.889728,642.2568709745408,10,0
4,2,64,512,4,8,1,4,128,128,11.595744,212.32666726348305,10,0
4,2,128,16,32,1,128,8,1024,8,256.78384,113.34198623173592,10,0
8,8,8,256,16,256,2,1,32,512,28.386464,287.02552095279646,10,0
16,2,4,32,256,8,2,16,128,64,73.059808,149.13409225921768,10,0
8,1,128,128,32,8,2,128,128,256,3.365536,78.21645947655172,10,0
4,1,128,16,32,8,8,2,256,16,26.79808,476.9714325750029,10,0
128,4,8,128,128,16,64,4,512,128,297.933504,202.4446808077548,10,0
32,8,128,1024,32,8,1,8,4,32,193.130496,205.6000575471388,10,0
8,1,16,16,128,64,64,8,64,128,12.877728,175.35296145753873,10,0
32,16,128,4,64,2,32,2,128,4,1446.955008,1880.4740066794848,10,0
16,1,4,8,64,32,32,8,256,8,65.837024,71.51750707070462,10,0
8,4,4,32,16,8,2,16,16,16,274.894848,99.87307665620564,10,0
16,8,64,512,64,64,8,1,64,16,10.243488,473.7607841623399,10,0
4,16,64,4,128,1,8,16,1024,32,113.559264,153.10030153387007,10,0
4,1,16,8,8,8,64,1,512,1,794.05344,180.38314954036903,10,0
8,8,32,256,8,256,16,16,64,128,17.21312,201.6429428712394,10,0
8,1,8,512,32,256,1,16,1024,32,13.739136,186.3856001041187,10,0
8,8,1024,64,8,1,16,16,64,128,329.586688,194.8032241812276,10,0
4,128,512,4,4,4,8,128,1024,1024,116.698784,178.75936609392542,10,0
32,8,64,128,64,4,2,1,16,512,103.528928,932.0670598966352,10,0
32,1,64,16,64,8,8,1,16,1,1244.30336,1082.519804488395,10,0
8,1,64,128,32,2,8,16,256,32,24.70512,277.2344062007022,10,0
8,8,16,32,64,16,1,1,512,32,19.926816,549.639516833369,10,0
8,2,32,8,256,2,16,8,128,64,2.152416,105.53661296,10,0
4,128,128,8,8,2,4,2,32,1024,365.364992,298.068104765033,10,0
4,8,64,128,8,2,128,1,256,128,88.2496,145.65276041750008,10,0
4,64,256,16,4,16,4,8,16,16,201.98464,128.83932717821915,10,0
16,8,32,32,16,128,1,2,256,256,14.123008,247.36244899669788,10,0
4,8,1024,64,4,4,8,16,64,64,55.327744,489.1944860248571,10,0
4,4,64,32,4,1,8,32,64,512,20.858624,231.93695544042248,10,0
32,32,64,256,128,16,4,128,64,256,182.944192,641.1584741936828,10,0
128,1,8,16,128,8,1,4,128,8,247.146496,158.39537722930268,10,0
32,64,64,32,32,8,1,4,512,128,494.898016,2022.6682109212904,10,0
8,8,32,32,256,4,8,1,1024,16,97.908512,373.7444536330947,10,0
8,128,128,8,32,32,1,4,512,256,379.159808,2589.463074022424,10,0
16,8,16,4,128,8,8,32,8,128,78.739584,101.47838720319776,10,0
4,128,512,16,4,2,2,256,128,256,105.652416,148.29616968686835,10,0
128,1,32,16,128,1,1,2,2,64,346.74688,1393.6534472237129,10,0
4,1,512,512,8,4,4,2,256,2,48.868576,1117.7613696912686,10,0
64,1,16,128,128,16,8,1,1024,4,101.924864,424.04261704624565,10,0
32,64,128,16,32,1,4,16,64,512,156.065792,569.7922340396481,10,0
32,32,64,128,64,8,32,8,32,64,704.057344,675.7260611450657,10,0
4,2,4,8,4,256,32,2,128,16,348.072224,106.63748309848644,10,0
4,64,64,4,32,1,2,32,32,128,309.878784,655.049199105032,10,0
32,1,4,4,64,128,32,16,512,32,22.845568,261.08247515254925,10,0
16,64,256,512,16,8,8,4,16,512,568.831968,328.29045596996406,10,0
64,2,16,4,256,8,2,2,256,16,201.220768,502.22111316583664,10,0
8,2,4,64,8,256,1,4,32,4,118.732576,73.62705878305562,10,0
4,16,32,16,256,2,1,8,16,128,103.790656,2663.1478212733914,10,0
8,1,256,32,32,8,1,8,2,256,107.988288,722.9615789885662,10,0
4,1,128,32,4,16,64,16,128,128,51.974688,416.4743260213066,10,0
4,32,64,4,32,64,32,4,1024,512,9.275392,197.26965530357023,10,0
4,32,512,32,4,1,2,32,2,32,793.232192,162.65745378826858,10,0
8,2,4,4,128,16,64,4,128,8,111.8832,79.89429512347054,10,0
8,64,128,256,32,8,64,8,1024,32,128.162592,246.79040902517949,10,0
8,1,16,32,128,2,8,8,128,256,1.871872,70.39503694017353,10,0
4,16,16,32,64,8,32,32,128,1024,38.964096,429.6546430508008,10,0
4,128,128,64,8,32,64,8,1024,1024,200.073056,275.0237228768844,10,0
16,128,256,256,16,2,1,512,64,1024,324.098848,1904.279852552935,10,0
4,4,32,16,64,8,64,1,512,1024,55.50256,680.5885811439606,10,0
4,1,256,64,4,4,128,8,1024,1024,55.925056,631.8087821193421,10,0
4,1,256,128,8,32,1,64,4,1024,11.456416,174.81297468985204,10,0
8,8,8,4,512,8,2,64,8,128,460.126368,1710.7164741023616,10,0
4,4,8,256,64,32,1,1,512,8,69.449024,218.01330823046823,10,0
8,2,32,256,64,16,2,256,16,256,25.40432,217.9706434365776,10,0
4,16,16,16,8,64,16,2,64,32,46.789888,399.4062703580551,10,0
32,4,4,128,32,256,4,2,32,4,184.005568,100.7555355593204,10,0
16,8,32,128,128,4,8,1,128,2,93.76768,216.4582766543101,10,0
64,4,16,4,64,1,8,16,16,16,909.764768,205.7801573940465,10,0
16,16,256,8,16,8,4,16,4,64,83.740512,105.25857134437156,10,0
8,8,128,32,64,1,128,8,128,512,257.538528,133.59663807333845,10,0
8,4,128,16,64,4,16,1,64,512,80.893728,431.804614498083,10,0
16,16,16,8,512,4,8,16,256,16,494.143008,680.3585507250433,10,0
4,4,64,8,8,8,4,2,16,64,45.547264,475.9309879000226,10,0
8,16,32,4,64,64,8,128,32,1024,14.4584,220.76891391694983,10,0
8,32,256,8,8,1,2,128,64,512,13.401056,220.93803305134225,10,0
128,4,64,16,128,2,2,4,64,128,122.505216,493.4404470978438,10,0
8,2,16,512,16,32,1,32,1,32,1348.412608,206.5247317100872,10,0
16,2,128,64,32,1,1,1,2,4,754.20256,1858.204807126353,10,0
8,32,128,32,8,16,2,16,32,256,9.233408,189.0118506550944,10,0
4,1,1024,4,4,4,1,4,128,512,35.201024,1055.6596679456632,10,0
512,1,16,4,512,1,8,2,32,16,1897.550336,2549.0861049922755,10,0
16,4,64,16,32,4,128,1,512,8,215.811296,422.7222451199867,10,0
64,2,32,256,128,8,8,2,16,128,17.620128,737.1360271609442,10,0
8,64,128,4,32,8,128,4,128,1024,470.0368,307.838444692298,10,0
16,4,64,32,32,1,8,16,128,256,151.532352,95.4970400158872,10,0
4,2,32,8,128,1,2,16,2,64,88.212288,95.27648123179873,10,0
4,64,128,256,64,8,4,16,512,16,165.75264,579.1529276462066,10,0
32,32,64,32,64,1,128,4,128,32,3147.187776,1074.133350235002,10,0
64,2,8,8,128,1,2,8,32,8,206.927264,116.95971203755668,10,0
32,2,256,256,32,1,4,32,256,512,2.963456,147.1953112714512,10,0
32,2,4,4,256,16,32,4,128,512,23.912448,343.9633606445044,10,0
16,2,32,16,64,8,32,2,128,64,46.508064,625.8435647260007,10,0
4,4,32,8,8,1,256,1,512,8,415.11408,146.87896334119822,10,0
16,8,16,16,16,16,64,4,1024,128,18.384448,234.4238289579751,10,0
8,16,16,8,128,64,128,2,1024,32,9.74512,184.22018007878336,10,0
8,2,64,8,64,32,256,2,256,32,40.73296,459.34174901435625,10,0
32,1,16,4,256,4,64,1,512,1,475.36016,285.7710431768867,10,0
4,2,64,128,16,32,1,8,8,1024,5.432672,159.2867862273092,10,0
128,4,8,8,512,2,4,4,4,64,257.366272,285.420010738032,10,0
16,8,16,8,64,128,1,16,1,128,168.84928,273.81677289308334,10,0
8,128,128,8,8,8,1,16,256,64,500.504864,695.2357516004796,10,0
4,4,64,256,64,4,16,16,128,64,2.132512,90.7569232262408,10,0
4,1,32,128,32,8,16,32,64,32,68.598592,66.45456518575,10,0
16,4,64,1024,32,16,16,64,1024,1024,19.318784,292.60559333010127,10,0
64,16,16,8,512,4,2,128,512,512,1814.024128,2835.000768743308,10,0
8,2,8,8,8,32,1,1,1024,256,24.437152,377.5080337768342,10,0
4,1,4,64,16,16,128,1,256,1,2125.641568,305.48643656842296,10,0
4,256,512,256,16,2,4,32,16,1024,560.447584,627.5157421404294,10,0
8,64,128,512,64,16,16,8,256,32,32.152032,573.0447616558638,10,0
16,8,64,16,16,2,1,8,8,8,63.136576,93.34807227959736,10,0
4,64,256,128,8,16,4,1,256,256,33.886208,714.552850161823,10,0
8,16,64,4,32,8,1,128,512,256,13.416448,367.7425841066921,10,0
8,4,4,64,256,16,16,1,256,1,120.31888,91.76765149560444,10,0
32,8,32,4,32,4,2,128,512,1024,14.903776,225.99555785975045,10,0
8,4,8,16,8,16,4,16,8,16,650.909696,141.66921329683208,10,0
16,512,512,256,16,1,1,16,4,512,0.0,3070.899562155234,10,0
8,8,256,256,8,16,2,8,64,256,8.234784,97.89326631796555,10,0
4,2,8,4,32,32,2,8,16,128,7.073792,141.9433761914942,10,0
8,8,16,16,64,8,2,64,1024,256,17.638624,301.989895239826,10,0
4,128,256,64,8,1,256,1,512,16,560.318464,608.7427672207208,10,0
4,1,128,8,32,32,64,4,64,4,539.858944,224.3022023145302,10,0
32,1,16,8,512,1,128,4,128,4,1801.990144,306.34850581118,10,0
4,32,32,8,128,16,16,2,128,1024,23.330112,383.2734934395016,10,0
8,1,32,256,8,64,1,8,4,1024,8.41168,162.14187346558552,10,0
32,4,256,128,32,1,512,1,512,64,0.0,3081.965633730924,10,0
4,1,256,4,16,2,8,8,32,16,154.278304,63.23278463110461,10,0
64,8,16,8,256,4,32,4,128,512,324.467264,248.45753928503305,10,0
16,8,16,8,128,4,2,8,512,512,49.57376,706.9191506344317,10,0
128,1,32,8,128,2,128,2,256,4,2536.103456,850.0669391420514,10,0
32,4,128,128,32,16,32,4,128,32,231.182848,272.90407141967216,10,0
16,8,16,64,32,64,4,1,16,32,17.784864,290.0809360996266,10,0
16,64,64,64,16,2,1,1,8,128,250.095808,572.0114482908771,10,0
