chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
1024,32,16,2,2,1,0,1,0,"(1, 0, 3, 2, 4)",hpclab61.idi.ntnu.no,8.747417500000001,"[9.178907, 8.885958, 8.774396, 8.750266, 8.763818, 8.747937, 8.748647, 8.754207, 8.729896, 8.718967]",1702756544854,True,0.2534795999999915
32,4,2,128,4,2,0,1,0,"(1, 2, 0, 3, 4)",hpclab61.idi.ntnu.no,9.090023,"[9.932728, 9.093907, 9.094037, 9.085388, 9.082957, 9.046457, 9.111617, 9.088777, 9.145537, 9.064388]",1702756545900,True,0.2894167999998899
16,16,2,256,4,1,1,0,0,"(2, 0, 3, 1, 4)",hpclab61.idi.ntnu.no,6.7143665,"[7.600427, 6.714715, 6.715225, 6.701575, 6.681257, 6.715985, 6.681514, 6.714477, 6.719825, 6.741565]",1702756546840,True,0.2273074999997334
128,16,2,2,12,1,0,0,0,"(0, 3, 1, 2, 4)",hpclab61.idi.ntnu.no,1.460431,"[2.760612, 2.002191, 1.672282, 1.548061, 1.478231, 1.396241, 1.426351, 1.442631, 1.436192, 1.436762]",1702756547559,True,0.07288740000003599
512,4,16,1,6,1,1,0,0,"(0, 3, 2, 1, 4)",hpclab61.idi.ntnu.no,3.126837,"[3.598633, 3.264754, 3.157862, 3.133252, 3.125893, 3.121092, 3.117232, 3.108742, 3.111184, 3.111043]",1702756548340,True,0.1321023000004061
2,2,16,256,16,0,1,0,0,"(3, 2, 1, 0, 4)",hpclab61.idi.ntnu.no,38.8044655,"[38.83469, 38.985452, 38.933859, 38.675502, 38.837879, 38.877092, 38.83004, 38.779451, 38.86772, 38.742881]",1702756550895,True,1.1132450999997672
64,4,16,2,16,0,0,0,0,"(0, 1, 3, 2, 4)",hpclab61.idi.ntnu.no,2.3780975,"[2.489682, 2.434022, 2.431342, 2.325841, 2.341822, 2.440102, 2.368883, 2.387312, 2.321052, 2.359792]",1702756551645,True,0.10465459999977611
4,4,16,8,16,1,1,0,0,"(0, 1, 2, 3, 4)",hpclab61.idi.ntnu.no,1.452101,"[2.158912, 1.493892, 1.451051, 1.441111, 1.448601, 1.486661, 1.440301, 1.455951, 1.453151, 1.444121]",1702756552327,True,0.06690940000044066
256,2,16,2,10,0,0,0,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,3.5709425,"[4.670734, 4.205393, 3.965243, 3.563002, 3.472284, 3.431933, 3.381122, 3.313383, 3.263212, 3.262202]",1702756553111,True,0.13030179999987013
16,4,2,1,8,1,0,1,0,"(1, 3, 2, 0, 4)",hpclab61.idi.ntnu.no,4.797089,"[4.878504, 4.805053, 4.811395, 4.788234, 4.775564, 4.780423, 4.810773, 4.801645, 4.792964, 4.799844]",1702756553982,True,0.14545749999961116
1024,16,32,8,10,0,0,0,0,"(1, 0, 3, 2, 4)",hpclab62.idi.ntnu.no,7.838446,"[7.9877, 7.88566, 7.764681, 7.8496, 7.872259, 7.842911, 7.80318, 7.81313, 7.840731, 7.8341]",1702756543682,True,0.2631837999997515
2,2,32,64,10,1,1,0,0,"(3, 1, 0, 2, 4)",hpclab62.idi.ntnu.no,79.5631235,"[79.274288, 78.708131, 80.743996, 80.372037, 78.62168, 79.678269, 78.419162, 78.654412, 80.871885, 80.769437]",1702756548317,True,1.9367742999998883
16,32,4,256,2,0,1,0,0,"(0, 3, 2, 1, 4)",hpclab62.idi.ntnu.no,7.950060499999999,"[8.05605, 7.980551, 7.900969, 7.920861, 7.94561, 7.895591, 7.999069, 7.95501, 7.897861, 7.869209]",1702756549331,True,0.21257750000004308
128,2,4,1,2,0,1,1,0,"(1, 2, 3, 0, 4)",hpclab62.idi.ntnu.no,10.1253535,"[10.203804, 10.028055, 10.123454, 10.172915, 10.149274, 10.118595, 10.157885, 10.078194, 10.053686, 10.127253]",1702756550471,True,0.24536540000008245
16,2,4,16,16,1,0,0,0,"(0, 3, 2, 1, 4)",hpclab62.idi.ntnu.no,1.299917,"[2.146225, 1.594077, 1.350746, 1.268967, 1.263637, 1.248276, 1.217607, 1.203207, 1.204057, 1.206937]",1702756551183,True,0.05961459999998624
512,2,4,16,14,1,0,0,0,"(0, 2, 1, 3, 4)",hpclab62.idi.ntnu.no,1.286782,"[2.320534, 1.727375, 1.418316, 1.293787, 1.284307, 1.308847, 1.302497, 1.287766, 1.286587, 1.258157]",1702756551863,True,0.054768699999840464
32,4,32,16,12,1,0,0,0,"(1, 0, 3, 2, 4)",hpclab62.idi.ntnu.no,3.7979855,"[4.247809, 3.822191, 3.78009, 3.78124, 3.78057, 3.788311, 3.78173, 3.779341, 3.775189, 3.77706]",1702756552687,True,0.1632605999999214
8,4,8,64,16,0,1,1,0,"(0, 1, 3, 2, 4)",hpclab62.idi.ntnu.no,1.498561,"[2.276974, 1.698866, 1.492426, 1.544856, 1.501566, 1.523517, 1.495327, 1.496686, 1.502556, 1.511236]",1702756553407,True,0.07279750000016065
64,32,32,1,2,2,1,0,0,"(0, 2, 3, 1, 4)",hpclab62.idi.ntnu.no,27.4930305,"[27.69193, 27.72627, 27.49316, 27.46674, 27.46445, 27.460361, 27.478991, 27.527191, 27.522871, 27.449291]",1702756555403,True,0.6591380000001663
16,4,32,16,10,1,0,0,0,"(3, 0, 1, 2, 4)",hpclab62.idi.ntnu.no,80.46426600000001,"[83.432718, 82.730962, 82.65263, 83.16544, 83.29592, 82.57813, 82.975091, 83.405458, 83.850558, 83.028409]",1702756560100,True,2.041451699999743
16,32,32,4,10,0,1,0,0,"(2, 3, 1, 0, 4)",hpclab63.idi.ntnu.no,158.4910165,"[160.271339, 158.173905, 158.781796, 158.324403, 157.858618, 158.226054, 158.65763, 160.16693, 158.298463, 159.321361]",1702756549643,True,3.5820291999999427
16,2,2,2,16,1,0,0,0,"(1, 3, 0, 2, 4)",hpclab63.idi.ntnu.no,7.402483500000001,"[7.494994, 7.411962, 7.415103, 7.431054, 7.405282, 7.405824, 7.406503, 7.406003, 7.403395, 7.399553]",1702756550657,True,0.20685730000004696
64,16,32,128,4,0,0,1,0,"(3, 2, 1, 0, 4)",hpclab63.idi.ntnu.no,79.569816,"[79.517942, 79.915877, 79.860067, 79.522252, 79.446205, 79.399983, 79.6501, 79.464423, 79.63344, 79.372654]",1702756555259,True,1.8412011000000348
512,32,8,4,8,2,0,1,0,"(2, 0, 3, 1, 4)",hpclab63.idi.ntnu.no,4.6136115,"[4.936963, 4.559006, 4.494299, 4.415299, 4.519946, 4.551658, 4.409698, 4.30133, 4.299249, 4.412569]",1702756556094,True,0.13332589999999983
512,8,2,2,2,2,1,0,0,"(3, 0, 2, 1, 4)",hpclab63.idi.ntnu.no,6.3100765,"[6.381755, 6.241848, 6.266966, 6.345067, 6.293226, 6.314856, 6.242558, 6.225836, 6.252648, 6.301495]",1702756557034,True,0.1535092000000077
256,2,16,64,6,0,1,0,0,"(1, 2, 0, 3, 4)",hpclab63.idi.ntnu.no,4.5450420000000005,"[6.02493, 5.24528, 4.953172, 4.531478, 4.475827, 4.521877, 4.576617, 4.405577, 4.31786, 4.691235]",1702756557860,True,0.14392870000001495
32,4,16,1,2,0,0,1,0,"(2, 0, 3, 1, 4)",hpclab63.idi.ntnu.no,16.110982,"[17.235658, 16.661037, 16.453818, 16.354269, 16.200602, 16.131131, 16.121463, 16.161112, 16.119131, 16.186841]",1702756559282,True,0.38977780000004714
32,4,32,4,8,0,0,0,0,"(3, 2, 0, 1, 4)",hpclab63.idi.ntnu.no,76.5473865,"[76.380179, 76.218431, 77.406116, 76.116412, 76.257369, 76.666025, 76.697045, 76.528037, 76.460677, 76.182492]",1702756563766,True,1.8366863000000193
512,32,4,4,14,0,0,1,0,"(1, 2, 3, 0, 4)",hpclab63.idi.ntnu.no,10.591881,"[9.944013, 9.811255, 9.821836, 9.802406, 9.828065, 9.800505, 9.805095, 9.777746, 9.820796, 9.789505]",1702756564908,True,0.2696743999999853
4,32,8,2,8,1,1,1,0,"(1, 0, 2, 3, 4)",hpclab63.idi.ntnu.no,14.2085795,"[14.348722, 14.219684, 14.244804, 14.286734, 14.223745, 14.203254, 14.423191, 14.260284, 14.184205, 14.151144]",1702756566221,True,0.5225361000000703
512,4,2,16,8,0,1,1,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,2.7845775,"[3.920204, 3.036602, 2.870334, 2.790252, 2.778903, 2.773783, 2.765602, 2.803142, 2.767302, 2.772083]",1702756566978,True,0.11271840000008523
1024,16,4,256,8,2,0,1,0,"(2, 1, 0, 3, 4)",hpclab19.idi.ntnu.no,27.4811055,"[31.054267, 27.542627, 27.318785, 27.351995, 27.176055, 27.322525, 27.338016, 27.493365, 27.492806, 27.330186]",1702756568970,True,0.7924684999998135
16,4,2,32,16,0,0,1,0,"(0, 2, 3, 1, 4)",hpclab19.idi.ntnu.no,1.192236,"[1.809081, 1.435521, 1.222752, 1.193481, 1.181161, 1.168141, 1.155141, 1.149951, 1.150361, 1.133372]",1702756569651,True,0.055681099999856085
16,16,16,64,8,0,0,0,0,"(3, 0, 1, 2, 4)",hpclab19.idi.ntnu.no,38.308751,"[38.279486, 37.593964, 38.064916, 38.383525, 37.964595, 38.124486, 38.406865, 37.991046, 38.158335, 37.595205]",1702756572210,True,1.0039992999998504
1024,2,4,1,10,2,0,0,0,"(2, 1, 3, 0, 4)",hpclab19.idi.ntnu.no,9.180874,"[9.134239, 9.014608, 9.000839, 9.193298, 9.347479, 9.004888, 9.179228, 9.193539, 8.994969, 9.006808]",1702756573302,True,0.22188190000015312
64,4,16,256,10,0,0,1,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,3.4439175,"[4.354835, 3.845893, 3.815544, 3.846334, 3.812793, 3.835453, 3.817154, 3.850443, 3.832134, 3.854134]",1702756574078,True,0.13266220000004977
1024,16,32,8,16,2,0,1,0,"(1, 3, 0, 2, 4)",hpclab19.idi.ntnu.no,76.7727455,"[76.841672, 76.741961, 76.826401, 76.795291, 76.788131, 76.824142, 76.690151, 76.750621, 76.867312, 77.045931]",1702756578555,True,1.7876790999998775
128,32,2,32,16,0,0,1,0,"(0, 1, 3, 2, 4)",hpclab19.idi.ntnu.no,1.6486865000000002,"[2.925672, 2.241063, 1.934151, 1.799991, 1.675991, 1.527222, 1.418472, 1.409721, 1.380841, 1.403451]",1702756579280,True,0.07698730000010982
512,4,32,4,12,2,1,0,0,"(2, 0, 1, 3, 4)",hpclab19.idi.ntnu.no,4.64193,"[5.391875, 4.481353, 4.625975, 4.627424, 4.651145, 4.671173, 4.626325, 4.693264, 4.632715, 4.913014]",1702756580114,True,0.14940470000001368
64,4,8,128,8,2,0,0,0,"(0, 2, 1, 3, 4)",hpclab19.idi.ntnu.no,4.226535,"[4.614654, 4.328985, 4.270473, 4.456025, 4.275514, 4.279394, 4.187144, 4.266314, 4.261233, 4.254124]",1702756580922,True,0.12950220000020635
64,16,4,256,4,0,1,0,0,"(3, 1, 0, 2, 4)",hpclab61.idi.ntnu.no,9.5745815,"[9.646917, 9.586779, 9.514606, 9.529218, 9.567977, 9.583067, 9.537129, 9.522706, 9.488009, 9.478557]",1702756567355,True,0.26818679999996675
2,32,32,2,14,1,1,0,0,"(0, 3, 1, 2, 4)",hpclab61.idi.ntnu.no,256.523258,"[256.459852, 256.487782, 256.609813, 256.340482, 256.511113, 256.472292, 256.615161, 256.333853, 256.519871, 256.331153]",1702756580799,True,8.809052199999133
2,8,16,32,12,0,0,0,0,"(2, 1, 3, 0, 4)",hpclab61.idi.ntnu.no,161.42990300000002,"[160.967908, 162.031577, 162.051678, 161.647028, 162.164108, 161.960738, 161.977947, 160.719658, 162.448837, 161.170548]",1702756589490,True,4.138621099999727
64,4,32,64,10,0,1,1,0,"(0, 2, 3, 1, 4)",hpclab61.idi.ntnu.no,7.034546,"[7.215477, 7.234045, 7.031115, 7.037437, 7.028725, 7.024395, 7.204266, 7.096646, 7.031655, 7.029155]",1702756590454,True,0.25034250000026076
256,32,32,8,8,0,1,0,0,"(1, 3, 2, 0, 4)",hpclab61.idi.ntnu.no,79.26692700000001,"[79.233312, 78.832072, 79.465172, 79.369043, 79.331252, 79.027862, 79.227072, 79.367574, 79.350542, 79.198842]",1702756595050,True,2.103112300000066
16,4,8,64,4,2,0,0,0,"(3, 2, 0, 1, 4)",hpclab61.idi.ntnu.no,19.466851,"[19.491655, 19.488386, 19.509115, 19.516186, 19.414076, 19.387944, 19.591056, 19.473595, 19.473166, 19.459745]",1702756596647,True,0.5262668000003032
2,8,8,16,12,2,0,0,0,"(2, 3, 1, 0, 4)",hpclab61.idi.ntnu.no,80.0108135,"[79.568893, 80.010323, 80.179263, 80.044724, 79.955923, 81.004103, 79.977914, 80.192953, 80.116733, 79.470472]",1702756601273,True,2.1383293999999298
64,16,8,64,8,1,1,1,0,"(2, 3, 1, 0, 4)",hpclab61.idi.ntnu.no,17.815538500000002,"[18.005815, 17.879484, 17.875923, 17.848245, 17.887504, 17.733995, 17.796273, 17.806704, 17.855825, 17.813594]",1702756602785,True,0.5178916000004392
64,2,2,1,14,1,0,0,0,"(1, 3, 2, 0, 4)",hpclab61.idi.ntnu.no,6.630459999999999,"[6.747586, 6.638896, 6.630984, 6.628034, 6.629017, 6.632685, 6.628504, 6.628456, 6.632576, 6.628555]",1702756603745,True,0.20172749999983353
128,8,8,2,8,1,1,1,0,"(2, 0, 1, 3, 4)",hpclab61.idi.ntnu.no,2.8636920000000003,"[4.139183, 3.108192, 2.903072, 2.881412, 2.868072, 2.861963, 2.842152, 2.833952, 2.842142, 2.864312]",1702756604494,True,0.11352560000013909
4,2,2,32,12,1,0,0,0,"(0, 3, 2, 1, 4)",hpclab62.idi.ntnu.no,1.473986,"[2.864713, 1.961345, 1.744565, 1.664305, 1.489616, 1.413607, 1.451646, 1.447356, 1.450667, 1.458356]",1702756566945,True,0.06664850000015576
8,2,4,64,8,1,1,1,0,"(1, 2, 3, 0, 4)",hpclab62.idi.ntnu.no,9.921901,"[9.804404, 9.997815, 9.752085, 9.955705, 9.764556, 10.092663, 10.096255, 9.978394, 9.916175, 9.997855]",1702756568077,True,0.23221000000012282
64,4,4,32,12,1,1,1,0,"(2, 3, 0, 1, 4)",hpclab62.idi.ntnu.no,10.1587385,"[10.178174, 10.128144, 9.932476, 10.134383, 10.281675, 10.117294, 10.137164, 10.523294, 10.165343, 10.109515]",1702756569215,True,0.23814539999984846
1024,2,2,256,4,0,1,0,0,"(2, 0, 1, 3, 4)",hpclab62.idi.ntnu.no,6.875008,"[7.301712, 6.850002, 6.700414, 6.676573, 6.705143, 6.693342, 6.713034, 6.686473, 6.716342, 6.701574]",1702756570156,True,0.19416569999993954
512,2,8,16,10,2,0,1,0,"(2, 0, 3, 1, 4)",hpclab62.idi.ntnu.no,3.276112,"[3.349362, 3.277212, 3.204242, 2.884303, 3.220632, 3.78542, 3.650271, 3.213112, 3.225462, 3.207492]",1702756570938,True,0.10586609999991196
512,4,4,64,16,0,1,0,0,"(1, 0, 2, 3, 4)",hpclab62.idi.ntnu.no,4.020795,"[4.657809, 4.04315, 3.99844, 3.82531, 3.862419, 3.95114, 3.828191, 4.19004, 4.16379, 4.134779]",1702756571749,True,0.14569709999996122
32,32,8,128,10,2,0,0,0,"(0, 2, 3, 1, 4)",hpclab62.idi.ntnu.no,3.2561210000000003,"[3.367132, 5.405755, 4.07284, 3.254242, 3.176373, 3.174743, 3.175312, 3.157012, 3.52642, 3.472231]",1702756572534,True,0.1138597999997728
64,8,32,256,10,1,0,1,0,"(2, 0, 1, 3, 4)",hpclab62.idi.ntnu.no,4.760337,"[6.685402, 5.274837, 4.772518, 4.834448, 4.769178, 4.810256, 4.740039, 4.826408, 4.827908, 4.747418]",1702756573379,True,0.16513130000021192
16,16,4,32,16,1,0,1,0,"(2, 1, 3, 0, 4)",hpclab62.idi.ntnu.no,9.1220365,"[9.107898, 9.185906, 9.047088, 8.924548, 9.190236, 9.147937, 8.972317, 9.128177, 9.193077, 9.115896]",1702756574453,True,0.22239149999986693
1024,4,16,32,12,1,0,1,0,"(1, 2, 0, 3, 4)",hpclab62.idi.ntnu.no,19.34552,"[19.53418, 19.159121, 19.000903, 19.314441, 19.317471, 19.066021, 19.43632, 19.248073, 19.020432, 19.204561]",1702756576019,True,0.612018199999875
128,8,32,256,6,2,0,0,0,"(0, 3, 1, 2, 4)",hpclab63.idi.ntnu.no,7.241580499999999,"[7.321056, 7.289055, 7.254435, 7.223776, 7.307305, 7.358905, 7.262825, 7.183426, 7.201417, 7.364993]",1702756567216,True,0.24143800000001647
512,8,16,8,2,0,1,0,0,"(1, 2, 0, 3, 4)",hpclab63.idi.ntnu.no,12.970423,"[16.956641, 15.108104, 13.823219, 13.151106, 12.817371, 12.579903, 12.412415, 12.395865, 12.456905, 12.429415]",1702756568488,True,0.3247161999999662
256,32,2,16,4,0,0,1,0,"(2, 1, 0, 3, 4)",hpclab63.idi.ntnu.no,9.6070535,"[10.339089, 9.640617, 9.715036, 9.730497, 9.700157, 9.749516, 9.722726, 9.673846, 9.727596, 9.679978]",1702756569559,True,0.28535509999992426
1024,8,2,2,10,2,0,1,0,"(1, 3, 2, 0, 4)",hpclab63.idi.ntnu.no,6.5298335000000005,"[6.592783, 6.549984, 6.501403, 6.519405, 6.542513, 6.539924, 6.524343, 6.490545, 6.522063, 6.540185]",1702756570515,True,0.17544410000000427
8,2,16,1,16,0,1,1,0,"(3, 0, 1, 2, 4)",hpclab63.idi.ntnu.no,42.133583,"[42.248767, 42.095508, 42.07133, 42.579973, 42.553124, 41.923431, 42.066709, 42.10367, 42.576582, 41.895272]",1702756573262,True,1.0910644999999932
16,8,4,128,12,1,1,1,0,"(3, 2, 1, 0, 4)",hpclab63.idi.ntnu.no,10.619246,"[10.713274, 10.610336, 10.611466, 10.563467, 10.661535, 10.684605, 10.562897, 10.620326, 10.536107, 10.562856]",1702756574415,True,0.2892641999999796
16,4,32,32,10,2,0,0,0,"(0, 1, 2, 3, 4)",hpclab63.idi.ntnu.no,4.1675260000000005,"[4.197252, 4.123561, 6.474646, 4.144092, 6.120699, 6.154238, 6.321416, 6.195287, 4.124042, 6.227988]",1702756575268,True,0.1704501999999593
32,2,4,128,6,2,0,1,0,"(1, 0, 2, 3, 4)",hpclab63.idi.ntnu.no,5.161615,"[6.160837, 5.164619, 5.152521, 5.16824, 5.11939, 5.14857, 5.155599, 5.135831, 5.123249, 5.145541]",1702756576123,True,0.16104209999994054
2,32,2,64,6,1,0,0,0,"(2, 3, 0, 1, 4)",hpclab63.idi.ntnu.no,76.01474300000001,"[75.723727, 76.660006, 77.315757, 75.882134, 75.789935, 76.477648, 76.627156, 75.614218, 76.182271, 75.48921]",1702756580548,True,1.8072978999999578
4,4,4,64,16,2,1,1,0,"(3, 2, 0, 1, 4)",hpclab63.idi.ntnu.no,11.449086,"[11.682933, 11.529045, 11.604204, 11.631944, 11.440896, 11.412517, 11.438597, 11.475496, 11.562095, 11.562065]",1702756581736,True,0.3133443000000625
512,32,4,2,12,2,1,1,0,"(2, 3, 1, 0, 4)",hpclab19.idi.ntnu.no,10.197285,"[10.10033, 10.25345, 10.031379, 10.156119, 10.178309, 10.18966, 10.20336, 10.354139, 10.168879, 10.176849]",1702756605639,True,0.24361839999983204
512,8,16,16,16,0,0,1,0,"(0, 2, 3, 1, 4)",hpclab19.idi.ntnu.no,3.3964135,"[3.456153, 3.508114, 3.353303, 3.377373, 3.347383, 3.351043, 3.562574, 3.344052, 3.348114, 3.553373]",1702756606425,True,0.12173129999973753
512,2,2,256,14,0,1,1,0,"(0, 1, 3, 2, 4)",hpclab19.idi.ntnu.no,3.405378,"[3.847674, 3.472553, 3.408843, 3.399513, 3.388473, 3.391134, 3.401913, 3.442182, 3.361804, 3.587233]",1702756607226,True,0.10998880000006465
256,4,4,128,2,0,0,1,0,"(2, 0, 1, 3, 4)",hpclab19.idi.ntnu.no,7.071136,"[8.202768, 7.175147, 7.125146, 7.027427, 6.907286, 6.925556, 7.002657, 7.146017, 7.035577, 7.106695]",1702756608188,True,0.19231789999976173
64,4,32,128,8,2,1,0,0,"(0, 1, 2, 3, 4)",hpclab19.idi.ntnu.no,4.4869745000000005,"[4.568854, 4.466084, 4.481884, 4.506355, 4.428074, 4.492065, 4.468493, 4.569004, 4.418654, 4.613895]",1702756609022,True,0.14608159999988857
16,8,8,256,16,0,0,1,0,"(1, 3, 2, 0, 4)",hpclab19.idi.ntnu.no,19.8480535,"[19.616838, 19.669039, 19.838968, 19.982918, 19.877549, 19.864007, 19.966069, 20.296898, 19.898938, 19.97716]",1702756610652,True,0.47223200000007637
512,32,4,2,8,2,0,0,0,"(2, 0, 1, 3, 4)",hpclab19.idi.ntnu.no,6.264901500000001,"[7.700267, 6.184016, 6.246867, 6.164515, 6.315376, 6.143336, 6.282936, 6.436175, 6.056176, 6.317516]",1702756611581,True,0.2010088999999425
512,16,4,1,8,2,0,1,0,"(3, 0, 2, 1, 4)",hpclab19.idi.ntnu.no,11.538571,"[11.601721, 11.50994, 11.498421, 11.50321, 11.49773, 11.495441, 11.49488, 11.506031, 11.500071, 11.51554]",1702756612805,True,0.3155567999998311
512,32,16,128,14,1,1,0,0,"(2, 1, 0, 3, 4)",hpclab19.idi.ntnu.no,11.784276,"[13.403472, 12.073442, 11.988051, 11.81019, 11.825182, 11.77423, 11.825422, 11.765421, 11.74184, 11.821262]",1702756613998,True,0.3794313999998849
256,8,16,16,12,0,0,0,0,"(2, 0, 3, 1, 4)",hpclab19.idi.ntnu.no,3.5348385,"[3.750754, 3.546303, 3.531064, 3.519172, 3.518714, 3.518693, 3.546794, 3.528763, 3.538373, 3.524734]",1702756614788,True,0.12087999999966996
8,2,8,16,4,1,1,0,0,"(0, 2, 3, 1, 4)",hpclab61.idi.ntnu.no,3.946573,"[5.022504, 4.394643, 4.049363, 3.937103, 3.913373, 3.897294, 3.888713, 3.884923, 3.903113, 3.907183]",1702756605331,True,0.13252030000003287
8,16,8,32,2,2,1,1,0,"(3, 2, 1, 0, 4)",hpclab61.idi.ntnu.no,39.786271,"[39.787232, 39.57245, 39.636452, 39.672232, 39.77219, 39.950673, 39.757811, 39.804601, 39.705842, 39.61405]",1702756607928,True,1.025244499999826
4,2,8,2,6,2,0,1,0,"(0, 3, 1, 2, 4)",hpclab61.idi.ntnu.no,5.053853999999999,"[5.202925, 5.050133, 5.069094, 5.041444, 5.038695, 5.070444, 5.076653, 5.052854, 5.041974, 5.068774]",1702756608803,True,0.16856580000021495
32,32,2,256,14,2,1,1,0,"(2, 1, 0, 3, 4)",hpclab61.idi.ntnu.no,4.173653,"[5.382264, 4.157733, 4.153355, 4.186003, 4.209783, 4.167823, 4.125623, 4.156223, 4.166325, 4.201513]",1702756609608,True,0.17004739999974844
64,4,2,64,12,1,1,1,0,"(1, 2, 0, 3, 4)",hpclab61.idi.ntnu.no,3.924028,"[4.621943, 3.941683, 3.927913, 3.911963, 3.906043, 3.907904, 3.903343, 3.894733, 3.925733, 3.913543]",1702756610394,True,0.1507673000000068
2,4,32,128,14,2,1,0,0,"(0, 3, 1, 2, 4)",hpclab61.idi.ntnu.no,13.1403655,"[13.11537, 7.893657, 13.30069, 13.165361, 13.19753, 8.286317, 13.21467, 13.104971, 8.047206, 13.608442]",1702756611588,True,0.44980579999973996
32,2,32,32,8,2,1,1,0,"(3, 1, 0, 2, 4)",hpclab61.idi.ntnu.no,81.57561,"[83.272225, 82.094776, 80.241603, 82.206245, 81.744165, 81.784034, 81.602585, 83.343926, 83.656686, 81.908165]",1702756616301,True,2.179425300000003
16,4,16,1,10,2,0,0,0,"(0, 3, 2, 1, 4)",hpclab61.idi.ntnu.no,4.3671085000000005,"[7.652637, 4.334133, 7.617006, 4.393733, 7.570057, 4.448763, 4.247973, 7.661816, 8.025427, 4.325914]",1702756617190,True,0.20775599999979022
8,2,2,2,4,2,1,1,0,"(2, 1, 0, 3, 4)",hpclab61.idi.ntnu.no,10.3601125,"[12.354259, 10.531029, 10.380628, 10.381679, 10.328127, 10.343727, 10.371529, 10.315548, 10.328399, 10.207897]",1702756618308,True,0.3220048000002862
16,8,2,256,8,1,0,0,0,"(0, 1, 3, 2, 4)",hpclab61.idi.ntnu.no,1.5169065000000002,"[2.648122, 2.196492, 1.772271, 1.601851, 1.540012, 1.473471, 1.460022, 1.440731, 1.466712, 1.456701]",1702756619017,True,0.07301109999971231
2,32,16,1,14,2,0,0,0,"(1, 2, 3, 0, 4)",hpclab62.idi.ntnu.no,638.3273955,"[634.312225, 641.160678, 639.918071, 642.005785, 639.882201, 637.514057, 639.037832, 637.284688, 639.406483, 636.944599]",1702756637030,True,14.884276599999794
