chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
8,256,32,16,3,1,1,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,161.568479
2,128,4,1,18,2,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,692.7214355
4,16,128,16,7,1,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,197.7430975
32,64,16,8,19,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,24.795663
128,64,32,1,2,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,10.514056499999999
16,64,256,1,17,0,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,103.21617499999999
16,32,4,8,9,1,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,16.358807
64,4,8,1,19,2,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,5.179267
128,8,128,4,11,0,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,236.05491999999998
128,256,8,32,14,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,2.3876685
4,2,16,16,15,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,259.57171600000004
16,32,32,32,19,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,23.0938695
2,32,4,8,12,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,392.61028899999997
64,16,16,8,6,1,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,97.1790785
4,16,128,2,19,0,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,214.881851
16,8,16,32,16,2,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,31.2623395
256,8,32,4,5,1,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,5.3969815
2,4,8,8,5,2,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,545.8268215
8,128,256,16,8,1,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,507.449844
16,256,16,8,2,2,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,108.3950595
256,128,64,1,17,0,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,6.137385500000001
256,4,128,32,8,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,114.8883065
8,256,2,4,4,2,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,209.627222
32,32,4,32,6,2,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,97.4338915
4,128,256,2,14,0,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,1247.0941855
16,32,4,1,2,0,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,148.263579
16,2,8,4,15,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,25.3995825
4,16,128,32,2,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,323.0969265
16,4,8,4,19,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,241.435992
128,128,256,4,6,1,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,94.396631
4,256,64,4,12,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,278.8136055
2,256,16,2,4,0,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1406.9013694999999
2,128,4,16,19,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,692.993744
32,128,2,2,4,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,50.492737500000004
2,2,64,2,17,1,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,1441.2085189999998
32,32,256,16,3,2,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,212.9306645
64,4,32,32,9,1,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,14.6963185
2,128,16,8,17,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,645.767865
256,8,4,32,18,1,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,1.1701745
256,128,32,1,17,0,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,28.497124999999997
128,32,16,16,2,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,107.9325485
64,4,2,32,6,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,5.44309
4,8,2,4,6,1,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,481.8942405
8,32,2,2,9,0,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,41.649772
16,4,4,1,8,1,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,20.156552
4,128,16,16,19,0,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,108.4379895
2,16,64,16,13,2,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,1086.3446025
16,16,8,4,13,1,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,14.429008
32,64,16,1,12,1,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,34.728995
64,64,32,4,18,2,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,20.9506065
8,64,256,1,5,2,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,828.0269395
64,64,256,1,7,2,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,960.770168
128,4,4,32,19,1,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,10.6254955
128,16,128,16,5,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,25.946807999999997
4,128,4,2,3,0,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,346.86517449999997
256,2,4,1,5,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,13.165354
2,64,4,2,7,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,321.439143
32,64,8,4,20,2,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,41.656048999999996
8,2,256,1,5,2,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,6637.4979084999995
2,32,32,2,3,2,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,364.02662899999996
32,8,4,16,18,0,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,41.6750315
128,4,128,16,16,2,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,22.896573
32,128,32,16,14,2,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,35.9392575
16,16,128,16,18,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,2239.2481070000003
2,2,2,32,5,1,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,979.1651425
64,2,4,8,14,2,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,3.4549905
8,16,2,32,7,0,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,161.74854449999998
32,32,32,32,11,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,15.011823
32,64,128,1,3,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1747.2126564999999
4,2,128,1,8,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,1468.4611955
4,16,256,8,6,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,2207.279899
8,64,2,4,17,0,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,40.6530465
128,64,8,16,10,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,2.3100300000000002
128,8,128,32,3,2,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,606.339598
8,2,128,4,11,1,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,1969.713327
32,4,128,1,16,1,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,41.6550725
32,128,2,4,20,1,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,44.5465685
256,32,2,16,14,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,1.3523975
2,128,8,32,15,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,645.9202359999999
8,16,16,32,16,1,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,143.64014
16,256,4,4,13,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,30.604084999999998
8,16,16,1,4,1,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,321.21239549999996
4,8,64,32,20,2,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,124.008306
2,64,64,1,14,2,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,75.3392935
8,2,2,8,13,0,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,78.42033599999999
256,16,64,2,7,2,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,5.5406785
32,16,2,2,3,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,85.84723
8,4,256,4,16,1,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,161.7408345
4,4,64,1,8,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,580.54564
32,128,256,8,8,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,44.6713
256,8,8,1,3,2,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,5.5489180000000005
8,128,4,16,14,2,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,161.82460650000002
16,16,8,4,2,2,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,45.808694
8,256,256,32,13,1,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,95.974928
64,16,4,32,14,1,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,7.8918725
64,32,8,4,16,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,12.8389125
4,4,2,4,9,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,190.877212
128,128,2,16,4,2,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,16.711668
64,2,8,1,4,0,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,91.731663
128,128,128,1,13,2,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,25.1833545
16,2,32,8,10,2,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,20.5557345
2,32,32,8,20,0,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,477.557402
64,32,4,32,12,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,22.486477
8,8,32,4,14,2,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,161.83694500000001
2,2,8,8,17,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,1682.2795405000002
64,4,8,16,20,1,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,6.3737455
32,128,128,8,5,1,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,283.0022325
16,4,16,32,19,0,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,20.1452345
256,256,128,4,14,0,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,5.004866
256,4,8,1,13,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,9.8117165
32,8,128,16,7,1,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,16.294563500000002
64,8,32,32,20,2,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,28.218940500000002
4,16,2,32,12,2,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,196.3589025
8,32,256,16,6,0,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,93.5336655
32,4,64,16,9,1,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,41.699604
4,128,64,8,12,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,904.6821239999999
32,4,16,8,15,2,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,41.757243
32,4,16,8,17,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,194.1119855
64,4,2,4,15,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,20.356313999999998
16,4,8,16,12,1,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,15.002994000000001
32,16,128,8,19,1,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,23.572496
256,8,128,4,3,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,51.0958955
8,4,256,4,15,1,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,162.51408750000002
32,8,128,32,15,0,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,41.738705
64,32,8,1,4,0,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,8.896442
2,16,4,8,7,2,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,393.991677
4,128,16,2,8,1,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,347.4151045
64,16,64,8,19,2,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,33.3870575
32,256,32,32,10,0,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,54.926317999999995
8,128,8,4,18,1,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,53.439508000000004
32,2,256,4,7,1,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,1253.299137
4,128,32,2,9,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,713.3628255
4,4,256,8,10,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,7043.480772
16,8,8,16,2,0,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,81.8083725
32,8,16,4,6,2,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,16.173976
4,64,8,1,3,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,2051.8851290000002
8,2,256,1,13,1,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,1287.6724795
256,8,64,8,5,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,83.08175750000001
2,32,2,1,11,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,371.989473
32,32,2,32,12,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,41.6812215
16,2,256,2,12,0,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,168.24377950000002
16,256,32,1,12,2,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,106.6083835
8,32,256,8,7,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,289.0251095
32,2,64,32,10,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,10.732569000000002
256,8,32,8,11,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,2.624151
8,32,16,32,9,1,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,161.9617275
64,256,64,16,4,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,429.713524
128,128,64,1,10,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,1.7313185
32,128,32,32,8,0,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,48.228059
4,16,4,8,12,1,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,323.1492255
2,256,256,4,15,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,710.1395895
128,4,64,16,4,0,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,23.650556
16,16,4,16,16,1,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,14.750467
32,128,8,8,9,1,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,32.2359745
4,4,128,1,5,1,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,1647.0597910000001
256,8,16,2,14,1,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,2.3853225
16,256,32,32,2,0,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,81.7482705
2,64,4,8,2,2,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,402.4775055
64,8,2,8,8,0,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,16.20287
256,16,64,16,8,2,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,7.5898755
4,64,16,32,18,1,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,220.0704415
8,2,256,16,20,1,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,54.3882025
128,16,32,16,10,1,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,15.2367405
64,64,8,1,3,0,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,11.8263975
128,16,128,2,12,0,0,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,6.240568
128,64,16,4,8,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,19.18672
256,8,32,4,16,2,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,2.4679665
32,32,2,4,4,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,84.5626035
8,32,8,4,13,1,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,91.53500650000001
8,256,256,8,13,2,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,6863.382626
128,256,16,2,8,0,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,14.0253415
16,128,64,1,19,1,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,101.651128
128,8,128,16,13,0,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,62.958203
64,256,4,32,12,1,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,4.487331
