chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
16,64,32,256,17,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,14.648749500000001
1024,8,64,16,15,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,4.6855475
256,1,2,256,10,1,1,1,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,9.802409
512,32,2,64,14,2,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,1.0572985
32,64,16,16,19,2,1,1,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,11.567114499999999
32,16,32,32,4,1,0,0,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,9.9190835
8,2,64,2,20,2,0,1,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,126.486527
8,4,2,256,15,1,1,1,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,2.987252
32,64,1,8,3,2,1,0,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,4.0284759999999995
2,8,2,2,16,1,1,0,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,75.916512
8,4,1,2,6,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,2.271254
8,64,16,1,20,2,0,1,"(1, 2, 3, 0, 4)",5,0.0,10.0,10,276.86672350000003
512,8,64,4,6,1,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,143.48335
64,16,1,256,20,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,1.317647
512,4,4,4,14,2,1,1,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,16.485237
512,8,16,1,6,1,0,1,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,65.2645095
16,16,1,128,2,0,0,1,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,47.481904
512,16,16,16,16,0,1,1,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,45.175525
16,8,8,8,16,2,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,20.866374999999998
2,1,2,16,11,1,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,4.0861375
1,2,8,256,13,2,1,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,34.8828875
4,8,64,32,12,1,0,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,311.3909185
512,2,4,16,17,2,1,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,10.5376945
512,2,8,4,4,2,0,0,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,16.114134999999997
4,64,8,8,15,0,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,11.9145565
64,64,1,1,3,1,1,1,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,1.9760875
4,2,32,16,8,0,1,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,63.0385905
256,8,64,256,6,2,0,0,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,18.2530485
1024,16,1,32,2,0,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,2.424536
64,4,8,8,10,0,1,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,1.3359329999999998
512,64,8,4,4,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,6.0949645
64,4,1,256,7,0,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,2.6179344999999996
1,2,64,32,6,1,1,1,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,14.1782195
512,64,8,4,7,0,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,1.822093
128,32,1,1,19,0,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,1.554601
64,1,8,8,4,2,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,15.7768885
8,32,64,8,18,1,0,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,16.762239
16,8,1,128,13,1,1,0,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,5.8735625
64,16,64,16,8,1,1,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,6.687218
512,4,8,1,18,2,1,0,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,2.4485495
1024,4,2,64,8,0,1,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,1.89467
256,32,8,256,10,2,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,5.2196815
128,2,32,8,20,2,0,0,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,63.256372999999996
1,2,4,256,10,0,0,0,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,2.15299
512,8,1,256,13,2,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,3.8756315
128,32,16,256,15,2,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,35.344851500000004
8,64,64,8,20,0,0,0,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,1106.311155
1,32,4,2,19,0,1,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,33.1178205
128,4,32,32,3,0,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,16.296082499999997
16,32,8,8,19,2,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,3.9829485
1,1,1,256,3,0,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,5.6549465
256,2,8,2,18,0,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,3.0400815000000003
2,16,2,32,10,2,1,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,18.541206000000003
64,32,2,256,9,0,1,0,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,3.1512580000000003
32,4,64,1,14,2,0,0,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,6.599247
8,16,2,4,7,1,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,9.5755665
1,1,1,128,3,0,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,10.4471785
1,8,2,1,7,1,1,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,109.361389
128,4,4,2,11,2,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,8.647533
4,64,64,128,15,1,0,1,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,41.486993
1024,8,64,4,10,1,1,0,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,15.9452405
64,4,64,8,19,2,1,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,270.198526
4,16,4,4,17,0,1,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,38.0523915
1024,16,16,16,13,0,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,45.1551205
128,8,32,32,4,1,0,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,13.013325
64,32,1,4,15,0,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,2.32303
512,16,8,1,14,0,1,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,0.9605045
2,2,64,4,6,0,0,1,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,126.54144450000001
64,64,4,32,9,0,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,1.7447455
64,8,2,32,11,2,1,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,1.790176
512,1,64,4,7,0,1,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,151.8093445
32,4,4,4,14,1,1,1,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,8.789653
8,64,32,64,4,1,0,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,923.0470909999999
2,8,1,1,2,0,0,0,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,35.59349400000001
128,4,4,128,5,2,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,11.2007195
64,8,16,1,20,2,0,1,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,57.325976499999996
8,1,16,256,6,0,1,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,3.6313525
128,64,1,64,20,0,0,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,1.226797
4,64,16,64,13,0,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,541.7849249999999
16,16,1,16,18,2,1,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,2.3564355
16,64,64,8,6,0,0,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,923.608525
32,4,2,128,19,1,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,0.7929385
4,32,16,8,8,2,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,470.763997
4,64,2,32,5,2,1,0,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,62.771356999999995
1024,8,1,16,14,0,0,1,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,0.836747
16,1,8,256,3,0,1,0,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,4.1264235
256,16,4,128,8,1,0,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,2.164567
32,64,4,64,13,2,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,3.5172999999999996
32,32,32,16,7,0,0,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,85.015749
512,16,2,8,14,2,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,2.621123
512,8,32,128,7,1,1,1,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,15.2778805
1024,2,1,1,11,0,0,1,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,3.167725
1,8,1,128,15,0,0,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,4.357025999999999
2,2,32,128,9,2,1,1,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,90.049773
2,16,1,8,8,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,23.7196785
256,4,32,64,18,1,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,2.9134960000000003
8,1,64,256,4,0,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,262.7212525
64,32,32,8,11,1,1,1,"(1, 2, 3, 0, 4)",5,0.0,10.0,10,63.050449
8,16,1,256,15,1,0,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,3.7947344999999997
256,4,1,4,19,1,0,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,3.2184795
512,16,16,256,12,1,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,8.828493
8,8,2,16,11,2,1,0,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,4.9415535
1,8,4,16,14,1,0,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,8.7492085
1,4,1,128,2,1,1,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,29.015112000000002
8,4,8,256,11,0,0,1,"(1, 2, 3, 0, 4)",5,0.0,10.0,10,17.487896499999998
2,8,8,4,19,1,0,1,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,46.3245565
16,64,64,32,17,1,0,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,15.308637000000001
128,32,8,32,6,2,0,1,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,10.9459285
32,1,32,64,15,1,0,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,93.182192
256,8,16,2,17,0,0,0,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,1.377764
512,32,16,1,16,1,1,1,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,30.546138
64,2,1,2,15,1,1,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,1.9181285
128,32,2,16,5,2,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,4.479397
1,2,64,4,20,2,1,0,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,7.888716499999999
64,2,64,1,6,1,1,1,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,15.851592499999999
32,1,4,4,11,2,1,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,2.108015
8,16,2,2,12,0,0,0,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,3.4707095
16,4,2,32,19,2,1,1,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,2.4646135
2,8,4,256,18,0,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,1.9957444999999998
4,4,4,32,13,2,0,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,10.9698675
1,64,8,2,19,2,1,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,109.3878245
256,32,8,4,5,0,1,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,2.675656
256,2,8,1,10,0,0,0,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,4.978052
2,64,4,4,17,1,1,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,69.82037550000001
32,64,32,32,2,0,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,41.428700500000005
4,8,16,4,9,2,1,1,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,10.331809
128,8,16,256,19,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,5.0080425
128,8,16,64,9,0,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,38.51278000000001
512,8,2,256,18,2,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,4.9972955
2,64,64,1,20,2,0,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,4349.108125
32,64,16,256,8,0,1,1,"(3, 2, 1, 0, 4)",5,0.0,10.0,10,130.23204199999998
16,2,8,128,6,1,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,2.5695965000000003
512,16,32,4,2,2,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,72.007611
256,4,4,64,5,0,1,1,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,7.947965
64,1,16,64,8,1,1,1,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,5.4113665
2,32,64,32,2,0,1,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,3773.221775
1,64,64,32,6,1,0,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,14774.556598
16,2,1,1,9,1,1,0,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,2.2486455
256,4,1,4,14,2,0,0,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,7.0402005
1024,4,4,128,19,1,0,0,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,22.295963999999998
512,1,8,256,13,1,1,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,32.678267000000005
256,2,16,64,6,0,1,1,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,32.715528
2,2,4,1,7,0,1,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,14.435828
1,32,16,32,8,1,0,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,1009.270505
128,8,4,256,6,0,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,3.757145
1,8,16,64,15,2,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,31.184559
64,64,16,8,10,2,0,1,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,40.322956500000004
8,16,8,16,6,0,0,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,40.4261595
16,32,32,1,4,2,0,0,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,16.704803499999997
256,16,4,2,4,1,0,0,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,15.241208
512,32,4,8,8,1,0,0,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,9.0368945
1,4,8,4,12,2,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,114.578497
256,1,32,1,20,2,1,1,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,130.2938685
16,64,1,128,15,2,1,1,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,18.067014999999998
2,32,4,32,13,1,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,12.558352
32,4,64,2,15,0,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,181.84107949999998
64,16,8,4,17,0,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,33.101729500000005
8,32,16,64,2,1,1,0,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,161.4316465
128,32,32,8,17,0,1,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,68.10055249999999
8,1,64,256,14,2,1,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,4.8766895
128,1,32,32,18,2,0,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,3.7886094999999997
16,2,4,8,8,0,0,1,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,15.755513
8,1,2,128,19,1,1,1,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,4.131719
32,64,64,4,10,1,0,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,461.903979
256,16,1,8,14,2,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,3.1298035
512,4,4,64,3,2,0,1,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,5.9058600000000006
256,8,2,128,5,2,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,8.560675
32,1,16,4,10,2,0,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,9.7816405
4,4,1,64,2,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,5.5666705
16,64,64,1,16,1,1,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,541.8451175
8,64,64,2,6,2,0,1,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,1106.409
1,4,2,16,2,1,0,0,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,28.954301
8,64,4,8,12,1,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,115.5439725
8,2,32,256,10,2,1,0,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,81.865291
64,16,1,2,9,1,0,0,"(2, 1, 0, 3, 4)",5,0.0,10.0,10,12.086813
2,64,16,64,7,1,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,99.0129295
1024,16,1,32,9,1,0,1,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,4.696913
512,2,2,16,10,1,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,4.4554955
8,64,4,256,6,2,0,1,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,69.9802035
512,2,16,4,17,0,0,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,32.547077
256,32,8,256,13,2,0,0,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,17.7867015
16,32,1,256,8,1,1,0,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,3.9510285
8,4,1,256,19,1,0,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,1.9307785000000002
128,4,32,32,14,0,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,80.1684555
8,8,8,128,14,1,1,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,1.093289
512,2,64,64,19,0,0,0,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,147.5248165
256,4,8,128,18,2,0,0,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,17.905219000000002
8,64,1,16,5,0,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,17.801222000000003
32,64,1,1,10,2,1,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,2.5946375
32,2,1,32,14,0,1,1,"(3, 2, 1, 0, 4)",5,0.0,10.0,10,1.9300465
32,64,2,4,16,1,1,0,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,1.675113
256,8,1,2,16,2,0,0,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,2.1343734999999997
128,16,16,8,3,0,0,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,39.1878255
32,1,64,1,19,1,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,157.927644
8,1,2,256,12,1,0,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,1.3326485
8,2,4,64,9,2,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,2.8467305
256,16,4,128,13,0,0,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,9.12098
1,2,4,32,9,0,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,22.6007955
32,2,16,64,9,1,1,1,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,31.7822305
64,16,16,2,2,1,0,1,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,24.135091
2,1,4,128,9,1,1,1,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,1.57092
256,1,2,256,16,2,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,4.9273475
8,64,32,4,16,1,1,0,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,97.78364300000001
1024,1,1,1,19,2,1,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,3.1134695
512,32,16,32,13,2,1,0,"(3, 2, 1, 0, 4)",5,0.0,10.0,10,31.793224000000002
16,4,1,2,3,0,0,0,"(3, 2, 1, 0, 4)",5,0.0,10.0,10,1.944992
128,8,8,256,5,2,0,1,"(1, 2, 0, 3, 4)",5,0.0,10.0,10,11.1233535
16,2,2,8,13,2,0,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,1.2119085
2,64,2,64,17,1,0,0,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,156.00233400000002
128,64,2,4,20,2,1,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,4.033537000000001
512,32,8,16,18,1,0,1,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,32.8452215
8,64,8,1,17,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,17.667182500000003
2,16,1,4,18,1,1,0,"(1, 2, 3, 0, 4)",5,0.0,10.0,10,18.201689000000002
128,64,16,2,6,1,1,0,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,10.856463999999999
2,8,32,2,18,1,0,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,135.17794700000002
4,32,16,256,3,0,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,42.6495575
8,4,2,8,3,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,8.1674
16,8,1,32,8,2,1,1,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,1.9943754999999999
1,8,32,256,16,0,1,1,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,16.5178775
512,32,16,1,9,2,1,1,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,65.1911765
256,32,1,64,20,0,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,1.3879335
1,16,16,256,11,2,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,917.927107
8,8,2,8,10,1,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,4.0584685
512,32,1,256,11,2,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,5.5626835
1024,8,32,1,4,2,0,0,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,65.06187
1,4,1,2,6,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,56.4784705
2,16,64,256,2,0,0,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,422.018964
256,32,64,1,18,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,4.761172999999999
1024,8,16,64,12,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,6.046111
1024,32,64,128,12,1,0,1,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,127.32893200000001
64,64,8,2,13,2,0,0,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,19.528418000000002
