chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
4,8,32,64,11,1,0,1,"(3, 1, 2, 0, 4)",214.6090085,10,5,0,10
8,2,64,2,20,2,0,1,"(2, 1, 3, 0, 4)",197.424902,10,5,0,10
32,64,1,8,3,2,1,0,"(3, 0, 2, 1, 4)",5.861127,10,5,0,10
512,32,16,32,16,0,0,1,"(0, 2, 1, 3, 4)",2.9416565,10,5,0,10
1,8,4,2,19,0,0,1,"(0, 1, 3, 2, 4)",9.6383085,10,5,0,10
32,16,8,2,11,2,1,0,"(0, 1, 3, 2, 4)",5.519719500000001,10,5,0,10
1024,8,64,16,15,2,1,1,"(0, 1, 2, 3, 4)",5.231893,10,5,0,10
2,4,4,2,2,0,1,0,"(2, 3, 1, 0, 4)",26.957744,10,5,0,10
32,8,1,256,17,1,0,0,"(3, 2, 1, 0, 4)",2.846472,10,5,0,10
16,4,64,8,18,1,0,0,"(2, 3, 0, 1, 4)",209.5764315,10,5,0,10
64,64,8,4,2,0,1,0,"(0, 3, 1, 2, 4)",7.741082,10,5,0,10
32,64,16,16,19,2,1,1,"(2, 1, 0, 3, 4)",11.3784025,10,5,0,10
4,64,4,4,17,1,0,0,"(2, 0, 3, 1, 4)",147.190724,10,5,0,10
512,8,64,4,6,1,1,0,"(3, 0, 1, 2, 4)",225.4300685,10,5,0,10
8,32,32,128,10,0,1,1,"(0, 1, 3, 2, 4)",12.609151,10,5,0,10
256,1,2,256,10,1,1,1,"(2, 1, 0, 3, 4)",13.9366705,10,5,0,10
2,16,32,32,14,0,0,0,"(3, 2, 0, 1, 4)",872.5385715,10,5,0,10
64,16,1,256,20,0,0,1,"(0, 1, 2, 3, 4)",2.7066925,10,5,0,10
1024,16,1,32,2,0,0,0,"(2, 3, 0, 1, 4)",3.0341945,10,5,0,10
4,32,32,16,5,2,1,1,"(3, 0, 1, 2, 4)",895.3484659999999,10,5,0,10
128,32,1,4,9,1,1,0,"(1, 3, 2, 0, 4)",2.8898015,10,5,0,10
1,4,2,128,20,1,1,0,"(2, 3, 0, 1, 4)",27.303384,10,5,0,10
512,4,4,4,14,2,1,1,"(2, 3, 1, 0, 4)",13.5619065,10,5,0,10
128,32,1,1,19,0,0,0,"(1, 0, 3, 2, 4)",2.7988015,10,5,0,10
8,4,2,256,15,1,1,1,"(2, 0, 1, 3, 4)",4.391332500000001,10,5,0,10
64,4,1,256,7,0,0,1,"(0, 3, 1, 2, 4)",2.5223405,10,5,0,10
512,64,8,4,7,0,1,0,"(0, 3, 1, 2, 4)",2.2361075,10,5,0,10
512,2,8,4,4,2,0,0,"(1, 3, 2, 0, 4)",26.9451595,10,5,0,10
512,16,16,16,16,0,1,1,"(3, 1, 0, 2, 4)",53.47171,10,5,0,10
64,64,1,1,3,1,1,1,"(3, 2, 0, 1, 4)",2.904806,10,5,0,10
2,1,2,16,11,1,1,0,"(1, 3, 0, 2, 4)",6.865835499999999,10,5,0,10
8,4,1,2,6,2,0,0,"(0, 1, 2, 3, 4)",2.5164600000000004,10,5,0,10
16,8,8,8,16,2,1,0,"(3, 0, 1, 2, 4)",27.270985,10,5,0,10
512,64,8,4,4,2,1,1,"(0, 1, 2, 3, 4)",7.7301565,10,5,0,10
16,16,1,128,2,0,0,1,"(2, 1, 0, 3, 4)",35.6166075,10,5,0,10
16,8,1,128,13,1,1,0,"(2, 1, 0, 3, 4)",7.4116685,10,5,0,10
512,2,4,16,17,2,1,1,"(3, 0, 2, 1, 4)",14.223411,10,5,0,10
256,8,64,256,6,2,0,0,"(2, 0, 3, 1, 4)",26.603437,10,5,0,10
16,64,32,256,17,2,0,0,"(0, 1, 2, 3, 4)",17.934929,10,5,0,10
1,2,8,256,13,2,1,0,"(2, 3, 1, 0, 4)",68.606493,10,5,0,10
64,16,64,16,8,1,1,1,"(1, 0, 3, 2, 4)",10.005656,10,5,0,10
2,16,2,32,10,2,1,1,"(0, 3, 1, 2, 4)",13.2093925,10,5,0,10
32,16,32,32,4,1,0,0,"(2, 0, 1, 3, 4)",11.389908,10,5,0,10
16,64,64,32,8,2,1,0,"(3, 0, 2, 1, 4)",872.1367755,10,5,0,10
4,64,8,8,15,0,1,1,"(0, 2, 3, 1, 4)",15.887863,10,5,0,10
512,4,8,1,18,2,1,0,"(2, 0, 1, 3, 4)",3.4053555,10,5,0,10
1,1,1,128,3,0,0,1,"(0, 3, 1, 2, 4)",5.947346,10,5,0,10
1,2,64,32,6,1,1,1,"(2, 1, 0, 3, 4)",13.782574,10,5,0,10
32,4,64,1,14,2,0,0,"(2, 0, 3, 1, 4)",10.0669365,10,5,0,10
512,8,16,1,6,1,0,1,"(2, 1, 3, 0, 4)",53.5705405,10,5,0,10
128,4,32,32,3,0,1,0,"(0, 1, 3, 2, 4)",13.4434405,10,5,0,10
256,32,8,256,10,2,0,0,"(1, 0, 2, 3, 4)",7.280409499999999,10,5,0,10
1,1,1,256,3,0,1,1,"(0, 2, 3, 1, 4)",5.459315500000001,10,5,0,10
1,2,4,256,10,0,0,0,"(2, 0, 3, 1, 4)",3.141336,10,5,0,10
64,1,8,8,4,2,0,0,"(1, 3, 0, 2, 4)",24.4603105,10,5,0,10
4,8,64,32,12,1,0,0,"(2, 3, 1, 0, 4)",428.9827195,10,5,0,10
64,32,2,256,9,0,1,0,"(1, 2, 0, 3, 4)",3.9426715,10,5,0,10
1024,4,2,64,8,0,1,0,"(0, 2, 3, 1, 4)",2.6913345,10,5,0,10
64,4,64,8,19,2,1,1,"(3, 0, 2, 1, 4)",223.0168845,10,5,0,10
1,32,4,2,19,0,1,1,"(0, 3, 2, 1, 4)",34.2415215,10,5,0,10
8,64,64,8,20,0,0,0,"(2, 1, 3, 0, 4)",2175.569606,10,5,0,10
64,4,8,8,10,0,1,0,"(0, 2, 1, 3, 4)",1.6604305,10,5,0,10
1024,8,64,4,10,1,1,0,"(1, 2, 0, 3, 4)",21.766060000000003,10,5,0,10
16,32,8,8,19,2,1,0,"(0, 1, 2, 3, 4)",5.2652555,10,5,0,10
128,32,16,256,15,2,0,0,"(2, 3, 0, 1, 4)",51.3996665,10,5,0,10
64,8,16,1,20,2,0,1,"(3, 2, 0, 1, 4)",54.3253215,10,5,0,10
16,16,1,16,18,2,1,0,"(2, 3, 1, 0, 4)",2.968894,10,5,0,10
4,2,32,16,8,0,1,0,"(2, 3, 1, 0, 4)",98.1616365,10,5,0,10
8,16,2,4,7,1,0,0,"(1, 3, 0, 2, 4)",13.6613335,10,5,0,10
8,1,16,256,6,0,1,0,"(0, 2, 3, 1, 4)",5.404439999999999,10,5,0,10
1024,16,16,16,13,0,0,0,"(3, 1, 0, 2, 4)",53.494845,10,5,0,10
64,8,2,32,11,2,1,1,"(0, 3, 2, 1, 4)",2.572279,10,5,0,10
128,2,32,8,20,2,0,0,"(2, 1, 3, 0, 4)",98.4406545,10,5,0,10
128,8,32,32,4,1,0,1,"(0, 2, 3, 1, 4)",14.272293,10,5,0,10
32,4,4,4,14,1,1,1,"(1, 3, 2, 0, 4)",17.2619135,10,5,0,10
128,4,4,2,11,2,1,0,"(1, 3, 0, 2, 4)",14.1946995,10,5,0,10
512,8,1,256,13,2,1,0,"(0, 1, 2, 3, 4)",4.648092,10,5,0,10
128,4,4,128,5,2,0,0,"(3, 0, 1, 2, 4)",13.7909475,10,5,0,10
64,64,4,32,9,0,0,0,"(1, 0, 3, 2, 4)",2.186497,10,5,0,10
1024,8,1,16,14,0,0,1,"(2, 0, 3, 1, 4)",1.243574,10,5,0,10
4,16,4,4,17,0,1,1,"(1, 3, 0, 2, 4)",54.399343,10,5,0,10
32,32,32,16,7,0,0,1,"(1, 3, 0, 2, 4)",111.411081,10,5,0,10
1,8,2,1,7,1,1,0,"(0, 2, 1, 3, 4)",116.25551,10,5,0,10
2,2,64,4,6,0,0,1,"(1, 3, 2, 0, 4)",214.595435,10,5,0,10
256,4,1,4,19,1,0,1,"(3, 0, 2, 1, 4)",3.244312,10,5,0,10
128,64,1,64,20,0,0,1,"(0, 1, 3, 2, 4)",2.260852,10,5,0,10
256,2,8,2,18,0,0,1,"(1, 0, 2, 3, 4)",6.4071615,10,5,0,10
1,4,1,128,2,1,1,0,"(0, 2, 3, 1, 4)",25.982172,10,5,0,10
512,16,16,256,12,1,0,0,"(1, 0, 3, 2, 4)",12.238075,10,5,0,10
32,64,4,64,13,2,1,1,"(0, 1, 3, 2, 4)",4.4504115,10,5,0,10
8,64,16,1,20,2,0,1,"(1, 2, 3, 0, 4)",543.869281,10,5,0,10
1,8,1,128,15,0,0,0,"(0, 2, 3, 1, 4)",5.701499999999999,10,5,0,10
64,32,1,4,15,0,0,0,"(1, 3, 0, 2, 4)",3.137502,10,5,0,10
512,1,64,4,7,0,1,0,"(2, 3, 1, 0, 4)",214.9265215,10,5,0,10
32,4,2,128,19,1,0,0,"(0, 1, 3, 2, 4)",1.0854465,10,5,0,10
512,16,8,1,14,0,1,0,"(0, 2, 3, 1, 4)",1.3807105,10,5,0,10
8,16,1,256,15,1,0,1,"(3, 1, 2, 0, 4)",5.603058000000001,10,5,0,10
128,32,8,32,6,2,0,1,"(2, 0, 1, 3, 4)",10.5644715,10,5,0,10
256,16,4,128,8,1,0,0,"(0, 2, 1, 3, 4)",2.61301,10,5,0,10
64,32,32,8,11,1,1,1,"(1, 2, 3, 0, 4)",106.736287,10,5,0,10
128,32,2,16,5,2,0,0,"(3, 0, 1, 2, 4)",7.2268635,10,5,0,10
16,64,64,8,6,0,0,1,"(3, 0, 1, 2, 4)",872.550714,10,5,0,10
1024,2,1,1,11,0,0,1,"(3, 2, 0, 1, 4)",3.3930725,10,5,0,10
256,32,8,4,5,0,1,0,"(0, 2, 1, 3, 4)",3.638365,10,5,0,10
2,2,32,128,9,2,1,1,"(3, 1, 0, 2, 4)",103.8030065,10,5,0,10
8,64,32,64,4,1,0,1,"(3, 0, 2, 1, 4)",871.6738255,10,5,0,10
8,1,64,256,4,0,0,0,"(2, 3, 0, 1, 4)",216.1047315,10,5,0,10
4,64,2,32,5,2,1,0,"(3, 1, 2, 0, 4)",98.190361,10,5,0,10
4,32,16,8,8,2,1,0,"(3, 0, 1, 2, 4)",448.1350935,10,5,0,10
8,8,2,16,11,2,1,0,"(1, 3, 2, 0, 4)",6.801646,10,5,0,10
4,8,16,4,9,2,1,1,"(2, 0, 1, 3, 4)",11.400303,10,5,0,10
256,2,8,1,10,0,0,0,"(2, 1, 0, 3, 4)",9.8095345,10,5,0,10
2,8,1,1,2,0,0,0,"(0, 3, 2, 1, 4)",56.056807500000005,10,5,0,10
64,2,1,2,15,1,1,1,"(3, 1, 2, 0, 4)",2.836112,10,5,0,10
8,16,2,2,12,0,0,0,"(0, 3, 2, 1, 4)",3.638683,10,5,0,10
8,32,64,8,18,1,0,1,"(0, 3, 2, 1, 4)",18.7516395,10,5,0,10
512,16,2,8,14,2,1,1,"(1, 0, 2, 3, 4)",3.0434395,10,5,0,10
2,16,1,8,8,1,0,0,"(0, 1, 2, 3, 4)",25.016074,10,5,0,10
512,8,32,128,7,1,1,1,"(2, 1, 0, 3, 4)",17.77506,10,5,0,10
2,8,8,4,19,1,0,1,"(2, 1, 0, 3, 4)",34.8001835,10,5,0,10
512,8,2,256,18,2,0,0,"(1, 3, 0, 2, 4)",6.903096,10,5,0,10
256,8,16,2,17,0,0,0,"(2, 0, 1, 3, 4)",1.33798,10,5,0,10
16,2,1,1,9,1,1,0,"(1, 3, 2, 0, 4)",2.8923415,10,5,0,10
2,64,4,4,17,1,1,0,"(0, 2, 1, 3, 4)",70.4628635,10,5,0,10
8,4,8,256,11,0,0,1,"(1, 2, 3, 0, 4)",34.388313,10,5,0,10
32,1,4,4,11,2,1,0,"(0, 2, 1, 3, 4)",2.549313,10,5,0,10
16,4,2,32,19,2,1,1,"(2, 0, 1, 3, 4)",3.2231075,10,5,0,10
4,64,16,64,13,0,0,0,"(3, 1, 0, 2, 4)",891.196913,10,5,0,10
256,4,32,64,18,1,0,0,"(0, 1, 3, 2, 4)",4.7789265,10,5,0,10
4,4,4,32,13,2,0,1,"(1, 3, 0, 2, 4)",13.338241,10,5,0,10
64,64,16,8,10,2,0,1,"(3, 2, 0, 1, 4)",53.413429,10,5,0,10
16,64,64,32,17,1,0,0,"(0, 2, 3, 1, 4)",23.2101045,10,5,0,10
32,64,32,32,2,0,0,1,"(1, 0, 2, 3, 4)",26.7738995,10,5,0,10
256,16,4,2,4,1,0,0,"(2, 1, 0, 3, 4)",22.48927,10,5,0,10
64,1,16,64,8,1,1,1,"(1, 2, 0, 3, 4)",5.7104445,10,5,0,10
8,16,8,16,6,0,0,1,"(3, 1, 2, 0, 4)",53.771718,10,5,0,10
32,1,32,64,15,1,0,1,"(3, 0, 1, 2, 4)",111.4948,10,5,0,10
512,1,8,256,13,1,1,1,"(3, 1, 2, 0, 4)",26.8583965,10,5,0,10
2,8,4,256,18,0,1,1,"(0, 1, 2, 3, 4)",2.4829935,10,5,0,10
4,64,64,128,15,1,0,1,"(1, 2, 0, 3, 4)",50.8526585,10,5,0,10
64,2,64,1,6,1,1,1,"(2, 0, 3, 1, 4)",18.794417,10,5,0,10
1,2,64,4,20,2,1,0,"(1, 2, 0, 3, 4)",9.4087785,10,5,0,10
128,8,16,256,19,1,0,0,"(1, 0, 2, 3, 4)",6.7314255,10,5,0,10
16,2,8,128,6,1,1,1,"(0, 2, 3, 1, 4)",3.088899,10,5,0,10
16,2,4,8,8,0,0,1,"(3, 1, 0, 2, 4)",14.3373435,10,5,0,10
128,8,16,64,9,0,0,0,"(2, 3, 0, 1, 4)",54.0979715,10,5,0,10
1024,4,4,128,19,1,0,0,"(1, 2, 0, 3, 4)",40.0964505,10,5,0,10
1,8,4,16,14,1,0,0,"(0, 2, 1, 3, 4)",10.448277999999998,10,5,0,10
1,4,8,4,12,2,0,0,"(2, 3, 0, 1, 4)",107.3300585,10,5,0,10
256,2,16,64,6,0,1,1,"(2, 3, 0, 1, 4)",51.7100055,10,5,0,10
128,8,4,256,6,0,1,0,"(1, 0, 2, 3, 4)",4.4045895,10,5,0,10
4,4,1,64,2,2,1,0,"(1, 0, 2, 3, 4)",7.0050395000000005,10,5,0,10
32,4,64,2,15,0,0,0,"(3, 0, 1, 2, 4)",221.237202,10,5,0,10
16,32,32,1,4,2,0,0,"(0, 3, 2, 1, 4)",23.431473,10,5,0,10
64,16,8,4,17,0,1,0,"(3, 0, 1, 2, 4)",28.214053,10,5,0,10
1,64,8,2,19,2,1,1,"(0, 3, 2, 1, 4)",158.9512985,10,5,0,10
32,64,16,256,8,0,1,1,"(3, 2, 1, 0, 4)",106.690829,10,5,0,10
2,64,16,64,7,1,0,1,"(0, 3, 1, 2, 4)",91.3594665,10,5,0,10
256,16,1,8,14,2,0,0,"(3, 1, 0, 2, 4)",3.171766,10,5,0,10
8,2,32,256,10,2,1,0,"(3, 1, 2, 0, 4)",98.1023365,10,5,0,10
2,2,4,1,7,0,1,1,"(3, 0, 1, 2, 4)",13.429903,10,5,0,10
2,64,64,1,20,2,0,1,"(3, 0, 2, 1, 4)",7131.782196,10,5,0,10
16,1,8,256,3,0,1,0,"(0, 3, 2, 1, 4)",5.7806815,10,5,0,10
512,16,32,4,2,2,0,0,"(3, 0, 1, 2, 4)",112.021245,10,5,0,10
256,4,1,4,14,2,0,0,"(1, 2, 0, 3, 4)",7.5242145,10,5,0,10
512,32,4,8,8,1,0,0,"(3, 0, 2, 1, 4)",13.9365315,10,5,0,10
256,4,8,128,18,2,0,0,"(3, 2, 0, 1, 4)",27.904523,10,5,0,10
8,1,2,128,19,1,1,1,"(1, 3, 2, 0, 4)",6.8769585,10,5,0,10
256,1,32,1,20,2,1,1,"(1, 3, 2, 0, 4)",106.9348615,10,5,0,10
1,32,16,32,8,1,0,1,"(3, 1, 2, 0, 4)",1577.282062,10,5,0,10
512,4,4,64,3,2,0,1,"(2, 0, 3, 1, 4)",8.721932,10,5,0,10
256,8,1,2,16,2,0,0,"(3, 2, 0, 1, 4)",3.2432925,10,5,0,10
32,1,16,4,10,2,0,1,"(1, 0, 3, 2, 4)",8.110934,10,5,0,10
8,64,4,256,6,2,0,1,"(2, 0, 1, 3, 4)",70.129396,10,5,0,10
256,32,8,256,13,2,0,0,"(3, 0, 2, 1, 4)",27.704976,10,5,0,10
8,32,16,64,2,1,1,0,"(3, 1, 2, 0, 4)",214.688932,10,5,0,10
16,64,1,128,15,2,1,1,"(1, 2, 0, 3, 4)",21.5118005,10,5,0,10
1,4,2,16,2,1,0,0,"(0, 2, 1, 3, 4)",48.213966,10,5,0,10
1,8,16,64,15,2,1,0,"(0, 1, 2, 3, 4)",38.679896,10,5,0,10
512,2,16,4,17,0,0,1,"(3, 1, 2, 0, 4)",53.699796,10,5,0,10
32,64,1,1,10,2,1,1,"(0, 3, 1, 2, 4)",2.5121035000000003,10,5,0,10
64,16,16,2,2,1,0,1,"(2, 0, 3, 1, 4)",17.568894999999998,10,5,0,10
256,8,2,128,5,2,1,1,"(1, 0, 2, 3, 4)",6.8655,10,5,0,10
128,1,32,32,18,2,0,1,"(0, 3, 2, 1, 4)",4.959958,10,5,0,10
2,32,4,32,13,1,1,0,"(0, 3, 1, 2, 4)",16.0949955,10,5,0,10
512,32,16,1,16,1,1,1,"(1, 2, 0, 3, 4)",53.338449,10,5,0,10
64,16,1,2,9,1,0,0,"(2, 1, 0, 3, 4)",20.180311000000003,10,5,0,10
128,64,2,4,20,2,1,1,"(3, 1, 2, 0, 4)",6.8201625,10,5,0,10
1024,16,1,32,9,1,0,1,"(0, 2, 1, 3, 4)",6.0634225,10,5,0,10
2,32,64,32,2,0,1,0,"(3, 1, 0, 2, 4)",3574.926549,10,5,0,10
4,32,16,256,3,0,0,0,"(0, 1, 3, 2, 4)",50.4597845,10,5,0,10
32,64,2,4,16,1,1,0,"(0, 3, 2, 1, 4)",2.2747305,10,5,0,10
128,16,16,8,3,0,0,1,"(3, 0, 2, 1, 4)",55.26326,10,5,0,10
1024,1,1,1,19,2,1,0,"(3, 1, 0, 2, 4)",2.861331,10,5,0,10
8,64,32,4,16,1,1,0,"(0, 3, 2, 1, 4)",71.4344825,10,5,0,10
512,2,2,16,10,1,1,0,"(1, 3, 0, 2, 4)",7.206991,10,5,0,10
256,16,4,128,13,0,0,1,"(3, 0, 1, 2, 4)",14.129044,10,5,0,10
32,1,64,1,19,1,0,0,"(2, 3, 0, 1, 4)",221.147472,10,5,0,10
8,64,64,2,6,2,0,1,"(2, 1, 3, 0, 4)",2175.080826,10,5,0,10
8,64,8,1,17,2,0,1,"(0, 1, 2, 3, 4)",21.9276295,10,5,0,10
512,32,16,32,13,2,1,0,"(3, 2, 1, 0, 4)",53.615118,10,5,0,10
32,2,1,32,14,0,1,1,"(3, 2, 1, 0, 4)",2.8492155,10,5,0,10
8,8,8,128,14,1,1,0,"(1, 0, 3, 2, 4)",1.3168205,10,5,0,10
128,4,32,32,14,0,0,0,"(2, 3, 0, 1, 4)",110.9500005,10,5,0,10
8,64,4,8,12,1,1,0,"(1, 3, 0, 2, 4)",109.407947,10,5,0,10
32,64,64,4,10,1,0,1,"(3, 0, 1, 2, 4)",436.495471,10,5,0,10
256,4,4,64,5,0,1,1,"(2, 3, 1, 0, 4)",13.5814985,10,5,0,10
1024,8,32,1,4,2,0,0,"(3, 1, 2, 0, 4)",107.351114,10,5,0,10
1,64,64,32,6,1,0,1,"(3, 0, 2, 1, 4)",13962.183536,10,5,0,10
32,2,16,64,9,1,1,1,"(2, 3, 1, 0, 4)",49.3888725,10,5,0,10
512,1,32,1,19,1,0,1,"(0, 2, 1, 3, 4)",1.619334,10,5,0,10
2,1,4,128,9,1,1,1,"(2, 0, 3, 1, 4)",1.911034,10,5,0,10
512,2,32,64,12,2,1,0,"(0, 3, 1, 2, 4)",6.0270135,10,5,0,10
128,64,16,2,6,1,1,0,"(2, 0, 1, 3, 4)",8.688725999999999,10,5,0,10
512,2,64,64,19,0,0,0,"(3, 2, 0, 1, 4)",225.5912175,10,5,0,10
256,1,2,256,16,2,0,0,"(3, 1, 0, 2, 4)",6.786275,10,5,0,10
128,32,32,8,17,0,1,1,"(3, 1, 2, 0, 4)",106.8970645,10,5,0,10
8,4,2,8,3,1,0,0,"(1, 0, 2, 3, 4)",8.7511595,10,5,0,10
8,2,4,64,9,2,0,1,"(0, 3, 1, 2, 4)",3.363409,10,5,0,10
512,32,16,1,9,2,1,1,"(2, 1, 3, 0, 4)",53.642621,10,5,0,10
256,32,64,1,18,2,1,1,"(0, 1, 2, 3, 4)",5.2358575,10,5,0,10
16,2,2,8,13,2,0,0,"(0, 3, 1, 2, 4)",1.7046185,10,5,0,10
2,16,1,4,18,1,1,0,"(1, 2, 3, 0, 4)",22.464026500000003,10,5,0,10
1,16,16,256,11,2,0,0,"(3, 1, 0, 2, 4)",867.936637,10,5,0,10
1,2,4,32,9,0,0,0,"(2, 3, 0, 1, 4)",24.669346,10,5,0,10
1024,32,64,128,12,1,0,1,"(1, 3, 2, 0, 4)",196.1151405,10,5,0,10
4,64,32,32,12,0,0,1,"(2, 3, 0, 1, 4)",1568.875461,10,5,0,10
8,64,1,16,5,0,0,0,"(3, 1, 0, 2, 4)",23.155912,10,5,0,10
64,32,64,64,18,0,0,0,"(3, 0, 1, 2, 4)",229.030869,10,5,0,10
2,16,64,256,2,0,0,1,"(0, 3, 2, 1, 4)",254.9529755,10,5,0,10
256,8,64,16,6,2,1,0,"(0, 1, 2, 3, 4)",8.7248865,10,5,0,10
8,1,64,256,14,2,1,1,"(0, 3, 1, 2, 4)",7.0557815,10,5,0,10
8,8,2,8,10,1,0,0,"(2, 3, 0, 1, 4)",6.8506965,10,5,0,10
128,32,1,1,15,1,0,0,"(2, 1, 0, 3, 4)",37.2863775,10,5,0,10
128,64,8,32,14,1,1,0,"(2, 1, 0, 3, 4)",4.977445,10,5,0,10
2,64,2,64,17,1,0,0,"(1, 3, 2, 0, 4)",213.164958,10,5,0,10
1,4,1,2,6,1,0,0,"(1, 0, 2, 3, 4)",59.685815000000005,10,5,0,10
8,1,2,2,2,1,1,0,"(3, 2, 1, 0, 4)",8.789583,10,5,0,10
512,32,8,16,18,1,0,1,"(2, 3, 1, 0, 4)",27.043202,10,5,0,10
512,32,1,256,11,2,0,0,"(1, 0, 3, 2, 4)",7.845752,10,5,0,10
16,32,1,256,8,1,1,0,"(2, 1, 3, 0, 4)",6.073688000000001,10,5,0,10
1,1,4,1,19,2,0,0,"(1, 3, 0, 2, 4)",10.5345175,10,5,0,10
16,2,1,128,7,0,0,0,"(3, 2, 1, 0, 4)",2.81326,10,5,0,10
1,8,32,256,16,0,1,1,"(2, 0, 3, 1, 4)",22.9547265,10,5,0,10
1024,2,4,64,7,0,1,0,"(1, 0, 2, 3, 4)",12.281612,10,5,0,10
256,32,1,64,20,0,1,1,"(0, 1, 3, 2, 4)",2.0295675,10,5,0,10
1024,64,16,2,16,1,0,1,"(0, 2, 1, 3, 4)",1.146284,10,5,0,10
1024,8,1,8,18,2,1,0,"(1, 0, 3, 2, 4)",6.516521,10,5,0,10
256,1,1,64,10,2,1,0,"(0, 2, 3, 1, 4)",1.3535225,10,5,0,10
1024,16,1,4,4,0,1,1,"(1, 3, 0, 2, 4)",3.2589875,10,5,0,10
8,4,1,256,19,1,0,1,"(3, 1, 2, 0, 4)",2.868554,10,5,0,10
32,1,64,4,12,0,1,1,"(2, 0, 1, 3, 4)",3.069632,10,5,0,10
128,64,16,32,11,0,0,1,"(0, 2, 1, 3, 4)",1.795929,10,5,0,10
256,2,1,32,16,0,1,1,"(1, 0, 3, 2, 4)",5.468254,10,5,0,10
2,8,32,2,18,1,0,1,"(0, 3, 2, 1, 4)",138.2192945,10,5,0,10
2,64,2,64,4,1,0,1,"(0, 1, 3, 2, 4)",87.54671,10,5,0,10
256,2,8,8,18,0,1,0,"(1, 3, 2, 0, 4)",26.8487825,10,5,0,10
32,32,64,8,20,1,1,1,"(2, 3, 0, 1, 4)",197.2299365,10,5,0,10
1024,16,8,4,6,2,0,1,"(2, 1, 0, 3, 4)",27.4079605,10,5,0,10
128,8,8,256,5,2,0,1,"(1, 2, 0, 3, 4)",12.9646885,10,5,0,10
16,16,16,256,7,0,1,0,"(2, 0, 1, 3, 4)",3.9644455,10,5,0,10
16,16,32,32,7,2,0,0,"(1, 2, 3, 0, 4)",137.1387415,10,5,0,10
64,32,32,4,14,1,0,0,"(2, 3, 1, 0, 4)",98.1916285,10,5,0,10
2,1,1,16,4,2,0,0,"(2, 3, 0, 1, 4)",2.9858075,10,5,0,10
1,32,4,16,13,0,1,1,"(2, 3, 1, 0, 4)",429.025195,10,5,0,10
64,32,32,32,9,2,1,1,"(0, 1, 3, 2, 4)",6.994942999999999,10,5,0,10
64,2,8,32,4,1,0,0,"(0, 2, 1, 3, 4)",3.5992705000000003,10,5,0,10
2,16,16,256,7,1,1,1,"(2, 3, 0, 1, 4)",548.1502545,10,5,0,10
256,2,1,1,5,0,1,1,"(1, 2, 0, 3, 4)",19.595532,10,5,0,10
